temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Adventure Time,15 Jan. 2011,5.1,
1,1,Slumber Party Panic,4 Mar. 2011,7.5,Princess Bumblegum's latest experiment accidentally unleashes an undead horde upon the Candy Kingdom.
1,2,Trouble in Lumpy Space,5 Apr. 2010,7.3,"Jake is bitten by Lumpy Space Princess and begins to transform into a Lumpy being. In order to find a cure, Finn is travels to Lumpy Space."
1,3,Prisoners of Love,12 Apr. 2010,7.3,"After the Ice King kidnaps a large group of princesses, its up to Finn and Jake to free them."
1,4,Tree Trunks,12 Apr. 2010,7.5,"Tree Trunks joins Finn and Jake on an quest, but finds her talents for adventuring leave something to be desired."
1,5,The Enchiridion!,19 Apr. 2010,7.9,"Princess Bubblegum sends Finn on his most challenging quest yet--to recover The Enchiridion, the hero's handbook."
1,6,The Jiggler,19 Apr. 2010,7.2,"After finding a Jiggler in the wild, Finn and Jake decide to adopt the funny creature as a pet."
1,7,Ricardio the Heart Guy,26 Apr. 2010,7.4,"A new stranger arrives in the Candy Kingdom: a charismatic talking heart named Ricardio. He soon becomes very popular, except to Finn who believes he's hiding something."
1,8,Business Time,26 Apr. 2010,7.6,Finn and Jake discover a tribe of businessmen frozen in a block of ice and hire them to make adventuring easier.
1,9,My Two Favorite People,3 May 2010,7.7,"Jake tries hanging out with both his best friend, Finn, and his girlfriend, Lady Rainicorn, at the same time. But soon Jake becomes jealous when Finn and Lady seem too friendly."
1,10,Memories of Boom Boom Mountain,3 May 2010,7.8,"While having trouble solving the contradictory problems of the residents of a mountain village, Finn recalls where he found the desire to help people."
1,11,Wizard,10 May 2010,8.0,Finn and Jake discover a secret tribe of wizards and take magic lessons for a price they aren't prepared to pay.
1,12,Evicted!,17 May 2010,8.3,After Marceline the Vampire Queen visits Finn and Jake at their tree fort she informs them that she is moving in and kicking them out.
1,13,City of Thieves,24 May 2010,7.8,A mission leads Jake into a city where everyone is a thief and the chance to be corrupted is incredibly strong.
1,14,The Witch's Garden,7 Jun. 2010,7.5,"A witch steals Jake's shape-shifting powers, but his ego makes getting them back very difficult."
1,15,What Is Life?,14 Jun. 2010,7.7,Finn creates a robot to continuously throw pies at Jake but unexpectedly imbues it with a soul.
1,16,Ocean of Fear,21 Jun. 2010,7.8,Finn must overcome his fear of the ocean.
1,17,When Wedding Bells Thaw,28 Jun. 2010,7.1,The Ice King announces that he is engaged and to the shock of Finn and Jake it seems the bride is actually willing. But will the Ice King give up his princess kidnapping ways?
1,18,Dungeon,12 Jul. 2010,8.2,"Finn adventures into a forbidden dungeon, against the wishes of Princess Bumblegum and Jake, and finds more than he bargained for."
1,19,The Duke,19 Jul. 2010,7.5,"An accident in the Candy Kingdom which Finn and Jake cause is blamed on the Duke of Nuts. Finn and Jake, however, find admitting the truth to be harder and harder as time passes."
1,20,Freak City,26 Jul. 2010,7.4,A trickster turns Finn into a giant foot.
1,21,Donny,9 Aug. 2010,7.2,"Finn and Jake try to reform a bullying ogre, but realize that their good deed has unexpected consequences."
1,22,Henchman,23 Aug. 2010,8.0,Marceline the Vampire Queen tricks Finn into swearing allegiance to her.
1,23,Rainy Day Daydream,6 Sep. 2010,8.2,"Jake's imagination literally runs wild, coming to life and bringing many dangers into the tree house."
1,24,What Have You Done?,13 Sep. 2010,7.6,"After being told to arrest the Ice King, Finn and Jake face an ethical quandary when they realize the villain has not actually committed any recent crimes."
1,25,His Hero,20 Sep. 2010,7.7,"Finn meets his hero, the great warrior Billy, who is not everything Finn expected him to be."
