temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Archersaurus,10 Apr. 2010,7.3,"Archersaurus (a C.G. dinosaur) is seen in the supposed first-take of the show, starring said Raptor as a screeching, growling, snarling Raptor on the prowl to fix his expense account by staging a ""Mole Hunt"" - the search for a spy in their ranks."
1,1,Mole Hunt,17 Sep. 2009,7.8,Archer goes to great lengths to cover up discrepancies in his ISIS expense account as he attempts to access the agency's mainframe computer. Cyril and Lana's Friday night dinner date is interrupted by work.
1,2,Training Day,14 Jan. 2010,7.6,"Lana's residual lust for Archer prompts Malory to promote Cyril to field agent. Archer then trains his new competition as only he can, whilst Malory frets over her own past and her son's future."
1,3,Diversity Hire,21 Jan. 2010,8.2,"The agency hires a studly agent because of his minority status, and the man makes an impressive debut, but Archer suspects he has ulterior motives."
1,4,Killing Utne,28 Jan. 2010,7.6,"Malory holds a shindig to schmooze with United Nations bigwig Torvald Utne, just as a group of assassins closes in to kill him."
1,5,Honeypot,4 Feb. 2010,8.0,"Malory's career is threatened when a sensitive videotape falls into the hands of a rogue (and roguish) Cuban agent, so she calls on Archer's expertise in seduction to turn the tables on her blackmailer."
1,6,Skorpio,11 Feb. 2010,8.2,"Archer must rescue Lana from the clutches of Skorpio, the infamous arms dealer. Meanwhile, Cyril fears not only for his girlfriend's life, but her succumbing to the seductive nature of Archer's heroics."
1,7,Skytanic,18 Feb. 2010,8.7,"When a bomb threat jeopardizes the maiden voyage of the luxury airship Excelsior, Archer and the ISIS crew must battle the clock (and each other) to avert disaster."
1,8,The Rock,4 Mar. 2010,7.7,"After ISIS loses yet another lucrative contract to rival agency ODIN, Malory assigns Archer and Lana to embarrass ODIN by stealing a priceless diamond from their biggest client."
1,9,Job Offer,11 Mar. 2010,8.1,"When Archer takes a higher-paying job at rival agency ODIN, Malory will stop at nothing to get him back."
1,10,Dial M for Mother,18 Mar. 2010,8.0,Questions about the identity of Archer's real father lead him into a perilous trap... and an explosive confrontation with Malory.
2,1,Swiss Miss,27 Jan. 2011,8.5,"German billionaire, Herr Conrad Schlotz, controls all European Videotex services. His nubile, out-of-control daughter, Anke, is determined to have her 17th birthday bash at an exclusive Alpine ski resort in Gstaad, Switzerland. El Frente Rojo made threats on the Schlotz heiress, so Malory accepts the mission to guard Schlotz's ""princess,"" a probable devotee to Sharon Stone films. Secretly, Malory wants to score: Schlotz, financing for ISIS and some absinthe, a heady threesome! Some wedding tackle named Wilhelm hooks a razor and Pam hooks a fellow dairy enthusiast. ..."
2,2,A Going Concern,3 Feb. 2011,7.8,"After Malory is wiped out in a Ponzi scheme, she hatches a scheme of her own: selling ISIS to rival spy agency ODIN. Archer and the rest of the ISIS employees must use every trick in the book to try to stop the sale."
2,3,Blood Test,10 Feb. 2011,7.9,"Archer is in for a huge surprise when his favorite call girl, Trinette, shows up at ISIS with a subpoena in her purse."
2,4,Pipeline Fever,17 Feb. 2011,8.2,"While Malory tries to make ISIS a green workplace, Archer and Lana head to the Louisiana Bayou to prevent a dangerous eco-terrorist from bombing America's largest natural gas pipeline."
2,5,The Double Deuce,24 Feb. 2011,8.1,"When members of Woodhouse's famed WWI Royal Flying Corps squadron start dying mysteriously, he naturally suspects foul play. As does Archer, who tries to help his loyal manservant track down the killer."
2,6,Tragical History,3 Mar. 2011,7.8,"Tired of his colleagues constantly calling him a failure, Cyril agrees to help George Spelvin, a mysterious computer security expert, inject a virus into the ISIS mainframe so he can defeat the virus and be seen as a hero."
2,7,Movie Star,10 Mar. 2011,7.8,"The normal childish squabbles, sneaky backbiting, and petty jealousies at ISIS are multiplied exponentially when a famous Hollywood actress, Rona Thorne, spends a week shadowing the agents as research for an upcoming role in a spy movie."
2,8,Stage Two,17 Mar. 2011,8.6,"After Malory's brief scare with breast cancer, another ISIS agent decides to be tested for the disease, with a tragic result."
2,9,Placebo Effect,24 Mar. 2011,9.0,"When Archer discovers the chemotherapy drugs he's been taking for his breast cancer are counterfeit, he sets out to destroy the criminals behind the scheme."
