temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,2 Jul. 2005,8.2,"After his father fails to promote him within the family business, Michael accepts a job in Arizona -- until his dad is arrested for shady bookkeeping."
1,2,Top Banana,9 Nov. 2003,8.5,"Michael suspects that George Sr. is running the business from inside prison. George Michael is made manager of the banana stand, and Michael gives Gob a letter to mail after Lucille suggests that he be included in the business."
1,3,Bringing Up Buster,16 Nov. 2003,8.2,A reluctant Michael takes Buster under his wing while attempting to get closer to an increasingly distant George-Michael.
1,4,Key Decisions,23 Nov. 2003,8.4,"Determined to not be upstaged by his actress girlfriend, Gob decides to pull an elaborate escape at the Orange County Prison, where George Sr. is being held. Meanwhile, Michael falls for Gob's girlfriend Marta."
1,5,Charity Drive,30 Nov. 2003,8.3,Michael trades in his bicycle for his father's car and ends up giving a ride to a complete stranger who mistakes Michael for a killer.
1,6,Visiting Ours,7 Dec. 2003,8.1,"Michael gets a tip about the company's international accounts, and has Gob question the office secretary Kitty about them. But that's not before Michael does the unthinkable - setting up a conjugal visit between George Sr. and Lucille."
1,7,In God We Trust,21 Dec. 2003,8.2,"The family attorney arranges George Sr.'s release from prison for Christmas. Later, George-Michael has to wear an embarrassing codpeice in a pageant."
1,8,My Mother the Car,14 Dec. 2003,8.2,Michael loses his short-term memory after he and Lucille have a car accident. George-Michael and Maeby want to see an R-rated movie about cousins in love.
1,9,Storming the Castle,4 Jan. 2004,8.5,Michael decides to expose Marta to Gob's womanizing by having her participate in a magic trick that involves one of Gob's many girlfriends.
1,10,Pier Pressure,11 Jan. 2004,9.1,"When Buster asks George-Michael to buy him marijuana to treat Lucille Austero's vertigo, Michael stages a phony bust to teach George-Michael a lesson."
1,11,Public Relations,25 Jan. 2004,8.3,"After having a tough time getting George-Michael admitted to a private school, Michael hires an attractive publicist to change the family's image."
1,12,Marta Complex,8 Feb. 2004,8.5,Michael delivers a speech about love that makes Marta realise she has feelings for him. George-Michael realises that Maeby might not be his cousin.
1,13,Beef Consomme,15 Feb. 2004,8.5,"Michael tells Gob about his flirtation with Marta. Meanwhile, George-Michael tries to determine whether he and Maeby are related by blood."
1,14,Shock and Aww,7 Mar. 2004,8.6,"George Bluth Sr. gets a visit from a rabid female fan who may be in love with him. George Michael is interested in his teacher, and so is his father. Gob tries to get revenge on Michael for trying to steal his girlfriend."
1,15,Staff Infection,14 Mar. 2004,8.2,"Michael learns that most of his family is on the company payroll despite not working there. Gob and Buster are sent to work at the construction site, while Lindsay answers phone calls for the company."
1,16,Altar Egos,17 Mar. 2004,8.5,"Michael has a one-night stand with a woman named Maggie Lizer. He has a guilt-trip after learning she is blind, but not so much after he discovers that she's the prosecuting attorney against his family. Meanwhile, Gob gets married to a woman after a series of escalating dares, and tries to get a subsequent divorce."
1,17,Justice Is Blind,21 Mar. 2004,8.8,"While grappling with the dilemma of whether or not to open his father's case file, Michael discovers the truth about Maggie."
1,18,Missing Kitty,28 Mar. 2004,8.4,"Michael disobeys his father and fires the incompetent Kitty, who could reveal secrets that would further damage the family's reputation."
1,19,Best Man for the Gob,4 Apr. 2004,8.2,Gob throws a bachelor party to scare the company accountant -- who's getting ready to testify against George Sr. -- into believing he killed a stripper.
1,20,Whistler's Mother,11 Apr. 2004,8.0,"As his entire family targets company funds that have recently become unfrozen, Michael purchases some ultimately worthless land from his Uncle Oscar."
1,21,Not Without My Daughter,25 Apr. 2004,8.6,"Police attempt to pin Kitty's disappearance on Michael. Meanwhile, Michael brings Maeby along with him for ""Take Your Daughter To Work Day."""
1,22,Let 'Em Eat Cake,6 Jun. 2004,8.8,"Michael discovers the secret behind his father's financial woes, and George Sr. has a heart attack in prison and makes his escape from the hospital."
2,1,The One Where Michael Leaves,7 Nov. 2004,8.8,"Michael Bluth denounces his family after George Sr. escapes to Mexico with his secretary Kitty. But when Michael announces plans to move to Phoenix, Barry informs him that he cannot leave California or he will face prosecution for his father's crimes. While Michael scrambles to find the company checkbook, Lucille signs Buster up for the Army, and Lindsay and Tobias institute an open marriage."
2,2,The One Where They Build a House,14 Nov. 2004,8.6,"Michael's new business model backfires when Gob suggests that they build a fake house in two weeks. Meanwhile, George Sr. turns up in Mexico, only to be captured by prison guards who have been injured by a shoddy device he tried to market in Mexico years earlier."
2,3,Amigos,21 Nov. 2004,8.9,"Michael gets a lead that his father has fled to Mexico and takes along a group to retrieve him. In the meantime, he tries to connect with George-Michael's girlfriend, Ann, and Buster tries to escape going off to the army by stowing away."
2,4,Good Grief!,5 Dec. 2004,9.1,"George is declared dead in Mexico and the Bluth family holds a wake for their dead family member. Meanwhile, George isn't dead and has returned to the USA, only to be found by a newly dumped George Michael."
2,5,Sad Sack,12 Dec. 2004,8.6,"Some unfortunate pictures of Tobias wind up on the Internet, which the military mistakes for pictures of Iraq and proof that the Bluth Company was building houses over there. Wayne Jarvis, the family's former attorney, makes Michael an offer he can't refuse. Meanwhile, Buster seeks GOB's help to provide motivation for his Army training."
2,6,Afternoon Delight,19 Dec. 2004,9.1,"While Buster looks for ways to get out of serving in Iraq, Lindsay's quest to score a date at the Bluth Company Christmas party backfires after Gob's sexual harassment speech. Michael and Maeby get in trouble singing Afternoon Delight, but are quickly overshadowed by Oscar and Lucille's afternoon delight."
2,7,Switch Hitter,16 Jan. 2005,8.2,"Gob suspects that rival housing contractor Stan Sitwell is up for a power grab at the Bluth Company when he wants to hire Gob. Michael plans the annual softball game between the rival companies, and Lindsay and Tobias move to separate bedrooms."
2,8,Queen for a Day,23 Jan. 2005,8.1,"Michael finds out that some company funds have been unfrozen, which the family quickly spends on some elaborate stuff. He then trades the family's portable stairway vehicle for a Corvette. Tobias and Buster enjoy a night out, where Buster runs into a recuperated Lucille 2."
2,9,Burning Love,30 Jan. 2005,8.1,"The family's careless selfish spending sprees cause them to lose control of the Bluth Company to Lucille 2. Gob tries to regain control of the company by courting Lucille 2. Michael continues to pursue his relationship with Sally Sitwell, only to wind up looking like he's 12. Buster scores a date with the company's new secretary after Michael sets them up."
2,10,"Ready, Aim, Marry Me",13 Feb. 2005,8.4,"Desperate to find money, at George Sr.'s request, Michael contacts ""Uncle Jack"", a man who the family has had past business relations with. Meanwhile, the family members enjoy their weekend getaways at a local spa / resort, and Michael suggests to Tobias that he buy a tape recorder to listen to some of his questionable phrasing."
2,11,Out on a Limb,6 Mar. 2005,8.4,"Maggie Lizer returns after Michael bumps into her at the courtroom. But that's not before he realizes that she's 8 1/2 months pregnant. This comes after Michael tries to go after his long-time crush Sally Sitwell. Meanwhile, Michael decides to enlist Lindsay and Tobias to figure out if she's really pregnant."
2,12,Hand to God,6 Mar. 2005,8.8,"Lindsay and Tobias continue to investigate the mysterious pregnancy by Maggie Lizer, while Michael continues to see her. Buster prepares to go off to Iraq, but before doing so, decides to go on a long-delayed right of passage - swimming in the ocean, and gets his hand bit off by a seal."
2,13,Motherboy XXX,13 Mar. 2005,8.7,"Lucille recruits George Michael to take Buster's place at the annual mother son dinner dance. While Michael and Gob are busy tracking down the seal that ate Buster's hand, Tobias signs away the family's life rights in order to get a part with his former acting coach Carl Weathers."
2,14,The Immaculate Election,20 Mar. 2005,8.6,"At his girlfriend's request, George-Michael decides to run for class president, but finds that it will not be easy competing with his rival, Steve Holt. Once again, Michael and Gob find themselves competing with each other as it's revealed that Steve Holt is Gob's son."
2,15,Sword of Destiny,27 Mar. 2005,8.8,"Determined to get back in the Magician's Alliance, Gob buys a sword from a Chinese shop and hires Buster to be the main magician while he's the assistant. Then he meets Tony Wonder who wants Gob and Buster to be on his next DVD."
2,16,Meat the Veals,3 Apr. 2005,9.1,"Michael thinks George-Michael has set the bar too low with his dating standards, so he sets up a meeting between Ann's ultra-conservative parents and his family, hoping that would break them up. But the plan backfires when Michael realizes Ann's family is just as screwed up as his."
