temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Big Bang,20 Nov. 2016,8.2,"Broke and low on options, Earn seeks to enter the music industry, by offering to be a manager for his rapper cousin, Paper Boy."
1,2,Streets on Lock,20 Nov. 2016,8.6,Earn awaits bail after the boys get arrested for their shooting incident.
1,3,Go for Broke,13 Sep. 2016,8.2,"Earn takes Van on a date, still broke. Paper Boi and Darius meet up with a group of thugs for a deal."
1,4,The Streisand Effect,20 Sep. 2016,8.3,"When a blogger begins trashing Paper Boi online, he decides to hunt down the blogger. Darius helps Earn look for a way to make big money fast."
1,5,Nobody Beats the Biebs,27 Sep. 2016,8.1,Paper Boi attends a celebrity event for the youth and is outwitted by a more famous hip hop artist. Earn faces a case of mistaken identity. Darius runs into trouble at the shooting range.
1,6,Value,4 Oct. 2016,7.9,"When Van meets up with an old friend, things don't go well for her and a sticky situation puts her job on the line."
1,7,B.A.N.,11 Oct. 2016,9.3,Paper Boi appears on Montague as a guest and must put up with a tedious interview.
1,8,The Club,18 Oct. 2016,8.8,"Earn, Paper Boi, and Darius attend the Primal Night Club. Paper Boi cannot contend with a popular NBA player who is drawing more people toward him. Earn tails an evasive club owner who owes him money."
1,9,Juneteenth,25 Oct. 2016,8.5,Earn and Van attend a Juneteenth party hosted by a wealthy couple and meet some unusual characters.
1,10,The Jacket,1 Nov. 2016,8.7,Earn wakes up from a night of partying and goes on a quest to find his navy blue bomber jacket.
2,1,Alligator Man,1 Mar. 2018,9.0,"As ""Robbin' Season"" dawns on Atlanta, things escalate when Earn and Darius pay a visit to Earn's uncle, ""The Alligator Man."""
2,2,Sportin' Waves,8 Mar. 2018,8.3,"Things feel a little different back in the city at the beginning of Robbin' Season. Al and Darius have become mysteriously distant, while Tracy provides Earn with another way to make some extra cash while Tracy also prepares for his interview."
2,3,Money Bag Shawty,15 Mar. 2018,8.5,"Earn struggles to shake his ""broke"" persona while Al and Darius pay a visit to Clark County."
2,4,Helen,22 Mar. 2018,8.0,Earn discovers just how weird white people can be when he accompanies Van to a traditional German festival she frequented as a kid.
2,5,Barbershop,29 Mar. 2018,9.1,Al runs into a series of obstacles while trying to get his hair cut.
2,6,Teddy Perkins,5 Apr. 2018,9.7,"When Darius goes to pick up a piano, he meets Teddy Perkins, a strange, eccentric man who makes him feel uneasy."
2,7,Champagne Papi,12 Apr. 2018,7.5,"Van and her friends go to Drake's NYE party hoping to meet him, but things don't go as planned."
2,8,Woods,19 Apr. 2018,8.9,"After getting into an argument with his girlfriend, Paper Boi storms off, gets mugged, gets lost in the woods, and meets a creepy old man who won't stop following and taunting him."
2,9,North of the Border,26 Apr. 2018,9.0,Paper Boi is quick to regret his decision to play a show at a college campus that Earn arranged.
2,10,FUBU,3 May 2018,8.9,"A flashback to Earn and Al's adolescence, where the authenticity of Earn's shirt is embarrassingly called into question at school."
2,11,Crabs in a Barrel,10 May 2018,8.7,"Earn, Alfred and Darius get ready to go on tour in Europe."
3,1,Episode #3.1,2021,,
3,2,Episode #3.2,,,
3,3,Episode #3.3,,,
3,4,Episode #3.4,,,
3,5,Episode #3.5,,,
3,6,Episode #3.6,,,
3,7,Episode #3.7,,,
3,8,Episode #3.8,,,
3,9,Episode #3.9,,,
3,10,Episode #3.10,,,
4,1,Episode #4.1,2020,,
4,2,Episode #4.2,2020,,
4,3,Episode #4.3,2020,,
4,4,Episode #4.4,2020,,
4,5,Episode #4.5,2020,,
4,6,Episode #4.6,2020,,
4,7,Episode #4.7,2020,,
4,8,Episode #4.8,2020,,
