temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Cat and the Claw Part I,5 Sep. 1992,7.9,Catwoman and Batman join forces in an attempt to foil the evil forces of a terrorist by the name of Red Claw.
1,2,On Leather Wings,19 Sep. 1992,7.8,Batman finds himself tangling with a Jekyll-and-Hyde bat creature after it attacks a night watchman and the police wage a war on the Dark Knight.
1,3,Heart of Ice,7 Sep. 1992,9.0,Batman must stop a vengeful Mr. Freeze from fulfilling his vendetta against a callous businessman.
1,4,Feat of Clay Part I,8 Sep. 1992,8.5,A disfigured actor is forced to frame Bruce Wayne.
1,5,Feat of Clay Part II,9 Sep. 1992,8.7,"Forcibly overdosed on a shapechanging substance, Matt Hagan has become the shapeshifting monster, Clayface, and now wants revenge on Roland Dagget."
1,6,It's Never Too Late,10 Sep. 1992,7.8,Batman intervenes in a gang war and tries to convince the older of two rival bosses to change his ways.
1,7,Joker's Favor,11 Sep. 1992,8.5,An ordinary man finds himself forced to assist The Joker in one of his crimes.
1,8,The Cat and the Claw Part II,12 Sep. 1992,7.8,Batman and Catwoman must work together to stop Red Claw from releasing a viral plague outside Gotham.
1,9,Pretty Poison,14 Sep. 1992,8.0,"When Harvey Dent is poisoned with derivative from an extinct flower, Batman must hunt down the assailant who has the antidote, the villainous plant fanatic Poison Ivy."
1,10,Nothing to Fear,15 Sep. 1992,8.1,Batman faces off against the Scarecrow whose fear gas makes the superhero afraid of disgracing the Wayne name.
1,11,Be a Clown,16 Sep. 1992,7.8,"An offhand remark by Mayor Hill on television spurs the Joker into sneaking onto his estate disguised as a clown at the birthday party for Hill's son, Jordan. Joker plants a bomb, but Bruce Wayne, who is attending the party, manages to defuse it. However, Jordan, who is angry at his father, runs away hiding in Joker's van."
1,12,Appointment in Crime Alley,17 Sep. 1992,7.8,"On Batman's annual intensive patrol of the street where his parents were murdered, Roland Dagget plots to devastate it."
1,13,P.O.V.,18 Sep. 1992,7.7,"The day after a police sting to catch a drug lord goes disastrously wrong, the events of the night before are reconstructed by the accounts of three police officers: Harvey Bullock, Renee Montoya, and a rookie."
1,14,The Clock King,21 Sep. 1992,7.9,A ruined efficiency expert with an uncanny sense of timing and schedules plots his revenge against Mayor Hill.
1,15,The Last Laugh,22 Sep. 1992,7.9,The Joker's plot to send all of Gotham into insanity with Joker-gas from a garbage scow leads to a battle on the water.
1,16,Eternal Youth,23 Sep. 1992,7.5,"A health resort, reputed to able to restore one's youth, has a horrific price Batman must cancel."
1,17,Two-Face Part I,25 Sep. 1992,9.2,"On the election trail, Harvey Dent gradually loses control of his repressed evil alternate personality until gangster Rupert Thorne inadvertently unleashes it."
1,18,Two-Face Part II,28 Sep. 1992,9.1,Two-Face begins robbing Rupert Thorne's business in revenge while both the gangster and Batman hunt the dichotomous supervillain for their own reasons.
1,19,Fear of Victory,29 Sep. 1992,7.8,"While investigating a mysterious series of athlete panic attacks during games, Robin is exposed to the fear toxin of the culprit, The Scarecrow."
1,20,I've Got Batman in My Basement,30 Sep. 1992,6.8,"While trying to thwart Penguin's robbery of a rare Faberge egg, Batman is weakened by exposure to a toxic gas. He takes shelter in a basement apartment belonging to a teen-aged amateur detective."
1,21,Vendetta,5 Oct. 1992,7.8,"A convict turned witness disappears and Harvey Bullock, who arrested him, is suspected in the incident."
1,22,Prophecy of Doom,6 Oct. 1992,6.9,A con man convinces a large group of Gotham's richest men that he can see into the future by arranging a series of near-fatal accidents.
1,23,The Forgotten,8 Oct. 1992,7.5,"While in disguise investigating the disappearance of homeless people, Batman is attacked and abducted to a slave camp with his memory lost."
1,24,Mad as a Hatter,12 Oct. 1992,8.1,"When a jealous scientist with a passion for Alice in Wonderland uses his mind control devices to have his dream girl for his own, Batman must intervene."
1,25,The Cape and Cowl Conspiracy,14 Oct. 1992,7.8,A master designer of deathtraps is hired to take Batman's cowl and cape.
1,26,Perchance to Dream,19 Oct. 1992,8.9,"After being knocked out in a mysterious warehouse, Batman wakes up in a world where his parents are alive, he is engaged to Selina Kyle, and someone else is Batman."
1,27,The Underdwellers,21 Oct. 1992,6.9,Batman discovers a subterranean colony of children in the sewer system dominated by the insane Sewer King.
1,28,Night of the Ninja,26 Oct. 1992,7.8,A former fellow student of one of Wayne's old sensei's begins stalking the billionaire in revenge as a ninja.
1,29,The Strange Secret of Bruce Wayne,29 Oct. 1992,8.3,A sinister doctor uses his mind reading machine to learn Batman's secret identity and attempts to auction it.
1,30,Tyger Tyger,30 Oct. 1992,7.1,Selina Kyle is captured by a mad scientist and transformed into a humanoid cat creature.
1,31,Dreams in Darkness,3 Nov. 1992,8.4,"While affected by the Scarecrow's fear toxin, Batman finds himself an inmate of Arkham Asylum."
1,32,Beware the Gray Ghost,4 Nov. 1992,8.9,A series of bombings reminiscent of a long lost TV series occur and the washed up star of it may be connected.
1,33,Cat Scratch Fever,5 Nov. 1992,7.4,"While Catwoman searches for her missing cat, she uncovers a plot to infect Gotham City that Batman must help stop."
1,34,I Am the Night,9 Nov. 1992,8.5,Batman has serious doubts about his calling when Commissioner Gordon is seriously wounded.
1,35,Almost Got 'im,10 Nov. 1992,9.3,"In a bar, a collection of Batman's enemies chat about their failed attempts to kill him."
1,36,Moon of the Wolf,11 Nov. 1992,7.1,Batman investigates sightings of an apparent werewolf.
1,37,Terror in the Sky,12 Nov. 1992,7.5,"The Man-Bat appears to be on the loose again, but it isn't clear if Dr. Kirk Langstrom is involved."
1,38,Christmas with the Joker,13 Nov. 1992,8.0,"On Christmas Eve, Joker broadcasts a pirate Christmas special on television. Batman and Robin have until midnight to fight their way past Joker's traps hidden all over town and rescue Commissioner Gordon, Harvey Bullock, and Summer Gleeson."
1,39,Heart of Steel: Part I,16 Nov. 1992,8.0,"A hyper-sophisticated robot steals computer technology from Wayne Enterprises, leading Batman to a sentient supercomputer, H.A.R.D.A.C., and its plan to replace humans with androids."
1,40,Heart of Steel: Part II,17 Nov. 1992,8.1,"Batman tracks a series of robots to Cybertron's headquarters, with some assistance from Barbara Gordon."
1,41,"If You're So Smart, Why Aren't You Rich?",18 Nov. 1992,8.4,A fired puzzle designer seeks revenge against his greedy former employer as The Riddler.
1,42,Joker's Wild,19 Nov. 1992,8.3,"When the Joker learns that a casino owner is using his likeness for the theme of his business, he escapes Arkham Asylum to destroy it while unaware of the owner's real motives."
1,43,His Silicon Soul,20 Nov. 1992,8.3,"H.A.R.D.A.C.'s robot replica of Bruce Wayne wanders around, believing itself to be the real Batman."
1,44,Off Balance,23 Nov. 1992,7.8,"Batman teams up with the mysterious Talia to retrieve a prototype weapon from the supervillain, Count Vertigo."
1,45,What Is Reality?,24 Nov. 1992,7.9,"When the Riddler traps Commissioner Gordon's consciousness in a virtual reality device, Batman must enter the villain's construct to save him."
1,46,The Laughing Fish,10 Jan. 1993,8.7,The Joker starts threatening the patent office staff when they refuse to patent his disfigured fish.
1,47,Harley and Ivy,18 Jan. 1993,8.7,"Harley Quinn teams up with Poison Ivy and both become the Queens of Crime, after the Joker and Batman find out."
1,48,The Mechanic,24 Jan. 1993,7.7,The Penguin finds the mechanic who designs Batman's Batmobiles and forces him to turn the current model into a deathtrap.
1,49,The Man Who Killed Batman,1 Feb. 1993,8.8,"A small time crook tells his story of how he accidentally seemed to kill Batman, and how now everyone wants to kill him next."
1,50,Zatanna,2 Feb. 1993,8.0,A stage magician - and former friend of Bruce Wayne - is framed for grand larceny.
1,51,Robin's Reckoning: Part I,7 Feb. 1993,8.7,"After learning the name of an extortion ringleader, Batman mysteriously refuses to let Robin continue the investigation with him."
1,52,Birds of a Feather,8 Feb. 1993,7.9,"It's love for the Penguin when socialite Veronica Vreeland hooks up with him, but it's only an attempt to raise her social status."
1,53,Robin's Reckoning: Part II,14 Feb. 1993,8.6,"Batman orders Robin to stay at home while he goes to catch Tony Zucco, but Robin goes out anyway."
1,54,Blind as a Bat,22 Feb. 1993,7.6,"Although temporarily blinded, Batman is still determined to stop The Penguin who is threatening the city with a prototype attack helicopter."
1,55,Day of the Samurai,23 Feb. 1993,8.0,Batman visits one of his teachers to help fight Kyodai Ken who has learned the secret of a death touch attack.
1,56,See No Evil,24 Feb. 1993,7.9,"A small-time crook has stolen an invisibility suit, which he has been using to steal jewels, and now plans to steal his young daughter from his ex-wife."
1,57,The Demon's Quest: Part I,3 May 1993,8.4,"Robin is kidnapped, and Batman unexpectedly joins forces with Ra's Al Ghul, whose daughter Talia has also been taken."
1,58,The Demon's Quest: Part II,4 May 1993,8.4,Batman must stop R'as Al Ghul's plot to destroy the earth.
1,59,Read My Lips,10 May 1993,8.5,Batman must stop an insane ventriloquist whose alternate criminal personality dominates him through his gangster dummy.
1,60,Fire from Olympus,24 May 1993,7.3,"An energy weapon developed by the Army has disappeared, and Batman discovers that a mad shipping magnate who now fancies himself the god Zeus will use it to devastate Gotham."
2,1,Shadow of the Bat,13 Sep. 1993,8.4,"Commissioner James Gordon is arrested for corruption, forcing his daughter, Barbara Gordon, to take a dramatic step to help him."
2,2,Shadow of the Bat Part II,14 Sep. 1993,8.4,"Barbara Gordon, now Batgirl, joins Batman and Robin's investigation of Commissioner Gordon's framing."
2,3,Mudslide,15 Sep. 1993,8.3,Clayface resurfaces with his body's cellular integrity decaying.
2,4,The Worry Men,16 Sep. 1993,7.5,The Mad Hatter plants mind-control devices inside miniature native dolls distributed to high-society Gothamites by Veronica Vreeland.
