temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Somebody's Dead,19 Feb. 2017,8.2,A suspicious death at an elementary school fundraiser draws attention to the frictions among three mothers and their families.
1,2,Serious Mothering,24 Feb. 2017,8.2,"Jane deflects questions from Ziggy, Madeline is outraged over a slight from Renata, and Celeste suggests she and Perry see a counselor."
1,3,Living the Dream,5 Mar. 2017,8.5,"Madeline organizes a trip to compete with Amabella's birthday party, Celeste succumbs to Perry's charms, and Jane opens up about her past."
1,4,Push Comes to Shove,12 Mar. 2017,8.3,"Nathan invites Madeline and Ed to a couples' dinner to discuss Abigail, while in light of further evidence of bullying, Ms. Barnes suggests Ziggy be medically evaluated."
1,5,Once Bitten,19 Mar. 2017,8.7,"Madeline is confronted by a desperate Joseph, the school principal scrutinizes Ziggy's behavior, and Dr. Reisman presses Celeste about her marriage."
1,6,Burning Love,26 Mar. 2017,8.6,Bonnie tells Nathan about Abigail's secret project; Jane confronts Renata; Ed and Madeline have a candid conversation about their lack of passion.
1,7,You Get What You Need,2 Apr. 2017,9.5,Celeste makes a bold move; Madeline deals with fallout from her past; Jane learns who's really been hurting Amabella.
2,1,What Have They Done?,10 Jun. 2019,8.2,Madeleine is shocked when Abigail says that she doesn't want to go to college; Bonnie exhibits worrying behavior; Perry's grief-ridden mother arrives in Monterey.
2,2,Tell-Tale Hearts,16 Jun. 2019,8.8,Renata faces an uncertain future when Gordon lands in legal trouble; Celeste opens up to Mary Louise about her relationship with Perry; Ed confronts Madeline about her secrets.
2,3,The End of the World,23 Jun. 2019,8.1,Renata discovers that Amabella is experiencing a crisis at school; Madeleine and Ed go into couples therapy; Mary Louise sets her sights on Jane and Ziggy; Celeste struggles with the possibility that she was addicted to Perry.
2,4,She Knows,30 Jun. 2019,8.3,Renata throws Amabella a disco-themed birthday bash; after attending a prying bankruptcy hearing with Gordon; Celeste begins to unravel under a drastic decision made by Mary Louise; Madeleine and Ed remain at odds.
2,5,Kill Me,7 Jul. 2019,8.2,"Renata tries to help Celeste; Bonnie struggles with her mother's recovery; Celeste attends a custody hearing; Josh, Max and Ziggy are bullied by a boy at school."
2,6,The Bad Mother,14 Jul. 2019,8.8,Celeste is blindsided by Mary Louise; Bonnie contemplates a solution to her mother's suffering and her own ongoing guilt; The Monterey Five feel the pressure of increased scrutiny of Perry's death.
2,7,I Want to Know,21 Jul. 2019,8.9,Celeste questions Mary Louise about a tragic event from Perry's childhood; Madeline worries their lie is tearing the Monterey Five apart.
3,1,Episode #3.1,,,
