temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Cooking the Books,29 Sep. 2000,8.2,"Bernard is struggling to cope with getting down to menial but essential tasks for his book shop, such as the accounts when a chance meeting with a customer, Manny, helps him out. Meanwhile, the owner of the shop next door, enlists the help of Bernard and his customers to find out exactly what an object from her shop is and in doing so misses an important appointment."
1,2,Manny's First Day,6 Oct. 2000,8.3,"Bernard wakes up to discover that he has a new employee for his book shop, who infuriatingly has great skill at selling books. While Bernard is reluctant to keep him on, Fran makes her feelings clear on the matter."
1,3,Grapes of Wrath,13 Oct. 2000,8.7,"After Manny calls a cleaner to the shop, he and Bernard must vacate it. Luckily they are asked to house sit for a friend. Meanwhile Fran goes on an ill-fated date."
1,4,The Blackout,20 Oct. 2000,8.2,"Manny stays up watching 'The Sweeney' and is mistaken for a policeman after chasing a handbag snatcher. Fran and Bernard exchange stories about their previous day, Bernard recalling a disastrous dinner party with old friends who blanked him and Fran telling him about blanking her boyfriend after catching him with another woman."
1,5,The Big Lock-Out,27 Oct. 2000,8.4,Following a burglary Bernard buys a sophisticated alarm system which results in Manny getting locked inside the shop and Bernard stuck outside in the rain. Fran is no help as she took her phone off the hook to listen to the sexy man reading the shipping forecast.
1,6,He's Leaving Home,3 Nov. 2000,7.9,"Manny finally gets fed up with Bernard's constant abuse and demands on him so he leaves for a better life. However, he doesn't get far when he meets a man at King's Cross station who wants to make him a star. Meanwhile back at the shop Fran and Bernard are arguing more and more about Manny's departure."
2,1,The Entertainer,1 Mar. 2002,8.4,"Fran decides to take up piano lessons with a very prominent teacher, however all doesn't go to plan and she ends up having to ask Manny for a favour. Meanwhile Bernard asks a girl out and once again Manny is called upon for a favour."
2,2,Fever,8 Mar. 2002,8.1,"On a scorching hot day, Manny tries to maintain his body temperature so it doesn't go over 88 degrees; Fran has problems with a new neighbour, and Bernard tries to find an appropriate ""summer girl""."
2,3,The Fixer,15 Mar. 2002,8.0,"Bernard and Manny have to deal with a gangster turned writer who plans to hold a reading of his autobiography at the book shop, however he can't read. Meanwhile Fran gets an office job where she isn't quite sure what she is meant to be doing."
2,4,Blood,22 Mar. 2002,8.0,Manny and Bernard try to keep up with modern book shops and in doing so Manny helps Fran get over her boredom by encouraging her to look up her family tree.
2,5,Hello Sun,29 Mar. 2002,8.0,"Fran tries to cleanse her lifestyle by taking up yoga and going on a radical diet, while Bernard and Manny receive some books on Freud and their lives descend into his famous theories."
2,6,A Nice Change,5 Apr. 2002,8.0,"When construction starts next door to the shop, Manny, Bernard and Fran try to decide what to do while it continues."
3,1,Manny Come Home,11 Mar. 2004,8.3,"When Manny defects to Goliath Books after an ""incident"" with Bernard, his ex-employer's life spirals out of control. Meanwhile Fran returns from holiday only to be greeted by the squalor of Bernard's shop."
3,2,Elephants and Hens,18 Mar. 2004,8.5,"When Bernard holds a children's themed book day in the shop, Fran bets Manny and Bernard they couldn't write a children's book over a weekend, while Bernard bets Fran back that she will have an awful time at her friend's hen party."
3,3,Moo-Ma and Moo-Pa,25 Mar. 2004,7.9,"Manny's parents visit the shop for the weekend, and the lies he's told them throw Fran and Bernard's lives into chaos."
3,4,A Little Flutter,1 Apr. 2004,7.8,Bernard becomes addicted to gambling and forces Manny and Fran to compete for one job at the shop in order to finance his bets.
3,5,Travel Writer,8 Apr. 2004,7.6,"Fran & Manny become enamored with a dashing travel writer giving a talk at the shop, while Bernard contends with a most unorthodox new landlord."
3,6,Party,15 Apr. 2004,8.3,"Manny and Fran drag Bernard along with them to a party, but the drunken aftermath dredges up secrets and bitterness."
