temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,"BoJack Horseman: The BoJack Horseman Story, Chapter One",20 Oct. 2015,7.1,"A publishing house eagerly awaits BoJack's memoirs, but he hasn't even started yet. His agent/ex and his publisher try to talk him into working with a ghost writer, but BoJack's too despondent about being washed up to focus."
1,2,BoJack Hates the Troops,22 Aug. 2014,7.7,"BoJack gets into trouble after taking muffins a Navy Seal had ""dibs"" on and then calling American soldiers jerks on live television."
1,3,Prickly Muffin,22 Aug. 2014,7.4,A child actress from the sitcom BoJack starred in 20 years ago shows up at his house leading to a series of chaotic events.
1,4,Zoës and Zeldas,22 Aug. 2014,7.5,Bojack mentors Todd in his upcoming career; meanwhile Diane's ex-boyfriend writes an article about Mr. Peanutbutter for an online article.
1,5,"Live Fast, Diane Nguyen",22 Aug. 2014,7.4,A business trip for BoJack and Diane takes a detour; Todd runs a scam that gets him in trouble.
1,6,Our A-Story Is a 'D' Story,22 Aug. 2014,7.9,"In a bout of drunken jealousy toward Mr. Peanutbutter, BoJack steals the ""D"" from the Hollywood sign for Diane. Meanwhile, Todd finds himself juggling two very demanding dates."
1,7,Say Anything,22 Aug. 2014,8.0,"Princess Carolyn tries to have it all and prove she's the best agent in the biz, while Bojack, Todd, and Vanessa Gecko make it as difficult as possible."
1,8,The Telescope,22 Aug. 2014,8.6,"When he learns his old friend from ""Horsin' Around"" is dying, BoJack tries to mend fences."
1,9,Horse Majeure,22 Aug. 2014,7.9,A love struck BoJack tries to sabotage a wedding; Todd accepts a surprising new professional role.
1,10,One Trick Pony,22 Aug. 2014,7.8,BoJack shoots a movie at Mr. Peanutbutter's house; Diane finishes her book.
1,11,Downer Ending,22 Aug. 2014,9.1,"BoJack embarks on a project in his typically gonzo style, leading to a drug-fueled revelation."
1,12,Later,22 Aug. 2014,8.4,"Months after his memoir is released, BoJack's being considered for a role that's a life long dream."
2,0,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,19 Dec. 2014,7.2,"BoJack and Todd watch a very special Christmas episode of ""Horsin' Around"" to celebrate the holidays."
2,1,Brand New Couch,20 Oct. 2015,8.1,"Picking up where he left off, Bojack Horseman is now set to start filming his dream movie Secretariat."
2,2,Yesterdayland,17 Jul. 2015,7.8,BoJack is drawn to the one female in town who has no idea who he is (because she was in a coma). Todd opens a theme park.
2,3,Still Broken,17 Jul. 2015,8.0,"A funeral turns into a treasure hunt for the ""Horsin' Around"" cast and a potential schmoozefest for Princess Carolyn and Mr. Peanutbutter. Meanwhile, Todd briefly reinvents himself."
2,4,After the Party,17 Jul. 2015,8.0,"Mr. Peanutbutter throws Diane a surprise birthday party, putting tension on their relationship. Princess Carolyn and Vincent have a serious talk. Wanda tells BoJack a joke."
