temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,8 Jan. 2014,8.0,"The chair of the Malmo city council is found dead right on the Danish-Swedish border on the Øresund bridge between Copenhagen and Malmo - the corpse cut in half at the waistline. Detective Saga Norén of Malmo CID is applied to the case and soon learns that the lower half of the corpse belongs to a yet unknown Danish woman. She is forced to team up with her Danish colleague Martin Rohde, who is slightly irritated by her unusual manners. At the same time, Göran Söringer is brought to Copenhagen's Rigshospitalet to receive a heart transplant. At arrival he is considered ..."
1,2,Episode #1.2,28 Sep. 2011,7.9,"The bomb in Daniel Ferbé's car did not go off. Instead, the car's CD player put out a disc that contains a message from the murderer, which is also published on a website. He deplores five grievances of society, the first of which shall be highlighted by the murders. Norén traces back the website of the murderer to a server of the Danish CID and Rohde reopens the case of the second victim, a Danish prostitute who disappeared more than a year ago, and obtains her diary. Eventually Charlotte Söringer manages to get her beloved husband his heart transplant. Shortly after..."
1,3,Episode #1.3,5 Oct. 2011,7.9,"To draw attention to the increased number of people falling through the cracks of society, the killer kidnaps a homeless man and demands a large ransom from four landlords for his survival. So what is the price of a human being after all?"
1,4,Episode #1.4,12 Oct. 2011,8.1,"Knowing the killer has carefully planned his crimes, Saga and Martin wonder whether they can catch him off guard by doing something he doesn't expect."
1,5,Episode #1.5,19 Oct. 2011,8.0,The murderer has groomed a number of schizophrenics to commit carefully synchronized violent crimes on the same day in Malmo and Copenhagen.
1,6,Episode #1.6,26 Oct. 2011,8.0,A rogue policeman is killed by someone in uniform. The detectives believe that the killer for whom they are searching was the killer. They also now suspect that the killer may indeed be one of them - that he is actually is a cop.
1,7,Episode #1.7,2 Nov. 2011,8.1,"A bus-load of children is kidnapped and are threatened to be killed. The police believe that the kidnapper is the killer, and the hunt continues."
1,8,Episode #1.8,9 Nov. 2011,8.2,"Because the detectives suspect that a policeman is involved, a profile of the killer is developed and several police fit the profile and a search among them begins. The hunt continues and a particular suspect is found."
1,9,Episode #1.9,17 Nov. 2011,8.7,Things are brought closer to home when the criminal's mask is removed.
1,10,Episode #1.10,23 Nov. 2011,8.8,"The crime spree is resolved. However, many loose threads remain."
2,1,Episode #2.1,22 Sep. 2013,8.1,"A tanker is heading towards the bridge. When it is boarded by the coastguard the crew are discovered to be missing. The only people on board are five youths, drugged and chained. Saga and Martin are assigned to investigate the case."
2,2,Episode #2.2,29 Sep. 2013,7.9,Four individuals wearing animal masks post a video online claiming responsibility for the tanker Saga and Martin are investigating. Deaths are reported of people eating poisoned food. Are the cases connected?
2,3,Episode #2.3,6 Oct. 2013,8.1,"Saga and Martin continue their hunt for the eco-terrorists, who have realised the police are on their trail."
2,4,Episode #2.4,13 Oct. 2013,8.0,"The hunt is on for the leader of the eco-terrorists, with Saga and Martin hoping to stop any further attacks from happening."
2,5,Episode #2.5,20 Oct. 2013,8.1,"As the investigation moves forward a new group of four, animal head wearing, eco-terrorists post a video online. Saga is having some relationship ""issues""."
2,6,Episode #2.6,27 Oct. 2013,8.1,"A sunken boat containing skeletal remains is found, that appears to be related to the eco-terrorist case. Martin's son is taken into hospital in a serious condition."
2,7,Episode #2.7,3 Nov. 2013,8.1,A chemical plant is attacked which threatens to contaminate a water source. Saga realises living with a partner is harder than she thought. Martin looks into Saga's past.
2,8,Episode #2.8,10 Nov. 2013,8.2,Martin visits Jens in prison and seems to be getting to him. As they re-interview witnesses Saga suspects a statement has been tampered with. Laura regains consciousness and remembers what her assailant looks like.
2,9,Episode #2.9,17 Nov. 2013,8.6,"Saga and Martin have a sketch of the suspect, but can they get to them in time to avert 'The Graduation'. Their friendship is placed under strain by Martins inquiry into Saga's past."
2,10,Episode #2.10,24 Nov. 2013,8.9,It becomes apparent that the case isn't over and Saga and Martin race to prevent another terrorist attack. Saga faces a decision that may destroy her friendship with Martin.
3,1,Episode #3.1,27 Sep. 2015,8.1,"When a well-known gender theorist, and owner of Copenhagen's first gender-neutral preschool, is found murdered at a construction site in Malmö, Saga has to cooperate with a new Danish colleague, Hanne, who has difficulty accepting Saga."
3,2,Episode #3.2,4 Oct. 2015,8.1,"Saga gets a new Danish colleague, Henrik Sabroe, and together they continue to investigate Helle Anker's murder."
3,3,Episode #3.3,11 Oct. 2015,8.0,"The police receive a video demanding a ransom in exchange for Hans' release. They manage to locate him, but when they are about to free him, they find that his kidnapper has been shot and Hans has been abducted again."
3,4,Episode #3.4,18 Oct. 2015,8.1,"Hans is still in a coma. Saga makes a mistake in a dramatic hostage situation, but they manage to arrest a suspect who is taken in for questioning."
3,5,Episode #3.5,25 Oct. 2015,8.2,"Lillian discovers a wound in Hans' mouth, which turns out to be a branding mark. The other two victims are examined again and they also have the same kind of branding mark. The perpetrator is probably branding his victims, but for what?"
3,6,Episode #3.6,1 Nov. 2015,8.2,"Saga and Henrik see a connection between the victims and some artwork hanging in a museum. All of the artwork is owned by Freddie Holst, a well-known and successful Danish business man."
3,7,Episode #3.7,8 Nov. 2015,8.2,"An older couple is found murdered in a spectacular fashion in their house outside Ystad. They have a connection to a piece of art and they both have branding marks in their mouths, just like the previous victims."
3,8,Episode #3.8,15 Nov. 2015,8.4,"The hunt for the killer intensifies, and Saga and Henrik are certain of his identity. But when they are about to bring him in, he has disappeared."
3,9,Episode #3.9,22 Nov. 2015,8.4,Saga has been forced to take a leave of absence from the investigation and her old colleague Rasmus Larsson takes her place.
3,10,Episode #3.10,29 Nov. 2015,8.9,The hunt for the perpetrator and Freddie's newborn baby continues. Freddie gets an SMS from the kidnapper with a picture of the baby and a meeting place.
