temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Popcopy & Clayton Bigsby,22 Jan. 2003,8.8,First show of the series. Sketches include a training film for employees of PopCopy.
1,2,Tyrone Biggums At School & Wrap It Up Box,29 Jan. 2003,8.1,"Dave introduces the character, crack addict Tyrone Bigguns, who visits an elementary school and gives (what should've been) an anti-drug lecture to a class of 11 year olds."
1,3,Zapped & It's A Wonderful Chest,5 Feb. 2003,7.7,"Dave discusses his turning down QVC, a parody of Roots, including an out-take reel of gags and bloopers (to the tune of 'Yakkety-Sax'), Dave shows clips from previous, aborted shows which were filmed, but never aired. A modern take on _ 'It's a Wonderful Life' (1946)_ where Dave shows a girl who curses her big breasts away, and wonders what life would've been like without them."
1,4,Reparations & NY Boobs,12 Feb. 2003,8.0,"Dave's in New York City's Time Square with Fear Factor's Joe Rogan, to award woman for having 'N.Y. Boobs'."
1,5,Great Moments In Hookup History & Ask A Black Dude,19 Feb. 2003,8.0,"Dave's sketches include; 'Ask a Black Dude, with Paul Mooney' and 'Great Moments in Hookup History'."
1,6,Mad Real World & Ask A Gay Dude,26 Feb. 2003,8.3,"Dave's sketches include a parody of 'The Real World, with an all-black cast and one white man."
1,7,Real Movies & Wu-Tang Financial,5 Mar. 2003,7.9,"Dave introduces a financial consulting firm created by the Wu-Tang Clan. Plus he gives his ""realistic"" take on some movie classics such as ""The Matrix"" and ""Pretty Woman""."
1,8,Tyrone Biggums's Intervention & Racist Hollywood Animals,12 Mar. 2003,7.9,"Tyrone Biggums, returns in a skit. Plus Dave takes a look at racism amongst Hollywood's top animal stars, including Flipper, Ron Tin-Tin, and Lassie."
1,9,Blackzilla & Playa Haters' Ball,19 Mar. 2003,8.2,"Sketches include Dave starring in his own video game. Plus, Dave introduces 'The Playa Haters' Club', and Dave's take on Japanese monster movies with 'Blackzilla!'."
1,10,Piss On You & The World's Greatest Wars,26 Mar. 2003,8.1,"Dave stars in a recreation of R. Kelly's infamous video. Also, a take-off on the film, 'Deep Impact' (1998), and the inner-city gang wars of the '80s."
1,11,Make-A-Wish & Fisticuff,2 Apr. 2003,7.8,"Dave riffs on 50 Cent's latest album, and reprises 'Turn my Headphones Up.' A spoof of the Make-a-Wish Foundation. A skit parodying The ""Magic Camera"". Musical guest; De La Soul."
1,12,O'Dweeds & Trading Spouses,9 Apr. 2003,8.0,"Skits include a parody of the TV series _ 'Trading Spouses' (2004)_ (between a black husband/father and white husband/father which swap families). Also: a parody sponsor's commercial for 'O'Dweeds Non-Intoxicating' marijuana. Musical guest; ""BlackStar"" (featuring Mos Def & Talib Kweli)."
1,13,The Best of Chappelle's Show: Volume 1 Mixtape,16 Apr. 2003,7.6,"Skits include an instructional training film for new employees of PopCopy', on the finer points of customer-staff relations (abuse). Dave discusses misogyny as being in the entertainment business far longer than rap music, and illustrates the point with 'found footage' from the '50's, of Nat King Cole behaving badly towards women. A commercial for the Home Stenographer'. PBS Frontline does an exposé on the blind KKK leader who believes he's white."
1,14,The Best of Chappelle's Show: Volume 2 Mixtape,16 Jul. 2003,7.3,
2,1,Samuel Jackson Beer & Racial Draft,21 Jan. 2004,8.7,"Dave debuts Samuel Jackson beer, shows us how much cooler life would be if everything were in slow motion and reveals the latest picks in ""The Racial Draft""."
2,2,Negrodamus & The Niggar Family,28 Jan. 2004,8.5,"Dave plays the watermelon-shooting Black Gallagher and introduces the Niggar Family; Paul Mooney guest stars as ""Negrodamus."" Musical guest DMX."
2,3,White People Can't Dance & The Three Daves,4 Feb. 2004,8.1,"Dave explores the myth that white people can't dance and charts his own emotional growth at ages 18, 24, and 30; musical performance by John Mayer & Ahmir ""Questlove"" Thompson."
2,4,The Love Contract & True Hollywood Stories: Rick James,11 Feb. 2004,9.5,Dave introduces The Love Contract and the first of Charlie Murphy's True Hollywood Stories featuring Rick James. Musical guest Ludacris.
2,5,True Hollywood Stories: Prince & Red Balls Energy Drink,18 Feb. 2004,8.9,"Charlie Murphy reveals another True Hollywood Story featuring Prince, and Paul Mooney answers life's biggest questions as ""Negrodamus."" Cee-Lo performs ""Call Me""."
