temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Massimo Bottura,21 Feb. 2015,8.6,"A look into the life of Massimo Bottura and his world renowned restaurant Osteria Francescana in Modena, Italy."
1,2,Dan Barber,12 Feb. 2015,7.7,"A look at Dan Barber and his restaurant Blue Hill, and the start of the farm-to-table movement."
1,3,Francis Mallmann,26 Apr. 2015,8.3,Argentine chef Francis Mallman combines his prestigious French culinary background with traditional Patagonian fire and earth cooking methods to create sensational dining experiences.
1,4,Niki Nakayama,26 Apr. 2015,7.9,A look at chef Niki Nakayama and her Los Angeles restaurant n/naka.
1,5,Ben Shewry,26 Apr. 2015,7.6,An interview with Ben Shewry and a look at his restaurant Attica in Australia.
1,6,Magnus Nilsson,26 Apr. 2015,8.4,A look at chef Magnus Nilsson and his restaurant in Sweden.
2,1,Grant Achatz,27 May 2016,9.2,"Discover the amazing story of one of the greatest innovators, how he started experimenting with flavors, textures and aromas, and how he battled a disease that almost killed him."
2,2,Alex Atala,27 May 2016,8.7,"A look at chef Alex Atala wild spirit and love for the Amazon and his restaurant (D.O.M), in Brazil."
2,3,Dominique Crenn,27 May 2016,7.8,Dominique Crenn is the first female chef in the U.S. to earn two Michelin stars. Her artistic dishes are mostly named and presented beautifully -- in a way that corresponds to her own 13-line poem. She is also a very pretty woman herself.
2,4,Enrique Olvera,27 May 2016,8.1,"At the forefront of transforming Mexican cuisine, Enrique Olvera champions traditional ingredients under a haute perspective as he delves into the roots of Mexico to create award-winning dishes at his restaurant, Pujol."
2,5,Ana Ros,27 May 2016,7.7,"Amazing chef from Slovenia, creating miracle dishes in her restaurant Hisa Franko in Soca Valley. Ana Ros spent 16 years revolutionizing Slovenian authentic cuisine becoming part of an internationally renown chef milieu."
2,6,Gaggan Anand,27 May 2016,8.8,"Chef Gaggan Anand, of Gaggan restaurant in Bangkok, Thailand, tells the story of his journey from poor child of India to star chef of progressive Indian cuisine."
3,1,Jeong Kwan,17 Feb. 2017,8.9,"Kwan is a not your regular defined chef. She's living as a monk in Korea. She is connected to the spiritual side of food. Instead of trying to be the best in the world, any sense of ego is stripped from her mind and she cooks from the soul."
3,2,Vladimir Mukhin,17 Feb. 2017,7.6,Russian chef who searches old history books for authentic Russian food to recreate into modern recipes. Very fierce and ambitious chef who wants to be the best in the world.
3,3,Nancy Silverton,17 Feb. 2017,8.2,"An American chef describes her life path involving both Los Angeles and Italy, her family and her obsession with bread."
3,4,Ivan Orkin,17 Feb. 2017,8.3,"A chef tells his story about dealing with ramen in Tokyo and New York, full of emotions and life."
3,5,Tim Raue,17 Feb. 2017,7.2,"A chef from Berlin talks about his childhood, growing up, getting involved with cooking and how he rose to the top of German chefs."
3,6,Virgilio Martinez,17 Feb. 2017,8.9,"Magnificently creative and a true visionary, Peruvian chef takes us on a trip through Peru to help us understand his ideas, inspiration and his history as a chef."
4,1,Christina Tosi,13 Apr. 2018,7.9,"Chef Christina Tosi talks about her life, her career and her inspiration, which lead her to running a successful New York pastry franchise."
4,2,Corrado Assenza,13 Apr. 2018,8.4,"Chef Corrado Assenza talks about preserving the traditional values and creating his pastries in Noto, Italy."
4,3,Jordi Roca,13 Apr. 2018,8.5,"A tale of three brothers behind one of the best restaurants in the world, with special focus on the pastry chef among them."
4,4,Will Goldfarb,13 Apr. 2018,7.4,Chef Will Goldfarb talks about his dynamic career and the obstacles he encountered on the way to where he is today.
5,1,Cristina Martinez,28 Sep. 2018,6.9,"Cristina talks her family, remembers her difficult past in Mexico and comments on her current struggles in the U.S., where she has her own barbacoa restaurant."
5,2,Musa Dagdeviren,28 Sep. 2018,8.6,"After journeying through Turkey's regions, Chef Musa transformed the culinary scene in Istanbul when he started preparing traditional Turkish dishes in his restaurant."
5,3,Bo Songvisava,28 Sep. 2018,7.9,"Chef Bo describes her path, involving training in London, finding organic produce, and the difficulties of opening an authentic Thai restaurant in the capital of -- Thailand."
5,4,Albert Adriá,28 Sep. 2018,8.1,"Trying to break out of living in the shadow of his past, Chef Albert explores how far he can move his creativity in creating the avant-garde."
6,1,Mashama Bailey,22 Feb. 2019,7.5,"Mashama Bailey returns to Georgia, her place of birth, to open a new restaurant drawing on the knowledge and culinary history of the Southern African American chefs who came before her."
6,2,Dario Cecchini,22 Feb. 2019,8.3,Aspiring veterinarian Dario Ceccini returns to save his family's butchery business and becomes the world's most famous butcher.
6,3,Asma Khan,22 Feb. 2019,8.1,Asma Khan abandons a career in British constitutional law to return to India to extract the secret recipes of her family's Royal Muglai roots.
6,4,Sean Brock,22 Feb. 2019,8.1,"Sean Brock, who has devoted his career to preserving southern food crops and culinary traditions, is finally forced to reckon with personal demons that threaten his life"
