temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Natsu no owari no sayonara,2 Oct. 2008,7.7,"After losing a couple of baseball games, Akio Furukawa asks Tomoya to invite his friends and hell him win the game."
1,2,Itsuwari no ai o sagashite,9 Oct. 2008,7.9,"Mei worries for the brother, in fact he does not yet know what will occupy after completion of school, she decides some time to live at Nagisa. A plan appears at Tomoya, how to compel Mei to think that at Youhei all be well."
1,3,Surechigau kokoro,16 Oct. 2008,7.8,"Youhei and Sanae go to the appointment, they are accompanied by Tomoya, Nagisa and Mei. Mei feels still, that her brother is hopeless, in spite of intermingling with a reliable girl, she continues to worry for him."
1,4,Anohi to onaji egao de,23 Oct. 2008,8.2,"Youhei does not attend school, from what his friends and Mei begin to worry. Mei, Tomoya and Nagisa go to FC and ask them, that they gave Youhei possibility again to play a soccer command."
1,5,Kimi no ita kisetsu,30 Oct. 2008,8.0,"Tomoya and Nagisa come to Youhei. Tomoya fell asleep and saw the past of Misae. When Misae went to senior school, she met a strange boy that was named Katsuki Shima. He it is said that came to her, to carry out her wishes. Misae in love in Igarashi, but he has a girl already."
1,6,Zutto anata no soba ni,6 Nov. 2008,8.8,"Shima knows that Katsuki not real. Real Katsuki died, and he is only his cat that accepted his form, to carry out the wishes of Misae. On an autumn festival, Misae decided to think a desire. She wished, that Katsuki always loved her and was with her. Tomoya wakes up. He understands that all of it a cat showed him."
1,7,Kanojo no ibasho,13 Nov. 2008,7.6,"Tomoya, Nagisa and Youhei know that Yukine is related to two municipal bands. Her elder brother, Kazuto, leader of one of groupments. A little boy, by name Yu, comes to Yukine, that she helped to find his senior sister. Youhei decides will pretend to be senior brother Yukine. She tells that Kazuto now dead."
1,8,Yûki aru tatakai,20 Nov. 2008,7.9,"Tomoya talks Yukine and other, that if bands will continue opposition, them a police will take up. Trying to prevent it, Yukine goes with Tomoya, to persuade the second band to stop opposition. Youhei consents to play the role of Katuzo, but before a battle all are helped to bread from the bakery of Furukawa, that was baked by Sanae. One only Tomoya did not eat bread, guessing about consequences. Yukine tells about death of Katuzo. Both bands come to the grave of Katuzo, where they decide to make peace."
1,9,Sakamichi no tochû,27 Nov. 2008,8.8,"The end of school year approaches. Tomoya and his friends discuss the plans on the future. Kyou wants to become a nursery governess in kindergarten, Ryou decides to become train nurse, Kotomi gathers to continue educating in America, and Youhei gathers to become a model. Tomoyadid not yet decide only, that he would do farther. Nagisa falls ill again, that does not allow to walk her in school and go in for exam. In the day of producing, Tomoya comes to her, and she wants to be missed with him, holding on to the hands."
1,10,Hajimari no kisetsu,4 Dec. 2008,8.3,"Tomoya decides that it is time reason more independent, he wants to find job; Akio arranges him to work as in a bakery a salesman. Nagisa is left back again, for this time she was able to lead a few new friends, but not able to recover a theatre group. Soon Tomoya moves from home of Furukawa in the own suites of rooms, and also settles down on work in Hikarizaka Electric Company."
1,11,Yakusoku no sôritsushasai,11 Dec. 2008,8.4,"Work of Tomoya has both pluses and minuses. He does not want, that his boss knew about the trauma of shoulder. He promises Nagisa, that will come on a festival in honour the day of Founder, but not able."
1,12,Totsuzen no dekigoto,18 Dec. 2008,9.1,"Yusuke tells Tomoya a bit about the past, and also about that, how he became acquainted with Koko at senior school. After completion of school, Yusuke decided to become a successful singer, but, in the total, all went not so, and he began to do drug. Tomoya offer new position of manager in a new firm, however suggestion was anniented because his father was detained and arrested. Tomoya is infuriated by that Nayuki it is still succeeded to do for to him life. Later, Tomoya does suggestion of Nagisa, and she consents."
1,13,Sotsugyô,8 Jan. 2009,8.7,"Tomoya wants to get a consent to wedding with Nagisa. Nagisa is carried out twenty, she drinks sake first, quickly gets drunk and begins to accuse Tomoya of liking to Sanae. The ailment of Nagisa returns again, from what she has to skip school, fortunately, she is not left back for this time. Later, Tomoya invites her friends and former class-mates to arrange to her the ceremony of handing of diploma at school. Tomoya gets married on Nagisa."
1,14,Atarashii kazoku,15 Jan. 2009,8.6,"Nagisa and Tomoya now domestic pair and live together. Nagisa decides to find job and settles down a waitress in a domestic restaurant together with Ryou. Tomoya and Akio masked, decide to visit Nagisa in a restaurant. Sanae it is said that, probably, Nagisa is pregnant. Akio at first comes in fury, but later congratulates Tomoya."
1,15,Natsu no nagori ni,22 Jan. 2009,8.7,"Nagisa becomes more bedridden. She wants to bear houses, therefore Sanae invites Yagi, midwife that must help. Later Sanae talks Tomoya, that luing-ins will be not simple. Akio tells Tomoya about a that day, when Nagisa hardly not died. Tomoya and Nagisa going for a walk on a ripa thought of the name for a child."
1,16,Shiroi yami,29 Jan. 2009,9.3,"Winter comes and some friends come over for New Year's Day. When Kotomi tells her research about 'Another World', Tomoya spontaneously remembers Nagisa's play. Nagisa enters the final months of her pregnancy, but she becomes sick again. On a heavy snowy day, Nagisa goes into labor two weeks early Tomoya and her family, unable to transport her to a hospital in time, is forced to have her give birth at home. After an excruciating process, Nagisa successfully gives birth to their daughter, Ushio, but the delivery and her illness combined take their toll on her and Nagisa..."
1,17,Natsujikan,5 Feb. 2009,8.8,"Tomoya has struggled with his grief and Ushio is being raised by Sanae and Akio. One day, Sanae visits Tomoya and persuades him to go on a family trip with them. When the day of the trip arrives, Sanae and Akio go out and do not return, forcing Tomoya to spend time alone with his daughter. The two decide to take the trip themselves."
1,18,Daichi no hate,12 Feb. 2009,9.8,"While on the trip, Tomoya buys a toy robot he picks out for Ushio to play with after they arrive in the countryside. The next day, after staying at an inn the previous night, Tomoya and Ushio take a walk through the area and come across a field of flowers. Ushio plays in the field as Tomoya watches, but Ushio soon loses the robot in the field; they try to look for it, but to no avail. Remembering something from his past, Tomoya goes off to another area and meets his grandmother Shino Okazaki, his father's mother. She tells Tomoya how he came here with his father ..."
1,19,Ieji,19 Feb. 2009,9.4,"Tomoya and Ushio came back from their trip together. After spending a night with Nagisa's parents, they leave for Tomoya's apartment, where they will both be living from now on. Some time later, Tomoya takes a day off from work and the two meet up with Kouko Yoshino, whose sister Fuko Ibuki has finally been released from the hospital. Afterward, Tomoya and Ushio visit Naoyuki. Tomoya manages to convince his father into moving back to the countryside with his mother Shino. While Tomoya and Ushio happily say goodbye to Naoyuki now that his role as a father has come to ..."
1,20,Shiokaze no tawamure,26 Feb. 2009,8.8,"When Tomoya drives Ushio to kindergarten he meets her nursery governess. Kyou appears her, for them conversation is strung.. After it he leaves on work. Esino asks him, that he let to Foucault to play with Ushio. Tomoya consents and Foucault comes to him home, where plays with Ushio till evening. The next day, Kyou tells Tomoya, that soon sporting competitions will be conducted between parents. At first he does not want to participate, but Ushio overpersuades him. At Ushio a temperature rises and she loses consciousness."
