temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Ace Degenerate,2 May 2018,8.6,"34 years after losing the All Valley Karate Championship, Johnny Lawrence decides to reopen the Cobra Kai Dojo while his school adversary, Daniel LaRusso, runs a successful auto business."
1,2,Strike First,2 May 2018,8.3,Daniel is dismayed to find a new Cobra Kai dojo has been opened up. Johnny learns his dojo has to pass several safety requirements before he can actually start teaching.
1,3,Esqueleto,2 May 2018,8.3,Miguel helps Johnny advertise Cobra Kai on the web. Daniel agrees to chaperone at the Halloween dance so he can keep an eye on his daughter.
1,4,Cobra Kai Never Dies,2 May 2018,8.3,Robbie is in hot water with his father. Johnny plans to shut down Cobra Kai after Miguel is injured. Samantha and Kyler's relationship hits rock bottom. A vandalized billboard creates tension for Daniel.
1,5,Counterbalance,2 May 2018,8.9,Cobra Kai gains its second student. Daniel has an intricate plan to get payback on Johnny. Miguel defends Samantha against Kyler during lunch break.
1,6,Quiver,2 May 2018,8.5,"Johnny's dojo class attracts a group of misfits while his son Robby, who harbors ulterior motives, lands a new job. Samantha makes a new friend in science class. Daniel inspires interest in karate from an unlikely person."
1,7,All Valley,2 May 2018,8.7,"When Johnny learns Cobra Kai is banned from the All Valley Tournament, he faces the City Council. Miguel asks Samantha out. Robbie takes lessons from Daniel, just as his buddies plot a heist from LaRusso Auto."
1,8,Molting,2 May 2018,8.6,"Johnny prepares his Cobra Kai students for the next All Valley Karate Tournament and in turn, he is inspired to clean up his life. Daniel is still unaware of his new pupil's background."
1,9,Different but Same,2 May 2018,9.0,Louie's reckless actions force Johnny and Daniel to go down memory lane. The Cobra Kai students plot revenge against the popular kids. Miguel grows impatient with Samantha.
1,10,Mercy,2 May 2018,9.2,It is the day of the 2018 All Valley Karate Tournament and Cobra Kai is determined to win. Robbie signs up unaffiliated. A familiar face from the past returns.
2,1,Mercy Part II,24 Apr. 2019,8.4,"In the aftermath of Cobra Kai's win at the Under 18 All Valley Karate Championships, Johnny questions his dojo's philosophy and deals with a figure from his past. Daniel searches for the right way to respond to Cobra Kai's dominance."
2,2,Back in Black,24 Apr. 2019,8.2,"Miyagi-Do is reopened, with Robbie and Samantha as Daniel's first students. Daniel and Amanda meet their quota at LaRusso Auto. Johnny lays down the law to stop his students goofing off."
2,3,Fire and Ice,24 Apr. 2019,8.5,Daniel pulls out all the stops in an effort to recruit new students to Miyagi-Do Karate. Johnny reflects on some of the major relationships in his life and responds to Daniel's promotional efforts with his own.
2,4,The Moment of Truth,24 Apr. 2019,8.4,"Daniel struggles to teach a new student. Meanwhile, Cobra Kai students wage war on the Miyagi dojo."
2,5,All In,24 Apr. 2019,8.7,"Daniel struggles to help a new student learn. Miguel makes a new connection, while Johnny tries to repair a relationship. Tensions between the two dojos build to a breaking point."
2,6,Take a Right,24 Apr. 2019,8.9,Johnny goes for a ride with some old friends. Kreese continues to exert his authority at Cobra Kai.
2,7,Lull,24 Apr. 2019,8.5,"To prepare his students, Daniel gives some new training methods a shot. Miguel puts a new lesson into practice. Johnny makes a tough but pivotal decision that affects Cobra Kai."
2,8,Glory of Love,24 Apr. 2019,8.3,"Daniel works to make amends with Amanda, while Johnny is introduced to the world of dating apps. Complications arise when Miguel, Samantha, Robby and Tory cross paths."
2,9,Pulpo,24 Apr. 2019,8.9,"Johnny cautiously takes a stab at love, while Daniel and Amanda enjoy a romantic date night. An attempt to bring the students of the two dojos together backfires as hostilities between the teens escalate."
2,10,No Mercy,24 Apr. 2019,9.4,Tensions between the two dojos finally come to a head on the first day of school. The resulting showdown leaves one student fighting for their life.
3,1,Episode #3.1,8 Jan. 2021,,
3,2,Episode #3.2,8 Jan. 2021,,
3,3,Episode #3.3,2021,,
3,4,Episode #3.4,2021,,
3,5,Episode #3.5,2021,,
3,6,Episode #3.6,2021,,
3,7,Episode #3.7,2021,,
3,8,Episode #3.8,2021,,
3,9,Episode #3.9,2021,,
3,10,Episode #3.10,2021,,
4,1,Episode #4.1,,,
