temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Busting JINX RELOAD,13 Dec. 2015,8.4,"The Content Cop arrives on Youtube Land, and fights the first of many Cancer Empire's minions, dim-witted thief Jinx, who now tries to call himself JINX RELOAD."
1,2,Amateur Food Reviewers,23 Dec. 2015,8.2,"The Content Cop has to end a plague of Amateur Food Reviewers who, with greasy food and disgusting camera shots, try to take some money from Youtube Land."
2,1,Toy Review Channels: Giant Surprise Egg,6 Jan. 2016,8.4,"On the trail of the vile ""no-chin"" the Content Cop continues dismantling the cancer empire, hoping to weaken his foe."
2,2,Fine Bros & the Revenue Machine,2 Feb. 2016,8.1,The Content Cop decides to stop an evil plan from the Fine Brothers to steal all money they can and expand the Cancer Empire's resources.
2,3,Keemstar,5 May 2016,9.3,"Tracking down his arch-nemesis, ""no-chin"", has led the content cop to no-chin's right hand man, Killer Keemstar."
2,4,Toy Channels #2 (Giant Gummy Bottle),18 Jun. 2016,8.1,"¡The evil Toy Channels are back. Once again, the magnificent Content Cop will have to dismantle them again."
2,5,HowToPrankItUp,12 Aug. 2016,7.9,"A villainous, yet dumb prankster appears on Youtube Land. It's time for the Content Cop to stop him before fighting someone really powerful."
2,6,Leafy,12 Sep. 2016,9.3,"The content cop finally comes face to face with his greatest enemy, ""no chin"", for an epic showdown of the good and evil."
2,7,Tech Destruction Channels,11 Oct. 2016,8.3,"A month after his victory against ""No Chin"", the Content Cop decides to put an end to the excessive havoc reeked by some well known delinquents on the block, with a reputation for damaging pricey electronics for fun and attention."
2,8,Content Deputy - Leafy Response,19 Sep. 2016,9.1,"This Spin-Off episode shows the aftermath of the Leafy episode, with Leafy fighting with what's left of him, but yet still losing to the Content Cop, who evolves into a new form - the Content Deputy."
3,1,Tana Mongeau,6 Feb. 2017,9.5,"After being framed as a racist, Content Cop confronts his accuser, storytime YouTuber Tana Mongoloid, to expose her hypocrisies and teach her and the community a lesson on context."
3,2,Jake Paul,3 Oct. 2017,9.5,"Things get hot in this one as Ian takes on the hypebeasts and their leader, Asian Jake Paul"
3,3,Content Deputy - AJP,11 Oct. 2017,8.9,"Following AJP's multiple responses to the content cop, Ian goes over the counterclaims made in AJP's videos and systematically destroys each of them."
