temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Shores of the Cosmic Ocean,28 Sep. 1980,9.0,Carl Sagan examines our planet's place in the universe by leading us on a journey from Earth to Deep Space.
1,2,One Voice in the Cosmic Fugue,5 Oct. 1980,9.0,"Carl Sagan examines the origin, development, and complexity of life on Earth and speculates on the possibility of life developing elsewhere in the universe."
1,3,Harmony of the Worlds,12 Oct. 1980,8.8,"After briefly looking at the pseudoscience of astrology, Carl Sagan examines the history of astronomy from ancient times through Ptolemy to Johannes Kepler."
1,4,Heaven and Hell,19 Oct. 1980,8.9,Carl Sagan examines the nature of comets before turning to a close look at the planet Venus.
1,5,Blues for a Red Planet,26 Oct. 1980,8.9,Carl Sagan looks at the search for life on Mars from the speculations of Percival Lowell and H.G. Wells to the arrival of the Viking probes.
1,6,Travellers' Tales,2 Nov. 1980,8.9,"Carl Sagan looks at the planets Jupiter and Saturn by examining the work of Galileo, Huygens, and the Voyager probes."
1,7,The Backbone of Night,9 Nov. 1980,8.8,"Carl Sagan looks at the work of ancient Greek scientists and astronomers including Thales, Anaximander, Democritus, and Pythagoras."
1,8,Journeys in Space and Time,16 Nov. 1980,9.2,Carl Sagan explains scientific concepts like relativity and examines the possibility of time travel.
1,9,The Lives of the Stars,23 Nov. 1980,9.0,Carl Sagan examines the life cycle of stars from their creation to their deaths.
1,10,The Edge of Forever,30 Nov. 1980,9.1,"Carl Sagan focuses on the origin of the universe by discussing the Big Bang, Galaxies, Dimensions, and the expansion of the universe."
1,11,The Persistence of Memory,7 Dec. 1980,8.8,"Carl Sagan examines life on earth discussing genes, DNA, the brain, and human social development."
1,12,Encyclopaedia Galactica,14 Dec. 1980,8.9,Carl Sagan examines the possibility extraterrestrial life and discusses his skepticism about UFOs.
1,13,Who Speaks for Earth?,21 Dec. 1980,9.0,Carl Sagan considers the significance of science and discuss the importance of human survival in the nuclear age.
