temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Standing Up in the Milky Way,9 Mar. 2014,9.2,"A thrilling, new adventure across space and time begins."
1,2,Some of the Things That Molecules Do,16 Mar. 2014,9.1,"Artificial selection is one example, eyes another, of the well-documented and inescapable process of evolution--change in a population of species over time--by natural selection. These are some of the things that molecules do."
1,3,When Knowledge Conquered Fear,23 Mar. 2014,9.1,"Neil deGrasse Tyson sets off on the Ship of the Imagination to chase a single comet through its million-year plunge toward Sol. Later, Tyson visits the birth-place of Sir Isaac Newton and retraces the unlikely friendship between Newton and brilliant polymath Edmond Halley. It was Halley's patience and generosity which allowed Newton to conquer his fear of isolation and find the courage to publish his masterwork, ""Principia Mathematica"" which launched a scientific revolution."
1,4,A Sky Full of Ghosts,30 Mar. 2014,9.2,"Explores how light, time and gravity affects our perception of the universe"
1,5,Hiding in the Light,6 Apr. 2014,9.1,"The Ship of the Imagination travels back in time to reveal 11th century Europe and North Africa during the golden age of Islam, when brilliant physicist Ibn al-Haytham discovered the scientific method and first understood how we see, and how light travels. Later, William Herschel discovers the infrared and the signature hidden in the light of every star, eventually unlocking one of the keys to the cosmos."
1,6,"Deeper, Deeper, Deeper Still",13 Apr. 2014,8.8,"The Ship of the Imagination ventures on an epic voyage to the bottom of a dewdrop to explore the universe on the smallest scale and observe exotic life forms invisible to the naked eye. Then, host Neil deGrasse Tyson explains the neural network in our brains which determine our sense of smell and memory, and later, he travels deep beneath the surface of the Earth to discover the most mysterious particle we know."
1,7,The Clean Room,20 Apr. 2014,8.9,"To determine the true age of the Earth, geochemist Clair Patterson developed the uranium-lead dating method to make an unprecedented discovery - calculating Earth's age of 4.5 billion years. But Patterson's groundbreaking discoveries were just beginning. Patterson made it his mission to draw public attention to the detrimental effects of lead in the environment and dedicated his career to fighting against the petroleum and chemical industry, eventually achieving public health's biggest victory of the 20th century."
1,8,Sisters of the Sun,27 Apr. 2014,9.0,"Explores the violent cosmic phenomenon of supernovas, which on average occur once per galaxy per century or one billion times per year in the observable universe."
1,9,The Lost Worlds of Planet Earth,4 May 2014,9.1,"The Ship of the Imagination embarks on a journey through space and time to grasp how the autobiography of the Earth is written in its atoms, its oceans, its continents and all living things. Later, American geologist Marie Tharp creates the first true map of Earth's ocean floor, and discovers microscopic life that exists deep beneath the ocean."
1,10,The Electric Boy,11 May 2014,9.2,"Travel to 19th century England and meet Michael Faraday, a child of poverty who grew up to invent the motor and the generator. His ideas about electricity and discovery of magnetic fields changed the world and paved the way for future scientists to make giant strides in the world of high technology and instantaneous communication."
1,11,The Immortals,18 May 2014,9.2,"The Ship of the Imagination travels across the cosmos to discover the possibility of beings that live forever and explain why other civilizations perish. Then, visit the Cosmic Calendar of the Future and contemplate what lies ahead with a hopeful vision."
1,12,The World Set Free,1 Jun. 2014,9.1,"Degrasse discusses our nearest neighboring planet Venus and its climate, the climate change on Earth and if it is caused by humans."
1,13,Unafraid of the Dark,8 Jun. 2014,9.5,Description of the two Voyager probes sent for interstellar travel. Tyson ends the series by emphasizing Sagan's message on the human condition in the vastness of the cosmos & to encourage viewers to continue to explore and discover the undiscovered.
