temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Arrival at Kraghammer,14 Mar. 2015,8.1,"Our heroes, Vox Machina, travel to the underground, dwarven city of Kraghammer to find the halfling paladin Lady Kima of Vord."
1,2,Into the Greyspine Mines,19 Mar. 2015,8.0,Vox Machina vows to put an end to a dark power in the bowels of the earth. The party gears up and ventures into the Greyspine Mines.
1,3,Strange Bedfellows,26 Mar. 2015,8.0,"Vox Machina finds a camp of enemies and lures them into an illusion. Soon after, Vex and Keyleth delve into a chasm and discover an unlikely ally."
1,4,Attack on the Duergar Warcamp,2 Apr. 2015,7.9,"Vox Machina forms an alliance with Clarota, an Illithid that also wishes to destroy Kvarn, who is oppressing his people. To continue, the party must bypass the Duergar camp controlled by the mind flayer they saw previously."
1,5,The Trick About Falling,9 Apr. 2015,7.9,"After their success at the warcamp and their victory over the bulette, Vox Machina takes to the air to make their escape and delve deeper into Khaloor in search of Lady Kima. The quest continues to become more dangerous with every step."
1,6,Breaching the Emberhold,16 Apr. 2015,8.0,"Vox Machina make their way further downward, far below Kraghammer. Through a cavern of obsidian spires, they travel to where Lady Kima is being held: Emberhold. The group manages to sneak in through a secret entrance to help her escape."
1,7,The Throne Room,23 Apr. 2015,7.9,"Vox Machina has rescued Kima, and she has made a grudging alliance with Clarota to defeat Kvarn. Tiberius devises a clever plan to confront the dwarven King of Emberhold, but their fight comes at a price."
1,8,Glass and Bone,30 Apr. 2015,7.9,"After their battle with the Duergar King and Queen, Vox Machina is in bad shape. Tiberius and Kima are stone, Vax and Scanlan are injured, and the Queen has kidnapped Grog. The party rests before they continue to meet a new abomination."
1,9,Yug'Voril Uncovered,7 May 2015,8.0,"Tracking down Grog, Vox Machina finds a out more about Kvarn. The party then finds their way to a stone island near the city of Yug'voril and takes to the water. The group soon looks for trouble and finds it easily."
1,10,K'varn Revealed,14 May 2015,8.0,"Drawing closer to the city of Yug'voril, the party decides to have Keyleth use a spell to uncover the truth about what K'varn really is."
1,11,The Temple Showdown,21 May 2015,8.2,"The party formulates a plan to finally confront and defeat K'varn ""The Mad Beholder""."
1,12,Dungeons & Dragons Campaign Tips,28 May 2015,7.9,"The main story takes a break this week, as Matt gives tips for new Dungeons and Dragons players, as well as beginning the legend of Vox Moronica."
1,13,Escape from the Underdark,4 Jun. 2015,8.1,"With K'Varn defeated, a betrayal forces Vox Machina to flee Yug'voril and the Underdark."
1,14,Shopping and Shipping,11 Jun. 2015,8.0,Vox Machina and the Council of Tal'Dorei decide how best to dispose of the Horn of Orcus. The team then heads off to acquire some magical gear from their old friend (and corporate sponsor) Gilmore.
1,15,Skyward,25 Jun. 2015,8.1,"In preparation for transport to the holy city of Vasselheim, the Horn of Orcus is sealed within a holy vessel supplied by the followers of Bahamut. Vox Machina defends their Skyship from a small party of Wyvern and Griffin riding pirates."
1,16,Enter Vasselheim,2 Jul. 2015,8.1,Lady Kima and Vox Machina arrive in Vasselheim. High Bearer Vord asks for assistance in clearing the Platinum Sanctuary's vaults and sealing the Horn of Orcus within.
1,17,Hubris,23 Jul. 2015,7.8,Pike leaves the group to restore the temple of Sarenrae. Grog faces off against a powerful opponent in the Crucible. The team rushes off to slay a Hydra attacking the walls of Vasselheim.
1,18,Trial of the Take: Part 1,30 Jul. 2015,7.8,"To avoid judgment for illegally hunting a Hydra near Vasselheim, the team attempts to join the ""Slayer's Take"". The team is split - with Vex, Percy, Scanlan and Grog gaining some new allies as they set off to hunt a vicious white dragon."
1,19,Trial of the Take: Part 2,6 Aug. 2015,7.9,"Fighting their way past blizzards, frost giants, and up an icy mountain cavern, the trial party comes face-to-face with the monstrous white dragon Rimefang."
1,20,Trial of the Take: Part 3,13 Aug. 2015,7.8,"While half of Vox Machina hunts a white dragon, the other half is sent to destroy an elusive Rakshasa. Vax, Keyleth and Tiberius are joined by the mysterious Brother Kashaw and the curmudgeonly Thorbir."
1,21,Trial of the Take: Part 4,20 Aug. 2015,7.9,"With the Rakshasa's identity revealed, the team continues their pursuit, fighting their way through monsters, spirits and a river of acid."
1,22,Aramente to Pyrah,27 Aug. 2015,8.0,"After successfully completing their trials, Vox Machina is inducted into the Slayer's Take. The team then sets out with an apprehensive Keyleth toward Pyrah, home of the Fire Ashari."
1,23,The Rematch,10 Sep. 2015,8.1,Grog returns to The Crucible for a rematch with Kern. Scanlan and Vex break Tiberius and Keyleth out of jail. Percy goes shopping.
1,24,The Feast,17 Sep. 2015,7.7,Percy reveals a bit of his past after Vox Machina is invited to a feast celebrating the arrival of Lord and Lady Briarwood.
