temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Pants Tent,16 Nov. 2016,8.1,An innocent bunch-up in Larry's trousers causes a misunderstanding with Cheryl's friend Nancy at the movies. He also manages to offend his friend Richard Lewis' new girlfriend.
1,2,Ted and Mary,22 Oct. 2000,7.7,"Larry and Cheryl enjoy their bowling double-date with Ted Danson and Mary Steenburgen, but it ends badly when Larry accuses the bowling alley of misplacing his sneakers. Later, Ted gets the wrong idea about Larry when he goes shopping with Mary at a downtown department store."
1,3,Porno Gil,29 Oct. 2000,8.1,"A bizarre chain of events finds Larry having dinner with a porno star (Bob Odenkirk). The party turns out to be one disaster after another when Larry breaks a lamp, is forced to take off his shoes, loses his watch, gets lost along the way, and has to do the dreaded ""double goodbye"". Meanwhile, Jeff undergoes emergency surgery and asks Larry to go to his house and retrieve his porno collection so Suzie doesn't see it."
1,4,The Bracelet,5 Nov. 2000,7.9,"Larry gets into a tense, heated fight with Cheryl, and Larry's secretary suggests that he buy her a present to make up for it. After having lunch with Richard Lewis and helping a blind man, Larry spots the perfect present for Cheryl - a bracelet. Unfortunately, Richard also covets it."
1,5,Interior Decorator,12 Nov. 2000,8.4,"Larry holds an elevator and is denied his doctor's appointment; of course, this causes him to miss an appointment with Diane Keaton. Cheryl hires an interior decorator who also happens to be Diane Keaton's, but she wont give him Diane's phone number."
1,6,The Wire,19 Nov. 2000,8.0,"Cheryl gives Larry an ultimatum - bury the wire in the backyard - or else! But the permit the city gives Larry requires six signatures from his neighbors, and that means having to be nice to them at all costs - or else."
1,7,AAMCO,26 Nov. 2000,7.6,"Jeff buys a '57 Chevy and insists that Larry take it for a drive. At a stop sign, Larry mistakes the honking horn from an AAMCO commercial for the car behind him and yells at the other driver, who then hits the Chevy and speeds away. Luckily, Larry meets an antique auto mechanic at a dinner party who says he can fix Jeff's Chevy."
1,8,Beloved Aunt,3 Dec. 2000,8.7,"When Cheryl's aunt dies, the family asks Larry to write the obituary. But when it gets printed in the newspaper, an unfortunate typo lands Larry in the hot seat."
1,9,Affirmative Action,10 Dec. 2000,8.1,"Cheryl's quest to get a prescription filled is repeatedly complicated by Larry, including a bad joke that he tells in front of Richard Lewis' doctor."
1,10,The Group,17 Dec. 2000,8.7,"Thanks to Larry's manager Jeff, Cheryl is up for a part in ""The Vagina Monologues."" Meanwhile, Larry runs into an ex who asks him to accompany her to her incest-survivors group to lend moral support while she deals with her past."
2,1,The Car Salesman,23 Sep. 2001,8.1,"Larry spends a day as a car salesman, and is ready to give up many things to stay a car salesman. He also buys a house. Everything seems to be going fine, except that people keep asking him stupid questions while they're car shopping, and the house makes weird sounds at night. So Larry puts his genius into action and is this close to fulfilling a lifelong dream when Richard Lewis shows up with grievances and ruins everything."
2,2,Thor,30 Sep. 2001,8.6,"While going to meet Jason Alexander to discuss an idea for a new TV project, Larry has a run-in with professional wrestler Thor Olsen. Thor accuses Larry of ""shooting at his kids,"" and Larry thinks Thor slashed his tires and asks Jeff to pay him back by letting the air out of Thor's tires. Meanwhile, Jeff separates from Suzie and asks Larry to go pick up his clothes, which incurs Suzie's wrath."
2,3,Trick or Treat,7 Oct. 2001,8.8,"Larry offends two uncostumed trick-or-treaters by not giving them candy, so they show him the ""trick"" side of Halloween. He also alienates Cheryl's screenwriter friend Cliff and a Jewish neighbor AND spoils his romantic anniversary gift when Jeff arrives to play a round of golf."
2,4,The Shrimp Incident,14 Oct. 2001,8.4,"Larry gets takeout food and has a run-in with the same TV executive he is about to meet with to discuss his TV pilot idea. But after he gets home, he accuses the network exec of taking some shrimp from his dinner."
2,5,The Thong,21 Oct. 2001,8.0,Larry no longer feels comfortable going to his psychiatrist after he sees him wearing a thong at the beach.
2,6,The Acupuncturist,28 Oct. 2001,7.6,"Larry promises to pay an acupuncturist $5,000 if he can cure his neck. Meanwhile, a struggling writer asks Larry for a $5,000 loan which he promises to pay back after his father dies."
2,7,The Doll,4 Nov. 2001,9.4,Larry's attendance at a screening results in chaos; an unlockable bathroom door causes trouble.
2,8,Shaq,11 Nov. 2001,8.8,"After Larry accidentally trips and injures Shaq during a Lakers game, everything seems to start going his way."
2,9,The Baptism,18 Nov. 2001,8.3,"Cheryl and Larry head to Monterey to attend her sister Becky's wedding...to a Jewish man who's converting to Christianity. When Larry misplaces the plane tickets, he accuses other passengers of stealing them."
2,10,The Massage,25 Nov. 2001,8.2,"In the second-season finale, Larry is busted by a restaurant owner for stealing forks. Julia Louis-Dreyfus becomes so frustrated by the incident that she drops out of the pilot, which ends Larry's quest to get it on TV. Meanwhile, Cheryl learns that Larry got a naughty massage and busts him for that. He later faces an ironic punishment for his restaurant crimes."
3,1,Chet's Shirt,15 Sep. 2002,8.5,"While comforting a friend whose husband passed away, Larry and Cheryl comment on the husband's shirt. Larry then goes to the department store the next day to buy it. Meanwhile, Jeff talks Larry into investing in a trendy new celebrity restaurant. Larry also gets into trouble when he throws away some trash in a random garbage can."
3,2,The Benadryl Brownie,23 Sep. 2002,7.9,"Thanks to Larry's miscommunication on his new cell phone, Richard Lewis' girlfriend succumbs to peanut allergies a week before they're supposed to go to the Emmy Awards. A practicing Christian Scientist, she doesn't take any medicine, so Richard and Larry devise a scheme to cook up some brownies laced with medicine. Like all things Larry does, the plan backfires."
3,3,Club Soda and Salt,29 Sep. 2002,8.4,"Larry, Jeff, and Ted scramble to find a chef for the new restaurant, but Larry doesn't like Ted's recommendation. While trying to find a replacement, Larry learns a few things - Cheryl has a new, male, tennis playing friend, people won't take a wedding gift after a year, and that club soda and salt will get stains out of anything."
3,4,The Nanny from Hell,6 Oct. 2002,8.4,"The restaurant investors plan a pool party, but only Larry and Jeff show up. Larry goes to use the bathroom in the main house, and winds up getting the nanny fired. Larry recommends the nanny to Jeff and Susie. After the nanny snaps, Suzie's life is threatened. Meanwhile, Richard Lewis tries to get into Bartlett's Book Of Quotations for claiming to have invented the phrase ""the ______ from hell""."
3,5,The Terrorist Attack,13 Oct. 2002,7.9,"Wanda Sykes unknowingly starts a rumor about a terrorist attack when she tells Larry about it. Meanwhile, Cheryl's friend is planning a benefit concert with Alanis Morisette performing. When people skip town because of the rumors, the benefit is canceled, and the blame is placed squarely on Larry."
3,6,The Special Section,20 Oct. 2002,8.3,"Larry is distraught when he learns that his mother died while he was off shooting a movie in New York, and he doesn't learn about the news until two days after the funeral. Larry uses the loss to get out of a number of unappealing invitations, while plotting to move his mother away from the ""special section"" of the cemetery."
3,7,The Corpse-Sniffing Dog,27 Oct. 2002,8.6,"Jeff must leave his house because he's allergic to the guard dog Suzie bought. Larry tries to get Jeff and Suzie's daughter Sammy to give up the dog, but she won't. Larry looks for a way to please both Jeff's family and some friends who also want the dog."
3,8,Krazee-Eyez Killa,3 Nov. 2002,9.0,"Wanda Sykes' has a new boyfriend, gangsta rapper Krazee-Eyez Killa, who shares a little more with his new friend Larry David than a replacement jacket needed for a scene in the new Martin Scorcese film. Meanwhile, Larry offends Suzie by not taking the tour of her new house. Ultimately, in typical Larry David fashion, he ruins everything, through a conversation he has with Cheryl, where she does all the talking."
3,9,"Mary, Joseph and Larry",10 Nov. 2002,8.1,"On December 23, Larry gets up to get a midnight snack and eats some cookies in the refrigerator. Unfortunately, those cookies were a nativity scene that Cheryl's devoutly religious sister was preparing, and now that it's Christmas Eve, it's too late to get a replacement, but Larry goes searching anyway, and finds a Live Nativity at a local church. Has the Grouch saved Cheryl's family's Christmas?"
3,10,The Grand Opening,17 Nov. 2002,9.1,"In the third-season finale, Bobo's Restaurant is two days away from being scheduled to open when Larry discovers that the head chef was hired while pretending to be bald. After firing him, Larry and Jeff scramble to find a replacement. During the process, Larry accidentally injures the most influential food critic in Los Angeles, who is coming to the opening. The food critic recommends a chef from New York, who has an interesting quirk. Meanwhile, Cheryl has a tense confrontation with Susie after she bails on lunch after getting stuck in a car wash."
4,1,Mel's Offer,4 Jan. 2004,7.9,"Mel Brooks sees Larry performing some karaoke at a bar one night and is quickly impressed with his singing abilities. He then invites Larry to audition to star in a Broadway production of ""The Producers"". But the deal quickly goes south once Mel hits Larry in the head and Larry's doctor drools on him."
4,2,Ben's Birthday Party,11 Jan. 2004,8.3,"Mel Brooks taps Ben Stiller to be Larry's co-star in The Producers. But when Larry accidentally punches Ben Stiller in the eye during a birthday party game gone wrong, Ben drops out of the production."
4,3,The Blind Date,18 Jan. 2004,8.1,"Larry makes a last-ditch effort to keep Ben Stiller in The Producers, and tries to keep a friend happy by setting him up with a blind date. Meanwhile, Jeff's bizarre sexual fantasy gets out in the open."
4,4,The Weatherman,25 Jan. 2004,8.1,Larry questions a weatherman's ability to manipulate the media so he can have the country club to himself.
4,5,The 5 Wood,1 Feb. 2004,8.5,"Still thinking he flirted with her, Dalilah the Hygienist officially asks Larry out, but Oscar the dog causes a problem. Leo Funkhauser succumbs to the ""good"" Hodgkin's. During the viewing, Larry is disgusted to see what appears to be his five wood in the casket with Leo, and asks Jeff to switch clubs with Leo. The result of the incident finds Larry being kicked out of the country club and having to cheat his way into a republican club."
4,6,The Car Pool Lane,8 Feb. 2004,9.1,"Larry scrambles to find tickets to a very promising Dodger game. But before he can go, he has to take care of a few things first. The duties include getting out of jury duty, driving a friend to the airport, and scoring some medical marijuana for his dad's glaucoma. Thankfully a run-in with a hooker helps make all the chores easier."
4,7,The Surrogate,22 Feb. 2004,8.7,"Larry needs a clean bill of health for ""The Producers,"" but a little heart trouble means no dice. The doctor gives Larry a device called a ""heart halter"" that is used to monitor his heart. Larry uses the device to get out of some unappealing situations including a baby shower, accusations of blatant racism, and a car accident, which lands him in trouble with his Producers co-star David Schwimmer."
4,8,Wandering Bear,29 Feb. 2004,8.3,"Larry and Jeff decide to buy a ""Girls Gone Wild"" video tape, and that lands them both in the hot seat with Larry's secretary and Jeff's wife after the dog leaves the house during the viewing of the tape. Meanwhile, Larry seeks the help of his native American gardener to cure Cheryl of a feminine problem after Larry mistakenly wears a condom inside out."
4,9,The Survivor,7 Mar. 2004,8.6,"Generations collide at a dinner party when a contestant from the television show ""Survivor"" and a Holocaust survivor clash, and Larry is caught in the middle. Larry and Cheryl renew their vows, but Larry has a hard time remembering his--or his lines for The Producers."
4,10,Opening Night,14 Mar. 2004,8.9,"In the fourth-season finale, Larry David flies to New York with fellow performers David Schwimmer and Cady Huffman to star on Broadway in ""The Producers"". Along the way, he argues with Schwimmer, develops a strange relationship with Huffman, finds he's tipping way too often and attempts to use his 10th anniversary gift from Cheryl. On stage, Larry and David put aside their differences and blow the audience away - unexpectedly, Mel Brooks isn't impressed."
5,1,The Larry David Sandwich,25 Sep. 2005,8.1,"Larry is changed by a near-death experience, a revelation about his father, and a sandwich named after him."
5,2,The Bowtie,2 Oct. 2005,8.4,"Wanda Sykes thinks Larry purposefully adopted a dog she deems ""racist"", Larry falls off his pedestal as a friend of the lesbian community, and Larry hires a private investigator to uncover some information about his past."
5,3,The Christ Nail,9 Oct. 2005,8.4,"Larry goes bra-shopping for his maid, landing him in trouble with her husband and his neighbors."
