temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Arrival of Raditz,13 Sep. 1996,7.7,"After 5 years of peace, a new threat is coming for Goku and his friends."
1,2,The World's Strongest Team,20 Sep. 1996,7.8,"After 5 years, Goku and his friends get together at the Kame House."
1,3,Gohan's Hidden Powers,27 Sep. 1996,7.9,"After the encounter with Raditz, Goku realises he doesn't stand a chance. Only with an unlikely alliance does he have a fighting shot."
1,4,Goku's Unusual Journey,10 Oct. 1996,7.9,"In the hands of Goku, Raditz is doing all he can to escape."
1,5,Gohan's Metamorphosis,11 Oct. 1996,7.6,Gohan continues his training in the wild as the other Z warriors go to Kami's to prepare for the Saiyans.
1,6,Gohan Makes a Friend,18 Oct. 1996,7.6,Gohan helps an injured dinosaur and they become friends. Goku continues his journey along snake way and the others gather at Kami's.
1,7,Trouble on Arlia,25 Oct. 1996,7.4,Gohans training is starting to pay off. The Saiyans stop on a planet and wreak havoc.
1,8,Home for Infinite Losers,1 Nov. 1996,7.3,"Goku has fallen off snake way and meets two ogres who say they know how to get back to snake way, but he has to win a race first."
1,9,Princess Snake's Hospitality,8 Nov. 1996,7.4,Goku runs along snake way and meets Princess Snake. The Z warriors begin their training at Kami's.
1,10,Escape from Piccolo,14 Sep. 1998,7.2,"Gohan meets orphans and helps them out, then he makes his way home."
1,11,Showdown in the Past,15 Nov. 1996,7.5,Gohan and Piccolo start their training together. The Z warriors enter the pendulum room where they fight two Saiyans in the past.
1,12,The End of Snake Way,3 Jan. 1997,7.6,Goku reaches King Kai's planet. Gohan and Piccolo continue training until Gohan's tail grows back.
1,13,A Fight Against Gravity... Catch Bubbles!,10 Jan. 1997,7.6,Goku is struggling to move under the gravity of King Kai's planet when King Kai shows up. Goku begins his training by trying to catch a monkey named Bubbles.
1,14,The Legend of the Saiyans,17 Jan. 1997,7.6,King Kai tells Goku about his ancestors and Goku begins his second task of hitting Gregory on the head with a heavy hammer.
1,15,A Black Day for Planet Earth,24 Jan. 1997,7.8,"The Saiyans arrive on Earth. Master Roshi uses the Dragon Balls to resurrect Goku, but he must get to Earth fast."
1,16,The Battle Begins... Goku Where Are You?,1 Feb. 1997,7.7,The Saiyans find Piccolo and Gohan then plant six Saibamen to fight for them.
1,17,The Saibamen Strike,8 Feb. 1997,7.7,The gang take on the Saibamen in the fight for the planet.
1,18,Nappa... The Invincible?,15 Feb. 1997,7.7,Nappa begins his assault on the Z Warriors who can't seem to stop him.
1,19,Tien Goes All Out!!,22 Feb. 1997,8.0,The fight with Nappa continues as the gang continues to fall before his onslaught.
1,20,Time's Up!,12 Apr. 1997,7.7,"Piccolo, Gohan, and Krillin do their best to stop the Saiyans from finding the Dragon Balls. Meanwhile, Goku rushes back to Earth on the Flying Nimbus, armed with more power than ever before!"
1,21,The Return of Goku,19 Apr. 1997,7.8,"Piccolo makes the ultimate sacrifice to save Gohan from the rampaging Saiyans. Just when all seems lost, Goku returns to Earth with an incredible new level of power and confronts the invaders."
1,22,Goku Strikes Back,26 Apr. 1997,8.0,"Locked in battle with the Saiyans, Goku gives Nappa a brutal demonstration of the training he received from King Kai. Broken and defeated, Nappa must now face the ferocious wrath of Vegeta!"
1,23,Goku vs. Vegeta... a Saiyan Duel!,3 May 1997,8.3,"Goku decides to take on mighty Vegeta all by himself! The two appear evenly matched, but both are hiding their true strength. The epic battle is underway - which mighty warrior will claim victory?"
1,24,Vegeta... Saiyan Style!,10 May 1997,7.9,"Vegeta and Goku continue trading brutal blows, but the action intensifies when Vegeta reveals the secret power of the Saiyans: the ability to transform into a giant, planet-destroying ape!"
1,25,Stop Vegeta Now!,17 May 1997,7.9,"As Vegeta turns into a gargantuan ape, Goku makes a terrifying revelation."
1,26,The Battle Ends,24 May 1997,8.0,"On the verge of victory, Vegeta is defeated and brought to death. What will be his ultimate fate?"
2,1,A New Goal... Namek!,24 May 1997,7.4,"The gang mourns the loss of Yamcha, Tien, Chiaotzu, and Piccolo. With Kami gone, Earth's Dragon Balls have disappeared. Will the surviving heroes find a way to wish their fallen friends back to life?"
2,2,Journey to Namek,13 Sep. 1997,7.4,"Bulma accidentally destroys the Saiyan spaceship! Luckily, Mr. Popo reveals the existence of another ship that may be able to reach Namek. Can they find it in time, and will the old ship still work if they do?"
2,3,Friends or Foes?,20 Sep. 1997,7.3,"As Gohan, Krillin and Bulma travel through space to planet Namek they crash into a strange spaceship. As they encounter traps on the seemingly deserted ship it is beginning to look like they are unwelcome guests."
2,4,Hunt for a Dragonball,20 Sep. 1997,7.6,"After crash-landing, Krillin, Gohan, and Bulma are nursed to health by two mysterious aliens. Afterward, they begin searching for the Dragon Balls. Meanwhile, Vegeta continues his recovery, and Goku gets inpatient while at the hospital."
2,5,Who's Who?!,27 Sep. 1997,7.6,"Gohan, Krillin, and Bulma continue their search for the Dragon Balls. Meanwhile, Goku sneaks out of the hospital to train. As Vegeta finishes his recovery, Cui informs him that Frieza is already on Namek in search of the Dragon Balls."
2,6,Touchdown on Namek,27 Sep. 1997,7.9,"Zaacro and Raiti explain their illusion to Krillin, Gohan and Bulma. As they struggle to escape and attempt to continue their journey to Namek, Vegeta discovers Frieza, Zarbon, and Dodoria are already collecting the Namekian Dragon Balls."
