temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Secret of the Dragon Balls,7 Feb. 1996,8.1,"Goku, living alone in his own little world, meets Bulma and sets off on a journey to discover what the Dragonballs do."
1,2,The Emperor's Quest,21 Aug. 2001,7.6,"While Son Goku and Bulma continue on their quest, Bulma tries to teach him the finer points in life, like setting up camp and bathing. Goku goes hunting and runs into Mai and Shuu, who were sent by Pilaf to Skull Valley to investigate a light that may be a dragon ball. It turns out to be a wolf pack, which Goku fends off. Goku returns home with dinner, and he meets a turtle who he decides to help by returning him to the ocean."
1,3,The Nimbus Cloud of Roshi,22 Aug. 2001,7.7,"As Son Goku and Bulma take the turtle to the ocean they are attacked by a bear, who Goku defeats. Meanwhile Shuu and Mai inform Pilaf that there was no dragon ball at Skull Valley. The three of them go to a remote island in the Emerald Sea to get a dragon ball from Roshi, the turtle hermit, but they can't find it. Goku and Bulma meet Roshi, who is the master of the turtle they helped, and in gratitude Roshi gives them the dragon ball and his flying nimbus cloud."
1,4,Oolong the Terrible,23 Aug. 2001,7.3,"Bulma and Son Goku arrives in a town where they find the fifth Dragon Ball, but they only get the Ball when they defeat the Monster that is terrorizing the Village."
1,5,Yamcha the Desert Bandit,24 Aug. 2001,7.4,"After Oolong is defeated by Goku, he is forced to join the quest because his shape shifting powers may come in handy. In order to find the next dragon ball, they must cross through the Diablo Desert. Oolong disposes of Bulma's dino caps and tries to escape, but she has ways of making him stay. As they cross through the desert, they are confronted by Yamcha, the desert bandit, and he and Goku do battle."
1,6,Keep an Eye on the Dragon Balls,27 Aug. 2001,7.4,"Goku, Bulma, and Oolong are still crossing Diablo Desert. Meanwhile, Yamcha is plotting his revenge. Pilaf sends Mai and Shuu after Bulma's dragon balls. Goku tells Oolong about the dragon balls, so now the treacherous Oolong has his own ideas about them. Yamcha overhears the conversation, and he develops a plan for the dragon balls himself. This begins a battle of wits among all parties trying to get their hands on the dragon balls."
1,7,The Ox-King on Fire Mountain,28 Aug. 2001,7.5,"Goku, Bulma, and Oolong continue on their quest in a car given to them by Yamcha, who is secretly following them due to a tracking device in the car. He plans to steal the dragon balls from them. The next stop is Fire Mountain, where supposedly the mighty Ox King has the 6th dragon ball. Goku befriends the Ox King, who trained with his grandfather under Master Roshi. In order to get the dragon ball, Goku is sent to find the Ox King's daughter Chi-Chi, and to obtain the Bansho fan from Roshi."
1,8,The Kamehameha Wave,29 Aug. 2001,7.9,"Once they land on Roshi's island, Goku and Chi-Chi explain to him their dilemma--Chi-Chi and the Ox King can't get into their castle until the flames on Fire Mountain are extinguished. Roshi agrees to give them the Bansho fan if Goku can convince Bulma to get him a date with an older woman. Unfortunately he realizes that he used the fan as a place mat, then threw it away when it became sticky. He then accompanies them to Fire Mountain to extinguish the flame himself with his Kamehameha Wave. He succeeds, but he accidentally destroys the castle and the mountain too. ..."
1,9,Boss Rabbit's Magic Touch,30 Aug. 2001,7.2,"Goku, Bulma, and Oolong arrive in a town where everyone is afraid of Bulma because of the rabbit costume she is wearing. They discover that this is because Boss Rabbit, a.k.a. Monster Carrot, and his goons rule the town with an iron fist. It is up to Goku, with help from Yamcha and Puar, to free the town."
1,10,The Dragon Balls Are Stolen,31 Aug. 2001,7.4,"Mai is able to fix Pilaf's dragon ball detector, and they see that Goku and his friends, with their six dragon balls, are on their way to Pilaf's castle to retrieve his dragon ball, the only one they don't have. Pilaf sends Mai and Shuu to meet them and steal their dragon balls, and they get all of them except the one Goku holds. Goku and his companions must then storm the castle to retrieve them."
