temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,21 Jun. 1972,8.0,A homeless man steals money in a park. Chespirito and an old lady decide to take back their money. / Don Ramón threatens Chilindrina to sell her to the man who buys and sells used stuff if she doesn't take her medicine.
1,2,Episode #1.2,16 Apr. 1972,8.4,"A man fakes an illness in order to avoid doing housework. His wife calls the cheapest doctor in town: Dr. Chapatín. / All the neighbors decide to organize a party and forget their rivalries, however, the restless children ruin everything."
1,3,Episode #1.3,1972,7.2,"Chespirito's friends see a flying saucer. After he mocks them, he finally sees it. / After a brutal match, a boxer is examined by Dr. Chapatín. / Don Ramón is about to get evicted, unless he pays the rent, but he forgot where the money is."
1,4,Gloria llega a la vecindad,1972,8.2,
1,5,Gloria y Patty,1972,7.6,
1,6,Ensucian la ropa a Quico,1973,7.7,
1,7,El peso,1972,8.1,"Quico lost a 1 peso coin. Chavo finds it, but Chilindrina takes it away from him with her tricks. Quico challenges Chavo to take back the coin. If he can do it, he can keep it. However, Chilindrina is too clever for poor innocent Chavo."
1,8,Ramoncito,5 Mar. 1972,9.3,
1,9,Episode #1.9,1973,0.0,
1,10,La indigestión/El mosco es algo tosco/El Chavo se enamora - parte 3,1973,0.0,
1,11,Episode #1.11,1973,0.0,
1,12,Episode #1.12,1973,0.0,
1,13,Episode #1.13,1973,0.0,
1,14,Episode #1.14,1973,0.0,
1,15,Episode #1.15,1973,0.0,
1,16,Episode #1.16,1973,0.0,
1,17,Los Insectos,24 Sep. 1973,0.0,
1,18,Episode #1.18,1973,0.0,
1,19,Episode #1.19,1973,0.0,
1,20,A Star in the Neighborhood,26 Mar. 1979,8.0,
1,21,Episode #1.21,1973,0.0,
1,22,Episode #1.22,1973,0.0,
1,23,Episode #1.23,1973,0.0,
1,24,Episode #1.24,1973,0.0,
1,25,Episode #1.25,1973,0.0,
1,26,Los Inofensivos Caquitos/Grupo musical,1 Oct. 1973,0.0,
1,27,Episode #1.27,30 Dec. 1981,0.0,
1,28,Episode #1.28,1974,7.2,
1,29,Episode #1.29,1974,8.2,
1,30,Episode #1.30,1973,0.0,
1,31,Episode #1.31,1974,7.9,
1,32,Episode #1.32,1974,8.1,
1,33,Episode #1.33,2 Jul. 1979,8.6,
1,34,La Historia de Napoleón Bonaparte/El Callo,14 Oct. 1974,8.8,
2,1,Los pasteleros,11 Oct. 1975,0.0,
2,2,Episode #2.2,19 Oct. 1976,0.0,
2,3,Episode #2.3,15 Oct. 1977,0.0,
2,4,Episode #2.4,14 May 1973,0.0,
2,5,Episode #2.5,1974,8.6,
2,6,Episode #2.6,15 Dec. 1975,0.0,
2,7,Episode #2.7,23 May 1977,0.0,
2,8,Episode #2.8,10 Feb. 1975,9.1,"Profesor Jirafales tries to teach Quico how to play the guitar. At the same time, Don Ramón tries to teach Chavo how to play the guitar. However, both teachers fail miserably."
2,9,Episode #2.9,1974,7.8,"Quico is sick and Doña Florinda sends Don Ramón to buy the medicine. Chavo visits Quico and they play inside the house: Chavo is a doctor and Quico is his patient. When Quico tastes the medicine, he recruits Chavo to get rid of it."
2,10,Episode #2.10,1974,0.0,
2,11,Episode #2.11,1974,8.2,
2,12,Episode #2.12,1974,0.0,
2,13,El ladrón del Señor Hurtado,8 Apr. 1974,7.6,
2,14,Episode #2.14,1974,8.5,
2,15,Episode #2.15,6 Aug. 1979,7.6,
2,16,Episode #2.16,1974,7.5,
2,17,Episode #2.17,1974,7.7,
2,18,Episode #2.18,1974,7.8,
2,19,Episode #2.19,1974,8.4,"Mr. Barriga forbids having animals in the neighborhood, so Doña Florinda has to return Quico's dog. However, Chavo, Quico and Popis think ""the Witch from No. 71"" has casted a spell on the dog, and turned it into a watering can."
2,20,Episode #2.20,1974,8.2,
2,21,Episode #2.21,1972,8.9,
2,22,Episode #2.22,1974,7.8,"When Chavo, Quico and Ñoño break one of Doña Florinda's chairs, she thinks Don Ramón did it, and now he has to fix the chair. It won't be easy, thanks to Chavo's constant interruptions."
2,23,Episode #2.23,Jan. 1974,8.7,
2,24,Episode #2.24,2 Oct. 1972,0.0,
2,25,Episode #2.25,1974,0.0,
2,26,Episode #2.26,1974,0.0,
2,27,Episode #2.27,29 Sep. 1976,0.0,
2,28,Episode #2.28,15 Apr. 1973,0.0,
2,29,Episode #2.29,19 Oct. 1976,0.0,
2,30,Episode #2.30,26 Oct. 1976,0.0,
2,31,Episode #2.31,11 Sep. 1972,0.0,
2,32,Episode #2.32,11 Apr. 1977,0.0,
2,33,Episode #2.33,27 Oct. 1982,8.2,
2,34,Episode #2.34,25 Oct. 1983,0.0,
2,35,Episode #2.35,1974,8.4,
2,36,Episode #2.36,1974,7.2,
3,1,Episode #3.1,1975,8.2,"Inspired by their History book, Chavo, Quico and Ñoño use a whistle, a bugle and a toy drum to commemorate the Mexican War of Independence. Meanwhile, Don Ramón tries to stop all the noise, and Doña Cleotilde tries to flirt with him."
