temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Her Ihanet Sevgiyle Baslar,28 Sep. 2009,9.0,"Ezel and his team arrive to Cyprus to avenge Ömer, who has been betrayed by his best friends in 1997, twelve years ago."
1,2,Seni Seven Senin Kurbanindir,5 Oct. 2009,8.6,Ezel begins his revenge. We get to know Eysan's past.
1,3,Ask Ölümden Güclüdür,12 Oct. 2009,8.8,Eysan's motivation for betraying Ömer 12 years earlier is revealed. Ezel learns Eysan's son has endangered himself and decides whether to intervene.
1,4,En Zoru Eve Dönmektir,19 Oct. 2009,8.5,"Back in 1997, an unlikely protector defends Ömer when he is targeted in prison, and Cengiz takes desperate measures to ensure Eysan stays with him."
1,5,"Ask mi Kaderi Kovalar, Kader mi Aski",26 Oct. 2009,9.1,"In 2001, Ömer is mentored by fellow inmate Ramiz and gets a surprise visitor. Four years later, a riot allows him to escape his sentence and identity."
1,6,Hayaller Hayaletler,9 Nov. 2009,8.7,"When Bahar suffers a health crisis, Ezel comes to her rescue. An unexpected stop during a road trip with Cengiz brings Ezel to his family's home."
1,7,Gitmek/Kalmak,16 Nov. 2009,8.2,Ezel selects a target. A newly released Ramiz recalls Ezel's failed attempt at getting revenge in 2005. Bahar steals some time alone with Ezel.
1,8,Akreple kurbaga,23 Nov. 2009,8.8,"Ezel learns Bahar is hiding a secret, and finds a way to spend time with Eysan. Unable to find any dirt on Ezel, Ali investigates his driver, Kamil."
1,9,En kötü ihtimal,30 Nov. 2009,8.8,"Ezel takes Eysan to a nostalgic place. Ali digs up dirt on Ezel's assistant, Sebnem, and makes her an offer. Mert and his mother run into Eysan."
1,10,Sadakat,7 Dec. 2009,9.2,"When Mert's mother, Meliha, is introduced to Ezel at a get-together, she has a strong reaction that makes Cengiz wary. Eysan finds a worrying note."
1,11,Utanç,14 Dec. 2009,8.8,Cengiz and Ali take the bait that Ezel has dangled in front of them. A disturbing text message prompts Eysan to visit her father.
1,12,Yalniz kalmak,28 Dec. 2009,8.7,"When Ali confronts Eysan for visiting her father, she fears the worst has happened to him. Ezel secretly visits his mother, but Mert catches him."
1,13,Kaçinilmaz,4 Jan. 2010,8.8,"Ezel takes Bahar to an orphanage linked to his past. Ali recalls returning to work for Cengiz in 2006, and their love-hate relationship since then."
1,14,ilk Günah,11 Jan. 2010,8.7,"Cengiz remembers running a DNA test on his son in 2006. While seducing Bahar, Ezel feels conflicted. Cengiz catches Eysan taking birth control pills."
1,15,Çikar yol,25 Jan. 2010,8.7,Mert's plans for writing an article about Ömer put his life at risk. Eysan's father secretly develops a relationship with his grandson.
1,16,Dönüs yolu,1 Feb. 2010,8.9,"When Cengiz gets in trouble at a nightclub, Ezel's loyalties from his former life as Ömer are tested. Ezel has a heart-to-heart talk with Bahar."
1,17,Geçmisin ayak izleri,8 Feb. 2010,8.8,"Mert interviews a reluctant Cengiz, Eysan and Ali for his article. Afterward, Ezel and Ali accompany Mert on a fact-finding mission to the prison."
1,18,Gitmesine izin vermek,15 Feb. 2010,9.2,"In order to protect Mert, Ezel makes a painful decision. Eysan follows a hunch about her husband. Mert takes a risk to investigate an anonymous tip."
1,19,Gercekleri Ogrenme Zamani,22 Feb. 2010,8.5,"Worried about her son's future, Eysan decides to introduce Can to Ömer's family. Can reveals to his grandfather that he saw what was on the videotape."
1,20,Emanet,8 Mar. 2010,8.8,Eysan spots her husband with another woman. Cengiz is asked to choose between his friendship with Ali and his partnership with Ezel. Ali tests Ezel.
1,21,Ailede bir olüm,15 Mar. 2010,8.8,Can steals the videotape. Mert changes his mind and publishes an article on Ömer. A haunting message leads Ali to believe he's been cursed.
1,22,Masumiyet,22 Mar. 2010,8.5,Ezel's mother confronts him about his letter to Mert. Ezel asks Bahar to prove her love for him. Paranoia consumes Ali. Eysan salvages her pride.
1,23,Oyunbozan,12 Apr. 2010,8.8,Ali misinterprets the surprise awaiting him at the casino. Eysan's father visits Cengiz with a demand. Ezel leads Eysan to make a shameful move.
1,24,Baslasin intikam,19 Apr. 2010,8.8,Bahar accuses Ezel of breaking a promise. Cengiz scrambles to secure a multi-million-dollar loan in time for submitting a bid for the hotel project.
1,25,Gercegin Gucu,26 Apr. 2010,8.9,"Bahar goes on an upsetting dinner date. Eysan reveals the depth of her hate for her husband. Ezel's sidekicks, Sebnem and Kamil, are caught off guard."
1,26,En Onemli Sey,3 May 2010,8.8,"To save his own life, Cengiz negotiates with his father-in-law. A mission tests Tevfik's loyalties. A conflicted Ezel makes a confession to Eysan."
1,27,Kimin Tarafindasin,10 May 2010,9.1,Cengiz and his father-in-law plan to bait Ezel. Eysan's aunt calls Ezel's mother. Ali tries to flee Turkey. Eysan succumbs to her attraction to Ezel.
1,28,Bizden Biri,17 May 2010,8.9,Tevfik recalls his original crime. Ezel gets Ali to work for him without knowing it. Serdar finds an informant with knowledge of Ezel's past.
1,29,Surgun,24 May 2010,8.8,"After learning Ezel had a second mentor, Serdar and Ali pay her a visit. Mert meets with troubled orphan Eren. Eysan relives a moment from her past."
1,30,Ozlemek,31 May 2010,9.3,"Eren steals a gun and goes to visit Mert. Ali and Serdar raid the home of Ezel's plastic surgeon. To find out who Serdar is, Tevfik picks his pocket."
