temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,"Good Luck, Father Ted",21 Apr. 1995,8.0,"Father Dougal and Jack visit a Craggy Island fair filled with odd attractions, while Father Ted secretly tries to have a TV interview with ""Faith Of Our Fathers""."
1,2,Entertaining Father Stone,28 Apr. 1995,8.0,"The always at a loss for words, Father Stone, visits Craggy Island and over stays his welcome."
1,3,The Passion of Saint Tibulus,5 May 1995,8.4,Father Ted and Dougal protest a blasphemous new film on the orders of a visiting Bishop with a terrible secret.
1,4,Competition Time,12 May 1995,8.1,"Father Ted, Dougal and Jack enter a talent competition visited by a BBC presenter with an odd drinking problem."
1,5,And God Created Woman,19 May 1995,7.9,"Father Ted struggles with a crush he has for a lady visitor, and the arrival of a group of nuns."
1,6,Grant Unto Him Eternal Rest,26 May 1995,8.2,"Father Jack dies after drinking floor polish, leaving Ted and Dougal an inheritance."
2,1,Hell,8 Mar. 1996,8.9,"Fathers Ted, Dougal, and Jack take a holiday in a borrowed caravan."
2,2,"Think Fast, Father Ted",15 Mar. 1996,8.4,"Having to fix a roof leak, Father Ted tries a raffle to raise money."
2,3,Tentacles of Doom,22 Mar. 1996,8.7,Craggy Island gets a visit by three bishops who have come to upgrade a local holy relic.
2,4,Old Grey Whistle Theft,29 Mar. 1996,8.2,"Father Ted and Jack go on a picnic, while Dougal makes friends with a local bad boy priest."
2,5,A Song for Europe,5 Apr. 1996,8.8,"Father Ted and Dougal enter their song, ""My Lovely Horse"", into the Euro Song 96 contest."
2,6,The Plague,12 Apr. 1996,8.5,Bishop Len visits Craggy Island during a rabbit infestation.
2,7,Rock a Hula Ted,19 Apr. 1996,8.0,"Father Ted hosts the ""Lovely Girls Festival 96"" , while Dougal gives the house away to a visiting feminist."
2,8,Cigarettes and Alcohol and Rollerblading,26 Apr. 1996,8.5,"Father Ted, Dougal and Jack try to give up their vices for Lent."
2,9,New Jack City,3 May 1996,8.1,"Father Ted and Dougal mistakenly celebrate when a sick Jack leaves, only to be replaced by someone worse."
2,10,Flight into Terror,10 May 1996,8.7,"While flying home from a trip with a group of priests, Father Ted's plane encounters trouble."
2,11,A Christmassy Ted,24 Dec. 1996,9.0,"Father Ted wins the ""Golden Cleric"", for saving a fellow group of priests from an embarrassing situation."
3,1,Are You Right There Father Ted?,13 Mar. 1998,9.0,"Father Ted holds a, ""Celebration Of Craggy Island's Ethnic Diversity"", party to prove he's not a racist."
3,2,Chirpy Burpy Cheap Sheep,20 Mar. 1998,8.4,"Father Ted figures out the mystery of, ""The Beast Of Craggy Island""."
3,3,Speed 3,27 Mar. 1998,9.3,A local milkman seeks revenge after Father Ted gets him fired.
3,4,The Mainland,3 Apr. 1998,8.7,"On a visit to the mainland, Mrs. Doyle and Father Jack get arrested while Ted and Dougal get lost in a cave."
3,5,Escape from Victory,10 Apr. 1998,8.4,Father Ted comes up with a scheme to win a football match against Father Dick Byrne.
3,6,Kicking Bishop Brennan up the Arse,17 Apr. 1998,9.1,"After losing a bet to Father Dick Byrne, Father Ted has to kick Bishop Brennan up the backside."
3,7,Night of the Nearly Dead,24 Apr. 1998,8.5,"After winning a poetry contest, Mrs. Doyle gets a visit by the show's host and a few of his crazed fans."
3,8,Going to America,1 May 1998,8.5,"After saving a fellow priest from suicide, Father Ted is invited to work at an American parish."
