temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,A Touch of Class,19 Sep. 1975,8.6,"Basil is delighted when a member of the aristocracy chooses to stay at the Fawlty Towers, snubbing the normal guests who frequent the hotel. What Basil does not know, however, is that the man is not a Lord but a confidence trickster who attempts to steal his collection of rare coins. As Basil's desperation to keep such an 'upstanding' guest increases, he becomes increasingly tolerant towards the man's behavior, only to have the guest arrested in a police raid on the hotel."
1,2,The Builders,26 Sep. 1975,8.5,"Over his wife's objections, Basil hires his usual firm of incompetents (O'Reilly's) to do some carpentry work in the hotel lobby. With both Basil and Sybil out for the afternoon, they leave Polly in charge. She decides to have a nap, leaving the English-challenged Manuel in charge. When Basil returns, he finds a solid wall where once stood doors to the dining room and still no door to the kitchen per his work order. Sybil takes an I-told-you-so attitude and insists he hire a qualified builder to fix the mess, but Basil decides to get O'Reilly back to right the wrong, ..."
1,3,The Wedding Party,3 Oct. 1975,8.4,"Basil Fawlty's puritanical streak comes out when a young couple he suspects of not being married tries to book a double room. He's ready to give them rooms on separate floors until Sybil steps in. It turns out that the couple know Polly but when he sees her coming out of their room - she was trying on a dress her friend had brought her for the wedding they would be attending - Basil begins to think everyone has gone mad. All that's left is for another guest, Mrs. Peignoir, to get tipsy and make a pass at him. For Manuel, it's his birthday and a night of celebrating ..."
1,4,The Hotel Inspectors,10 Oct. 1975,8.9,Basil Fawlty goes on the alert when he hears there are hotel inspectors in the area.
1,5,Gourmet Night,17 Oct. 1975,8.9,"The Fawltys are very pleased with their new chef, Kurt. He was recommended to them by their friend André who runs a nice restaurant in town. All in all, he's working out quite well and they decide to have a gourmet evening on Thursdays to try and promote, in Basil's eye at any rate, a better class of clientèle. Kurt gets along well with everyone and seems to have a particular interest in Manuel. When the big day finally arrives, they find themselves with only four guests booked for the dining room - which Sybil puts down to Basil's advert in the local paper saying 'no..."
1,6,The Germans,24 Oct. 1975,9.3,"A moose head to be hung, a fire drill to be conducted, and German guests are all a bit much for Basil to handle while Sybil's in hospital."
2,1,Communication Problems,19 Feb. 1979,9.3,"When Mrs. Richards, a demanding woman who is hard of hearing, checks into the hotel, Basil, Sybil and Polly find themselves with a very difficult customer. Meanwhile, Basil bets on a horse that is sure to win, however he must not let Sybil find out."
2,2,The Psychiatrist,26 Feb. 1979,9.1,"Confusion arises when Basil tries to catch a girl in a playboy's room after hours, all the while unnerved by a psychiatrist's presence."
2,3,Waldorf Salad,5 Mar. 1979,8.4,Customer dissatisfaction with the Fawlty Towers dining experience comes to a head when an insistent American comes for a stay.
2,4,The Kipper and the Corpse,12 Mar. 1979,9.2,"One of the guests has died in his sleep, but Basil thinks it's due to serving him spoiled food."
2,5,The Anniversary,26 Mar. 1979,8.6,"Basil plans a surprise anniversary party for Sybil but, thinking he's forgotten it again, she walks out just before the guests arrive."
2,6,Basil the Rat,25 Oct. 1979,9.0,Basil and the rest of the staff are in deep trouble when the health inspector turns up and delivers an enormous list of problems with the hotel. Things become even worse when Manuel's rat gets loose in the hotel.
