temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,10 Feb. 2017,7.8,"Angry, pervy, outrageous and hilarious Fleabag arrives with a bang, as she spins through the city grasping at anyone and anything that might keep her head above water."
1,2,Episode #1.2,28 Jul. 2016,7.8,Fleabag attempts to rekindle romantic fires to distract her from the mayhem of her life.
1,3,Episode #1.3,4 Aug. 2016,7.7,"Fleabag helps her inappropriate brother-in-law buy a present for Claire, who is organising her own surprise birthday party. Fleabag reconnects with a toothy friend."
1,4,Episode #1.4,11 Aug. 2016,8.2,"Fleabag and her sister visit a female-only silent retreat, courtesy of their father. Their enforced silence is interrupted by an unusual neighbouring weekend workshop"
1,5,Episode #1.5,18 Aug. 2016,8.4,"On the anniversary of her mother's death, Fleabag and Claire return to their family home for the annual memorial lunch."
1,6,Episode #1.6,25 Aug. 2016,8.9,Fleabag faces up to her actions and reveals what happened to her beloved friend Boo.
2,1,Episode #2.1,17 May 2019,9.3,"Fleabag has to attend an uncomfortable family dinner to celebrate the engagement of Godmother and Dad. Fleabag is intrigued by Godmother's new Priest, but the evening ends with old tensions bubbling to the surface."
2,2,Episode #2.2,11 Mar. 2019,8.5,"Counselling extracts an uncomfortable truth from Fleabag, she finds herself somewhere unexpected. A chat with Claire reveals unwelcome news, Fleabag and Martin face off, Jake wonders where Claire is."
2,3,Episode #2.3,18 Mar. 2019,9.0,"Fleabag helps with an event at Claire's work which inevitably ends in disaster, but an introduction to Claire's colleague proves intriguing. A chance meeting with a stranger opens her eyes."
2,4,Episode #2.4,25 Mar. 2019,9.0,"After a day spent looking back on painful memories, Fleabag turns to The Priest for solace, but finds more trouble."
2,5,Episode #2.5,1 Apr. 2019,8.8,"The day after a boozy date, Fleabag helps her sister cope with a crisis, while the Priest has an announcement that shocks the family."
2,6,Episode #2.6,8 Apr. 2019,9.4,"As the wedding draws nearer, the relationship between Fleabag and the Priest becomes more intense - but how will it be resolved?"
