temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Sally,19 Nov. 2008,8.3,"Transplanted New Zealanders Bret and Jemaine--a.k.a. Flight of the Conchords--search for romance and gigs in New York City. At a bohemian party, Jemaine falls for Sally (who used to date Bret), but Bret spoils the moment back at their apartment."
1,2,Bret Gives Up the Dream,24 Jun. 2007,8.3,"Desperate for cash, Bret and Jemaine decide to get jobs. Only Bret is successful--he gets a job holding up signs. When Murray books them a show, Bret can't get off work, so Jemaine is forced to play with a replacement: a recording of Bret."
1,3,Mugged,1 Jul. 2007,8.9,"Bret loses Jemaine's trust by abandoning him to a 'gang' of two, and fears the worst when Jemaine doesn't come home."
1,4,Yoko,8 Jul. 2007,8.6,"Murray is perturbed when Bret cancels a band tour to be with his girlfriend Coco. Jemaine's dismay, coupled with the betrayal felt by lone fan Mel (who has a crush on Bret), threatens the band's future."
1,5,Sally Returns,15 Jul. 2007,8.2,"A lonely Jemaine runs into Sally, who dumped him (and Bret) earlier in the year. Envisioning a new life with Sally, Jemaine's dreams take a detour when he learns she won't spend time with him until he gets his own place."
1,6,Bowie,22 Jul. 2007,8.2,"Upset when Murray says he's too small during a photo shoot, Bret decides that Jemaine can help him get over his funk. That night, a 1972-era David Bowie advises Bret to wear an eye patch. The plan backfires when Bret has depth-perception problems."
1,7,Drive By,29 Jul. 2007,8.6,"Dissed by a rude fruit vendor, Bret and Jemaine concoct an animated music video in retaliation. But as slights against the boys continue, Bret and Jemaine find themselves in the middle of a race war with anti-Kiwi mutha 'uckas."
1,8,Girlfriends,5 Aug. 2007,8.5,Brett and Jemaine encounter girlfriend problems in the USA.
1,9,What Goes on Tour,12 Aug. 2007,8.4,"Using the band's 'emergency fund,' Murray organizes a warm-up tour before a big gig in Central Park. At a bar, the boys get hooked by some 'mermaids' from a women's water-polo team--nearly ruining the tour and their relationship with Murray."
1,10,New Fans,19 Aug. 2007,8.4,"The Conchords triple their fan base after playing a local world music jam, but Mel is suspicious of the two new fans' motives."
1,11,The Actor,26 Aug. 2007,8.6,"Bret and Jemaine enlist a semi-pro actor to cheer up Murray after a disappointing gig. Asked to place a good-hearted rejection call, the actor gets carried away, offering Murray and the Conchords a recording deal that's too good to be true."
1,12,The Third Conchord,2 Sep. 2007,8.2,"Season One Finale. Murray foists a new bongo-playing band member on Bret and Jemaine, triggering angry dances and mutant half-bands."
2,1,A Good Opportunity,18 Jan. 2009,8.2,"Season Two premiere. After rejecting Murray for spending too much time with another band, Bret and Jemaine find success managing themselves and land a deal to record an ad jingle; Dave shares his 'double-down' deal strategy."
2,2,New Cup,25 Jan. 2009,8.8,"Bret and Jemaine's fortunes unravel after Bret buys a new tea cup. With emergency band funds unavailable, Jemaine takes desperate measures in hopes of supplementing their income."
2,3,The Tough Brets,1 Feb. 2009,8.6,Bret organizes a gang to protect himself from rappers he dissed in a song; Murray and Jemaine get their feelings hurt by Aussie counterparts; Mel paints a portrait Jemaine can't get rid of.
2,4,Murray Takes It to the Next Level,8 Feb. 2009,8.2,"Murray tries to elevate Bret and Jemaine on his friendship graph, bringing his questioning pal Jim in on the plan; Mel demands an apology from Bret for inappropriate dream behavior."
2,5,Unnatural Love,15 Feb. 2009,8.9,"Jemaine starts dating an Australian, to Bret's dismay and inconvenience."
2,6,Love Is a Weapon of Choice,22 Feb. 2009,8.4,"Bret and Jemaine both fall for a woman whose missing dog has epilepsy, triggering a duel, a canine benefit, and a couple of new tunes."
2,7,Prime Minister,1 Mar. 2009,8.4,"Foiled by the White House, Murray arranges a presidential meeting for the visiting Prime Minister of New Zealand; a tribute gig ends with Jemaine getting mixed up with an Art Garfunkel fanatic."
2,8,New Zealand Town,8 Mar. 2009,8.0,"Trying to look cool for a gig at the Grand Opening of New York's one-block New Zealand enclave, the Conchords end up getting hooked on hair gel."
2,9,Wingmen,15 Mar. 2009,8.0,Bret enlists Jemaine and Dave to help him try to land a girlfriend; Murray regrets making Greg his scapegoat.
2,10,Evicted,22 Mar. 2009,8.3,"Season Two finale. Unable to pay off their back rent, Bret and Jermaine move in with Mel and Doug; Murray looks to cash in on a stage play about the Conchords' travails."
