temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,25 Sep. 1999,8.7,"In 1980, a group of high school students face various social struggles. Wealthy ""brain"" Lindsay wants to rebel. Her geeky freshman brother Sam and his two friends are targeted by a bully."
1,2,Beers and Weirs,2 Oct. 1999,8.7,"When Mr. and Mrs. Weir go out of town for the weekend, Lindsay hosts a keg party. Sam, Bill, and Neal are worried that the party-goers will get too rowdy, so they substitute a keg of non-alcoholic beer for the one the freaks have on ice."
1,3,Tricks and Treats,30 Oct. 1999,8.4,"Halloween doesn't go as expected for Sam, Lindsay, or their parents."
1,4,Kim Kelly Is My Friend,30 Apr. 2000,8.6,"Kim befriends Lindsay but she has ulterior motives, while Sam is bullied mercilessly by Karen Scarfolli, whose locker is next to his."
1,5,Tests and Breasts,6 Nov. 1999,8.8,"Daniel cons Lindsay into helping him pass an algebra test, while Sam and his pals try to figure out the basics of human sexuality."
1,6,I'm with the Band,13 Nov. 1999,8.6,"Lindsay encourages Nick to pursue a career in music. Nick continues to practice with his current band, but quickly decides he's better than them. Lindsay encourages Nick to audition for a bigger local band. When things don't go well in the audition, Lindsay is there to comfort Nick. Sam, Bill, and Neal struggle with having to shower in gym class."
1,7,Carded and Discarded,10 Jan. 2000,8.7,"Sam, Neal, and Bill befriend a pretty new transfer student, but soon fear of losing her to the popular crowd and try to win her over with a series of fun things they plan for her. Lindsay, Nick, Daniel, and Ken decide to get fake IDs so they can see a hot local band perform at a bar. However, after they go through the trouble of getting their IDs and going into the bar, the group is stunned to find out who the hot local bands lead singer is."
1,8,Girlfriends and Boyfriends,17 Jan. 2000,8.4,"Lindsay and Nick get more serious, and her parents give unwanted advice. Sam joins the yearbook staff to get closer to Cindy, who thinks of him only as a friend."
1,9,We've Got Spirit,24 Jan. 2000,8.5,"Sam tries out to be the school mascot hoping to impress Cindy. Meanwhile, Daniel, Ken, and Kim suddenly become the basketball team's most rabid fans following a series of run-ins with jocks from the rival school, Lincoln High. Lindsay tries to figure out the best way to break up with Nick."
1,10,The Diary,31 Jan. 2000,8.7,"Lindsay's parents are convinced Kim is leading their daughter down a path toward drugs and sex, so they consider taking a peek in her diary. Meanwhile, Bill is tired of the same jocks picking the teams during P.E., often leaving him picked last, so he makes prank calls to Coach Fredricks then confronts him directly. The adults may be the ones learning lessons from the students."
1,11,Looks and Books,7 Feb. 2000,9.0,"A car accident results in Lindsay deciding to stop hanging out with her ""freak"" friends. She decides to rejoin the mathletes and start hanging out with Millie again. Sam adopts a new modern hair style in the hopes of impressing Cindy. When this fails, he seeks out a new wardrobe"
1,12,The Garage Door,13 Mar. 2000,8.9,Neal learns his father is cheating on his mother. Ken develops a crush on the tuba player in the school's marching band and Lindsay helps set them up.
1,13,Chokin' and Tokin',20 Mar. 2000,9.1,"When Bill talks about being allergic to peanuts in class, Alan tries to prove he's lying but Bill ends up in the hospital after an allergic reaction. Lindsay smokes weed for the first time."
1,14,Dead Dogs and Gym Teachers,10 Oct. 2000,8.9,"Lindsay tries to convince Harold to let her join her friends at a Who concert. Kim and Lindsay accidentally run over Millie's dog. Kim starts hanging out with Millie. Lindsay wants to tell Millie the truth about her dog, but Kim does not. Meanwhile, Nick teaches himself to play guitar and writes a love ballad for Lindsay. Ms. Haverchuck stuns Bill with the news that she has been dating Coach Fredricks."
1,15,Noshing and Moshing,17 Oct. 2000,8.8,Neal wrestles with the dilemma of whether to tell his mother about his father's affair. Lindsay is given detention after coming to the aid of a girl being attacked by a boy. Daniel deals with pressures at home and with Kim. He escapes from his problems through punk music.
1,16,Smooching and Mooching,8 Jul. 2000,9.3,Nick stays with the Weirs after a fight with his father and the geeks go to a make-out party.
1,17,The Little Things,8 Jul. 2000,9.0,"As McKinley High prepares for a visit from Vice President Bush, Ken and Sam must sort out conflicted feelings in their love lives."
1,18,Discos and Dragons,8 Jul. 2000,9.3,"Nick explores disco, Lindsay listens to the Grateful Dead, and Daniel tries something new. What's cool? Friendship."
