temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,3 Oct. 2006,8.4,New head coach Eric Taylor finds his every move scrutinized as he takes over leadership of Texas's No. 1 high school football team.
1,2,Eyes Wide Open,10 Oct. 2006,7.8,"With Jason seriously injured, Matt must step up and become the team's first-string quarterback."
1,3,Wind Sprints,17 Oct. 2006,7.8,The Panthers suffer a humiliating loss. Lyla tries to help Jason believe that he will walk again.
1,4,Who's Your Daddy,24 Oct. 2006,7.6,"Coach Taylor deals with outside influences on who to start at quarterback, with the biggest game of the year coming up against their rivals, who have taken it upon themselves to raise the bar by trashing the Panthers' locker room. His wife has no picnic, either, as she is given two days to plan a team tradition barbecue and the visiting list keeps getting bigger. Jason is moved to a rehab unit, still not accepting his situation, as his replacement and Matt, deals with competition when a new quarterback is brought in from Louisiana as a refugee from Hurricane Katrina."
1,5,Git'er Done,30 Oct. 2006,7.9,"While only two days away from their next game, Coach Taylor still doesn't know who to start at quarterback, and Jason still doesn't know that his best friend is spending a lot of time with his girlfriend."
1,6,El Accidente,7 Nov. 2006,7.8,Coach Taylor questions his principles regarding Voodoo's eligibility and is confronted with another problem when his #1 defensive player is arrested for assaulting a fellow student. Tim and Lila break Jason out of the hospital for the afternoon.
1,7,Homecoming,14 Nov. 2006,7.7,"Coach Taylor asks Jason to attend the upcoming Homecoming game, who begins to suspect there's something going on between Tim and Lila. Smash feels the pressure of college scouts, even though he's still a junior. Tyra and Billy plan the ultimate party for after the game."
1,8,Crossing the Line,28 Nov. 2006,7.9,Jason confronts Lyla about her and Tim. Matt asks Coach Taylor's daughter is she would like to go out sometime leading Taylor and his wife to worry about her.
1,9,Full Hearts,5 Dec. 2006,7.9,"With a very intimidating opponent on the horizon, Coach Taylor deals with his former starting quarterback and his unfaithful girlfriend and his new starting quarterback dating his own daughter. Lyla and Tim face repercussions of their own actions, and Smash deals with having to go back to his old hometown for the big game and dealing with old feelings regarding his father, all the while facing the issues surrounding his secret steroid use, especially when his sister begins to notice the changes in him."
1,10,It's Different for Girls,12 Dec. 2006,7.9,"While everyone is focused on the cheerleaders, who have an upcoming competition, they focus on giving Lyla a hard time. Smash begins to show signs of steroid abuse, and Coach Taylor finds another way to occupy his starting quarterback in an effort to squash Matt's efforts with the coach's daughter."
1,11,Nevermind,3 Jan. 2007,8.0,"The Panthers are preparing yet again for another game they can't afford to lose. Jason (Scott Porter) still finds it difficult to adjust to life at home, and the feelings he still has for Lyla (Minka Kelly) don't make it any easier. Meanwhile, at what couldn't seem like a better time, Matt's (Zach Gilford) dad comes home from Iraq, but the homecoming is not what Matt expected. To make situations even more complicated, UT has taken an interest in Coach Taylor, whose popularity continues to grow, and Smash becomes more and more dependent on unnatural substances to keep ..."
1,12,What to Do While You're Waiting,10 Jan. 2007,7.9,"Matt's dad decides to stay home instead of returning to Iraq, while Jason's parents level a lawsuit against the coach for negligence. Smash tries to get closer to a girl, but he keeps getting in the way, himself. The whole town awaits another game involving two other schools, with the results determining the Panthers' post-season hopes."
