temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Can We Do This?,5 Apr. 1998,8.2,The United States launches an aggressive plan to beat the Soviets to the moon.
1,2,Apollo One,5 Apr. 1998,8.4,"NASA prepares for the Apollo 1 mission, then investigates the cause of the mission's tragic cabin fire."
1,3,We Have Cleared the Tower,12 Apr. 1998,7.8,With a documentary film crew watching their every step NASA prepares for the Apollo 7 mission.
1,4,1968,12 Apr. 1998,8.1,During the turbulent year of 1968 Susan Borman looks with dread on her husband's impending mission to orbit the moon.
1,5,Spider,19 Apr. 1998,8.8,The evolution of the lunar module at Grumman Aircraft Engineering.
1,6,Mare Tranquilitatis,19 Apr. 1998,8.4,"Buzz Aldrin, Neil Armstrong, and Michael Collins prepare for the Apollo 11 mission to the moon."
1,7,That's All There Is,26 Apr. 1998,8.4,On the Apollo 12 mission rookie astronaut Alan Bean becomes the fourth person to walk on the moon.
1,8,We Interrupt This Program,26 Apr. 1998,7.1,"The Apollo 13 mission as seen through the reporting of two newscasters, highlighting the changing character of news coverage."
1,9,For Miles and Miles,3 May 1998,7.8,Ten years after becoming the first American in space Alan Shepard battles back from health problems to command the Apollo 14 mission.
1,10,Galileo Was Right,3 May 1998,8.5,The Apollo 15 astronauts and backup crew go through extensive geology training in preparation for their mission.
1,11,The Original Wives Club,10 May 1998,7.2,"The lives of the astronaut wives during their NASA years and beyond - through speaking engagements and fashion shows, alcoholism and divorce."
1,12,Le voyage dans la lune,10 May 1998,8.0,The last manned Apollo mission to the moon is juxtaposed with Georges Méliès' filming of Viaje a la Luna (1902).
