temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Legend Begins,30 Jun. 1999,8.1,"Eikichi begins his career as a teacher-in-training expecting that he will get a class of attractive, nubile high school girls. When he is assigned a class of delinquents and blackmailers, only his tough love is able to win them over."
1,2,Enter Uchiyamada,7 Jul. 1999,7.9,"Interviewing at Holy Forest Academy, Onizuka meets his nemesis."
1,3,Late Night Roof Diving,21 Jul. 1999,8.1,Onizuka befriends a bullied student.
1,4,The Secret Life of Onizuka,11 Aug. 1999,7.8,Eikichi gets some lessons in the devious ways of his students.
1,5,"An Eye for an Eye, a Butt for a Butt",1999,8.0,Onizuka takes revenge on a group of bullies in his own way.
1,6,Conspiracies All Around,1999,7.8,The PTA threatens to fire Onizuka
1,7,The Mother of All Crushes,1999,7.8,"When Onizuka visits a student's single mother, it brings nothing but trouble."
1,8,Bungee Jumping Made Easy,1999,8.1,Eikichi faces down some dangerous bullies.
1,9,Onizuka and the Art of War,1999,7.6,The PE teacher Kukuroda challenges Onizuka.
1,10,Outside Looking in,1999,7.4,"To help a downtrodden student, Eikichi enlists her in a beauty contest."
1,11,To Be Idolized by a Nation,1999,7.9,Tomoko must conquer her fears on the day of the beauty contest.
1,12,The Formula for Treachery,1999,7.8,Eikichi finds himself in a love triangle with a math teacher.
1,13,Only the Best Will Do,1999,7.7,Onizuka must obtain his credentials after being placed on probation.
1,14,Between a Rock and a Hard Place,5 Dec. 1999,7.7,Eikichi goes to an all-night study session.
1,15,The Great Sacrifice,1999,8.3,Eikichi must rescue a student from a dangerous abduction.
1,16,Beauty + Brains = A Dangerous Mix,1999,7.9,
1,17,Falling for the Great Onizuka,1999,8.3,Urumi finally opens up to Onizuka... on a rooftop.
1,18,How to Dine and Dash,1999,7.6,Onizuka is blackmailed into buying a sushi feast with no cash.
1,19,Private Investigations,1999,8.7,Holy Forest Academy is under siege from Urumi's dangerous pranks.
1,20,Love Letters,6 Feb. 2000,7.7,"A love letter is found in Murai's shoe box with the letter ""F"" on the envelope."
1,21,Revolution Everywhere,13 Feb. 2000,7.5,The female students boycott Fuyutsuki's clsas.
1,22,The Art of Demolition,2000,7.8,It is a race against time for Azusa as she assigns a student to find an heirloom - in a school about to be demolished.
1,23,Superstition,2000,8.2,A cursed chain letter has deadly foreboding for Eikichi.
1,24,Compromising Positions,2000,8.2,Mr. Uchiyamada suspects that Onizuka do something bad with his daughter so he plans to stalking them.
1,25,Playing Doctor: GTO Style,2000,8.2,"A new sexy infirmary teacher catches everyone's eye. She is no any ordinary teacher, will Onizuka find out who is she really is?"
1,26,Onizuka Meets His Match,2000,8.2,Nao's scheme is more than meets the eye.
1,27,GTO: Agent to the Stars,2000,8.2,
1,28,"Whatever Can Go Wrong, Will Go Wrong",2000,8.0,Tomoko is exposed to the harsh reality of professional pageantry.
1,29,Studies in High Finance,2000,8.1,Miyabi has a nefarious scheme up his sleeve.
1,30,"Money Talks, GTO Walks",2000,8.4,
1,31,Destination: Okinawa,2000,8.3,"To make up for past mistakes, Onizuka promises to take the entire class to Okinawa."
1,32,The Law of Probability,2000,8.3,Onizuk agoes for broke and gambles his future on a raffle ticket.
1,33,Search and Rescue,2000,8.4,Miyabi must choose between her pride and a fate worse than death.
1,34,Good Cop/Bad Cop,2000,7.6,"Eikichi, Tomoko, and Toshiyuki make an extraordinary discovery."
1,35,Wedding Bell Blues,2000,7.7,Mirai suspects a secret wedding when he spies his mother at a bridal boutique.
1,36,Self Improvement: Fuyutsuki's Transformation,2000,7.5,Teacher Fuyutsuki hears comments about her physical appearance and she decides to surprise people in the school.
1,37,Living Together,2000,8.2,Teacher Onizuka places the students in different rooms without their close friends to give them chance to know each other better. But some students complain about it.
1,38,Great Treasure Onizuka,2000,7.5,Student Kikuchi mentions about a treasure to Teacher Onizuka and he makes a plan to find it.
1,39,Alone in the Dark,2000,7.7,Some of Teacher's Onizuka's students get lost and he tries to find them.
1,40,Matters of the Heart,2000,8.1,
1,41,Confessions,2000,8.5,A student who fell in love with the another student confesses everything with help of Teacher Onizuka.
1,42,Old Wounds Revisited,2000,8.1,The real reason behind student Aizawa's hatred against the teachers is revealed in this episode.
1,43,Onizuka's Final Battle,24 Sep. 2000,8.7,Onizuka must use everything he has to save Miyabi from the Board of Education.
