temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Tourist Trapped,7 Jun. 2013,8.4,"After finding a strange book in the forest, Dipper begins to learn about the dark side of Gravity Falls, and suspects that Mabel's new boyfriend is a zombie."
1,2,The Legend of the Gobblewonker,29 Jun. 2012,8.0,"Stan takes the kids fishing for the day, but they ditch him to search for a lake monster called the Gobblewonker in order to win a photo contest."
1,3,Headhunters,30 Jun. 2012,8.1,"The kids discover Stan's collection of wax sculptures, and Mabel decides to create her own. But when someone sabotages it, it's up to her and Dipper to solve the case."
1,4,The Hand That Rocks the Mabel,6 Jul. 2012,7.8,"Dipper and Mabel go to see Stan's arch nemesis, a psychic by the name of Lil' Gideon, who becomes obsessed with Mabel."
1,5,The Inconveniencing,13 Jul. 2012,8.7,Dipper tries to impress Wendy by going along with her and her friends to an abandoned convenience store that may be haunted.
1,6,Dipper vs. Manliness,20 Jul. 2012,8.0,"In order to become more manly, Dipper seeks the help of a gang of minotaurs in the forest. Meanwhile, Mabel gives Stan a makeover."
1,7,Double Dipper,10 Aug. 2012,8.7,"Stan throws a big party to promote the Mystery Shack, while Dipper uses a strange photocopier to make clones of himself, so that he can impress Wendy."
1,8,Irrational Treasure,17 Aug. 2012,8.3,"During Gravity Falls' Pioneer Day celebration, the kids attempt to uncover a conspiracy about the town's real founder."
1,9,The Time Traveler's Pig,24 Aug. 2012,9.1,"Dipper ruins a chance to impress Wendy at a fair, forcing him to use a time machine to travel back and stop it from happening."
1,10,Fight Fighters,14 Sep. 2012,8.7,"Dipper is challenged to a fight by Wendy's boyfriend Robbie, and brings video game character Rumble McSkirmish to life in order to serve as his bodyguard."
1,11,Little Dipper,28 Sep. 2012,8.0,"Dipper finds a magic crystal with the ability to grow and shrink anything, but Gideon gets his hands on it and tries to get revenge on Stan and take the Mystery Shack."
1,12,Summerween,5 Oct. 2012,8.7,"It's Summerween, and Dipper and Mabel are visited by a monster called the Summerween Trickster, who informs them they must collect 500 pieces of candy, or be eaten."
1,13,Boss Mabel,15 Feb. 2013,8.0,"Mabel is in charge of the Mystery Shack after making a bet with Stan to see who can the most money in three days, and determine which of them is the better boss."
1,14,Bottomless Pit!,1 Mar. 2013,8.2,"Dipper, Mabel, Stan, and Soos accidentally fall into the Mystery Shack's bottomless pit and tell each other stories to pass the time."
1,15,The Deep End,15 Mar. 2013,7.8,"It's the hottest day of the Summer and the opening day of the Gravity Falls pool, where Mabel befriends a mysterious boy named Mermando."
1,16,Carpet Diem,5 Apr. 2013,8.6,"Dipper wants his own room and when Soos finds one in the shack, Stan makes Dipper and Mabel compete for it. Meanwhile, Dipper has found out that the shag rug inside let's you switch bodies with whomever you shock."
1,17,Boyz Crazy,19 Apr. 2013,7.5,"When Mabel Discovers that her favourite boy band is actually a bunch of imprisoned clones, she sets them free, only to decide on keeping them for herself; Dipper is convinced that Robbie plans to brainwash Wendy with a secret message."
1,18,Land Before Swine,28 Jun. 2013,8.5,"A dinosaur loose in Gravity Falls snatches up Mabel's pig, Waddles, leading the Pines family on a prehistoric journey to get him back."
1,19,Dreamscaperers,12 Jul. 2013,9.3,"Dipper, Mabel and Soos go through Stan's mind to defeat a tricky demon summoned by Lil Gideon."
1,20,Gideon Rises,2 Aug. 2013,9.3,"When Lil' Gideon takes over the Shack, Dipper and Mabel try to defeat him."
2,1,Scary-oke,1 Aug. 2014,8.9,"The Pines Family resolves to get back to normal by throwing a ""Mystery Shack is Back"" party ... but nothing is normal in Gravity Falls!"
2,2,Into the Bunker,4 Aug. 2014,9.3,"When Dipper's secret journal pages lead him and the gang to the author's hidden bunker, they find themselves coming face to face with a mysterious figure from Gravity Falls' history."
2,3,The Golf War,11 Aug. 2014,8.2,"After being belittled by Pacifica too many times, Mabel challenges her to a miniature golf off, which gets out of control when some local residents offer their help."
2,4,Sock Opera,8 Sep. 2014,8.7,"Close to unlocking the author's laptop, Dipper is visited by the demon Bill, who wants to make a deal. Mabel puts on a puppet show to impress a boy."
2,5,Soos and the Real Girl,22 Sep. 2014,8.7,"Soos makes a promise to his grandma that he can find a girlfriend in one week, and buys a dating simulator game to help him learn how to talk to women."
2,6,Little Gift Shop of Horrors,4 Oct. 2014,8.0,Stan tells a series of three spooky tales to an unlucky customer at the Mystery Shack after hours.
2,7,Society of the Blind Eye,27 Oct. 2014,9.2,Dipper and the gang discover a secret society that has been erasing the memories of the citizens of Gravity Falls.
2,8,Blendin's Game,10 Nov. 2014,9.0,Blendin returns to face off with Dipper and Mabel in a futuristic battle that could trap them forever in time jail.
2,9,The Love God,26 Nov. 2014,7.8,"After seeing Robbie's sadness over his and Wendy's breakup, Mabel steals a love potion from a Love God."
2,10,Northwest Mansion Mystery,16 Feb. 2015,9.2,Pacifica invites Dipper over to her mansion in order to get rid of a ghost.
2,11,Not What He Seems,9 Mar. 2015,9.8,The twins wonder if they really know Grunkle Stan after he is taken into custody by the government agents.
2,12,A Tale of Two Stans,13 Jul. 2015,9.6,"The reuniting of the Pine brothers Stanford and Stanley. A series of flashbacks from their lives are shown, and their history together is explained."
