temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Taiyô ni idomu mono,4 Oct. 2003,7.8,A lead on the Philosopher's Stone leads the Elric brothers to a remote desert city whose citizens worship a sun god and are led by a prophet who is purported to perform miracles.
1,2,Kinki no karada,11 Oct. 2003,7.8,"Knowing the truth behind the prophet's power, the Elrics seek to unseat him and reveal the truth to the citizens of that desert city. They also seek to steal the source of the power for themselves, until they discover a secret about it that even the prophet didn't know."
1,3,Okâsan......,18 Oct. 2003,8.3,"A young Ed and Al are determined to bring back their dead mother, who was their pillar of strength in light of their absent father and war struck country."
1,4,Ai no rensei,25 Oct. 2003,7.1,"While on their way to seek out an important man from their childhood, Ed and Al come across a town haunted by a ghostly woman."
1,5,Shissô! Ôtomeiru,1 Nov. 2003,7.8,The Elric brothers hop aboard a train to Central City and quickly find themselves defending the passengers -- including General Haruko -- from terrorists.
1,6,Kokka renkinjutsushi shikaku shiken,8 Nov. 2003,8.0,"Once in Central City, Ed and Al move into the vast mansion of the Sewing-Life Alchemist Shou Tucker and begin to prepare for the Alchemy exam."
1,7,Kimera ga naku yoru,15 Nov. 2003,9.0,"Now an official state alchemist, Ed takes a closer look at Tucker's chimera experiments and begins to realize that something wrong has been going on."
1,8,Kenja no ishi,22 Nov. 2003,8.2,"A disheartened Ed resigns from his position as State Alchemist just as Winry arrives into town to visit. Winry however, may end up as the next victim of the city's serial killer."
1,9,Gun no inu no sunadokei,29 Nov. 2003,7.9,Ed and Al go on assignment to inspect a small mining colony and discover its inhabitants are being heavily taxed by a tyrannical military Lieutenant and his Alchemist.
1,10,Kaitô sairên,6 Dec. 2003,7.5,"While trying to avoid their meeting with Mustang, Ed and Al end up in a small town and become embroiled in a manhunt for a female Robin Hood."
1,11,Sareki no daichi Zenpen,13 Dec. 2003,7.5,"The Elric brothers head to Xenotime in hopes of finding the Philosopher's Stone, but instead find two brothers who've stolen their identity and are poisoning the town with strange red water."
1,12,Sareki no daichi Kôhen,20 Dec. 2003,7.5,"Ed and Al uncover a conspiracy involving the Tringham brothers' father, his involvement with the red water and the disease that's stricken Xenotime."
1,13,Hôno vs Hagane,27 Dec. 2003,8.0,"Just in time for his annual Assessment, Ed challenges Mustang to a fight. If Ed wins, Roy must tell the truth about the traveling doctor who saved children in Xenotime."
1,14,Hakai no migite,10 Jan. 2004,7.8,"While the shape-shifting Envy disguises himself as Cornello, Ed and Al find Marcoh and learn about the Stone's involvement in the Ishbal Rebellion."
1,15,Ishvâru gyakushatsu,17 Jan. 2004,8.3,"As the Strong Arm Alchemist defends against the surrounding chaos, Marcoh reveals to the Elrics the vast atrocities of the Ishbal massacre."
1,16,Ushinawareta mono,24 Jan. 2004,7.6,"As Marcoh faces a deadly encounter with Lust, Armstrong and the Elrics flee to Resembool. Ed however, gets sent into a rage when they lose Al in the process."
1,17,Kazoku no matsu ie,31 Jan. 2004,7.9,"The hobbled Elrics return to their childhood village for the first time in four years. As the Rockbells construct Ed's new limbs, the boys sift through the ashes they left behind. While Al comes to the fearful realization that his memories are fading, Ed visits his mother's grave, and both must redefine their view of family and home."
1,18,Marukô nôto,7 Feb. 2004,7.7,"Ed and Al are forced to go in search of another source for Marcoh's books after Lust, Gluttony and Scar burn the first Branch Library to the ground."
