temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The End & the Beginning,6 Apr. 2014,8.3,"Hinata has been intrigued by volleyball ever since seeing the Small Giant playing. After struggling to find a team, he finally get's to go to a tournament three years later for the first time. There they play against Kitagawa Daiichi, a powerhouse middle school, and Kageyama Tobio who is infamously known as the King of the Court. Their match sparks a interesting rivalry between the two. However, a year later, when Hinata joins a high school volleyball team, he finds a new unexpected team mate there."
1,2,Karasuno High School Volleyball Club,13 Apr. 2014,8.0,"After just joining the Karasuno Volleyball team, Hinata is faced with a new obstacle. His middle school rival, Kageyama, is also a potential member of the team. When the disapproving captain arrives, he quickly kicks them out until they can get along."
1,3,The Formidable Ally,20 Apr. 2014,8.3,"With sophomore Tanaka on their side, Hinata and Kageyama are up against freshmen Tsukishima and Yamaguchi and third-year team-captain Sawamura in a three-on-three match."
1,4,The View from the Summit,27 Apr. 2014,8.7,"Kageyama and Hinata both win their places on the team. But when the team's new coach, Ittetsu Takeda arrives, his announcement of a practice match with one of the top volleyball teams in the prefecture has both of them scrambling."
1,5,A Coward's Anxiety,4 May 2014,8.2,"After the 3 vs 3, the first years are welcomed into the club as full members just in time for a practice match with Aoba Johsai. Will Hinata be able to handle the pressure of his first real match?"
1,6,An Interesting Team,11 May 2014,8.4,"Hinata and Kageyama are in full form, and it looks like victory is inevitable. But when Seijoh's captain Oikawa returns to the court, will Karasuno be able to fend off his super serves?"
1,7,Versus the Great King,18 May 2014,8.6,"Sophomore Nishinoya, the ""Guardian God"" of Karasuno Volleyball Club, returns to rally the other club-members during practice. Meanwhile, Takeda is still pulling for Keishin Ukai to be the next coach of Karasuno High-and he has a plan that just might work."
1,8,"He Who Is Called ""Ace""",25 May 2014,8.6,"With the match against Nekoma looming, temp coach Ukai arranges an exhibition against his local volleyball association ... and now Azumane must prove he deserves his title."
1,9,A Toss to the Ace,1 Jun. 2014,8.8,"It's time for the Karasu versus Neighborhood Association team practice-match, where Asahi lives up to his title. With Hinata in pure awe of Asahi's gameplay, Kageyama makes moves to get Hinata back on track."
1,10,Yearning,8 Jun. 2014,8.4,"Gearing up for their match against Nekoma (and for the Inter-High preliminaries), the Karasuno team heads to training camp. But even with their much-improved skills, Keishin must make a difficult choice for setter: Kageyama or Sugawara."
1,11,Decision,15 Jun. 2014,8.2,"With the practice match against Nekoma fully underway, Karasuno seems to be the team to beat-thanks to the fearsome power of the Hinata-Kageyama duo. But Nekoma devises a clever and unexpected plan to reverse their losing streak..."
1,12,The Neko-Karasu Reunion,22 Jun. 2014,8.5,"In an epic showdown, Nekoma and Karasuno battle it out for the win. Though Karasuno suffer a close defeat, the resulting alliance the two teams form could lead them to victory at the Nationals."
1,13,Rival,29 Jun. 2014,9.0,"With the Inter-High finals fast approaching, the pairings of the preliminaries are announced, and the tension is mounting amongst the members of Karasuno volleyball club. ?Meanwhile, not to be left out, Yamaguchi is secretly working on mastering his unique jump float serve."
1,14,Formidable Opponents,6 Jul. 2014,8.3,"Karasuno's first match at the long-awaited Inter-High preliminaries is against Tokonami High School. With Karasuno leading 3-0, it's becoming clear that Karasuno is back in action-and better than ever!"
1,15,Revival,13 Jul. 2014,8.8,"While Karasuno seems to be winning against Tokonami, the outclassed team are determined to turn things around. Meanwhile, on the other court, the Karasuno girls' team isn't doing nearly as well..."
