temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Gone for Goode,31 Jan. 1993,8.3,The team investigate a woman who appears to be murdering her husbands for the insurance money.
1,2,Ghost of a Chance,3 Feb. 1993,8.2,"Bayliss is primary on a major homicide of a young girl that gets national press coverage, Howard seeks help from a victim's ghost, Munch and Bolander investigate a homicide involving a couple unhappily married for 60 years while Bolander has a crush on the feisty coroner."
1,3,Son of a Gun,10 Feb. 1993,7.9,"Crosetti and Lewis investigate the shooting of a fellow police officer whom Crosetti regards as a son, Howard suspects a rabid Spiro Agnew fan of murder but ends up solving the Calpurnia Church case meanwhile Bolander makes a friend whose death interrupts his date with Dr. Blythe."
1,4,A Shot in the Dark,24 Feb. 1993,8.0,"Crosetti and Lewis crack the Thormann case, Pembleton and Felton spend a night out on their own searching for a Lincoln while the jumpy Bolander gives Munch a hard time over a double murder."
1,5,Three Men and Adena,3 Mar. 1993,9.5,Bayliss has a new clue on his primary case and with Frank they interrogate a suspect who they believe to be the murderer of Adena
1,6,A Dog and Pony Show,10 Mar. 1993,7.7,"While Giardello is busy sending off an old friend to retirement Pembleton and Bayliss investigate the murder of a dog, Howard and Felton argue over whether Felton finds Howard attractive while dealing with a drug-related homicide and Bolander and Munch take Dr. Blythe's son on a ride along. Meanwhile, Crosetti takes care of the bed-ridden and blind Thormann."
1,7,And the Rockets' Dead Glare,17 Mar. 1993,8.1,"Howard and Felton are in court over the Pony Johnson case, Crosetti and Lewis go head to head with the Secret Service and Bolander and Munch argue over drug legalization. Meanwhile, Pembleton gets an unexpected job offer."
1,8,Smoke Gets in Your Eyes,24 Mar. 1993,7.6,Quitting smoking dominates the conversation ad behavior of the homicide detectives even as they solve what may be a gang-related killing of a 14-year-old boy. Lt. Giardello discovers a secret asbestos removal project on the third floor and confronts his superiors on behalf of his squad.
1,9,The Night of the Dead Living,31 Mar. 1993,8.6,"While pulling a graveyard shift on the hottest night of the year (with the AC on the blink) Bayliss brings in a potential suspect in the Adena Watson case, unfortunately he is twelve, Munch is angry after his girlfriend dumps him in the dark, Howard deals with a jumper in a Santa costume who tried to kill his wife with a water pistol while her sister is waiting for biopsy results, Crosetti deals with his daughter's sexuality, Bolander debates whether to ask Dr. Blythe out on a date and Felton and Lewis investigate the case of a mysterious candle lit every night next ..."
2,1,Bop Gun,6 Jan. 1994,8.7,"Felton gets a primary case, in which a family gets robbed and the mother is fatally shot. As the team investigates, the father blames himself for the loss."
2,2,See No Evil,13 Jan. 1994,8.0,"Felton's friend kills his ill father in an assisted suicide, and a suspicious Lewis is assigned to the case. Frank and Bayliss investigate the murder of a drug peddler."
2,3,Black and Blue,20 Jan. 1994,9.0,"A victim was shot in the back, and Frank is eager to find out who done it, however nobody believes him when he states the murderer was a cop."
2,4,A Many Splendored Thing,27 Jan. 1994,8.3,"Bayliss and Pembleton investigate the murder of a much-loved woman, only to find that she worked at a phone sex company. Meanwhile, a depressed Detective Munch tags along on Bolander's romantic dinner date after being dumped."
3,1,Nearer My God to Thee,14 Oct. 1994,7.6,"When a beautiful girl is murdered, dragged in a dumpster, the unit investigates the case, but it's difficult without a clue except of a white glove found on the hand of the victim."
3,2,Fits Like a Glove,21 Oct. 1994,7.5,"Still investigating the murder of Catherine Goodrich, another victim is found with the same clues and Frank is now the primary on the case. Felton is thinking about going back to his wife, Munch and Lewis consider to buy a tavern."
3,3,Extreme Unction,28 Oct. 1994,8.1,"With another girl found dead with a glove on her hand next to a Catholic Church, Frank questions his faith but then a witness might help the detectives find out the killer's identity."
3,4,A Model Citizen,11 Nov. 1994,7.6,"Kay Howard becomes closer to John Munch when she realizes how saddened he is by children being involved in horrific crimes. Meanwhile Bayliss falls for a seductive closet-goth, Emma Zoole."
3,5,Happy to Be Here,18 Nov. 1994,7.5,Gee investigates the murder of an old friend and Bayliss's relationship with the police artist turns sour.
3,6,Crosetti,2 Dec. 1994,9.0,"The unit investigate the death of their friend and Lewis' partner, Steve Crosetti which appears to be a suicide, but Lewis is sure there is more to it than this."
3,7,The Last of the Watermen,9 Dec. 1994,7.2,"Howard decides to go on a sudden vacation to her hometown, but soon she has to investigate a murder of a conservationist. Meanwhile, Frank has to fill the absence of Howard as the partner of Felton to solve a case."
3,8,All Through the House,16 Dec. 1994,7.8,"It's Christmas time, and Lewis gets a case in which the victim's identity is unknown due to heavy burns. Munch and Bolander deal with the death of ""Santa"" but nothing seems to ruin Bolander's Christmas spirit."
3,9,Every Mother's Son,6 Jan. 1995,8.7,Bayliss and Frank investigate the murder of a kid who was shot in a bowling alley. Felton gets a clue about his family's whereabouts.
