temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Chapter 1,21 Feb. 2013,8.6,"Congressman Francis Underwood has been declined the chair for Secretary of State. He's now gathering his own team to plot his revenge. Zoe Barnes, a reporter for the Washington Herald, will do anything to get her big break."
1,2,Chapter 2,28 Feb. 2013,8.6,"Francis and Doug plan to frame Secretary of State nominee, Michael Kern. Meanwhile, Zoe's popularity at the Washington Herald continues to grow."
1,3,Chapter 3,7 Mar. 2013,8.3,Francis heads for his hometown to deal with a crisis. Zoe negotiates the politics of being a journalist on the rise. Claire finds herself a new business partner.
1,4,Chapter 4,14 Mar. 2013,8.2,Francis shakes down the Congressional leadership. Zoe is offered the promotion of White House Correspondent and doesn't know if she should take it or not.
1,5,Chapter 5,21 Mar. 2013,8.5,A feud starts between Francis and Marty Spinella. Russo goes into depression about the job losses at the shipyards.
1,6,Chapter 6,28 Mar. 2013,8.6,The strike between Frank and Marty starts to get out of hand. Russo has decided to run for Governor of Pennsylvania.
1,7,Chapter 7,4 Apr. 2013,8.2,"Frank helps Peter get ready for his governor race, but Peter is starting to have second thoughts. Doug tries to help a young hooker in trouble."
1,8,Chapter 8,11 Apr. 2013,7.8,Frank has a library named after him at his old military school. Peter tries to win back the support of his hometown.
1,9,Chapter 9,18 Apr. 2013,8.5,"Frank tries to do whatever it takes to get the new bill past congress. Russo goes on a bus campaign with the Vice President, but the VP is not making it an easy trip for him. Zoe's relationship with Frank gets a little bumpy."
1,10,Chapter 10,25 Apr. 2013,8.8,"Told that Claire was behind the watershed bill's failure, Francis works to contain the damage and maintain control over Peter Russo. Zoe and Claire each seek relief from their respective relationships with Francis."
1,11,Chapter 11,2 May 2013,9.1,"Following the collapse of Russo's campaign, Francis launches a risky ploy to join the Walker administration."
1,12,Chapter 12,9 May 2013,8.6,The President sends Frank to St. Louis to persuade Raymond Tusk into becoming the new Vice President. Zoe and Janine investigate Peter Russo's death.
1,13,Chapter 13,16 May 2013,8.9,"Frank scrambles to keep his plan on track. Gillian is planning to sue Claire. Zoe, Janine, and Lucas investigate Rachel Posner and her relationship with Peter Russo."
2,1,Chapter 14,15 Feb. 2014,9.6,Frank prepares for his promotion to Vice President. Doug tries to erase all leads leading back to him and Frank. Claire fights back against Gillian. Zoe considers working with Frank again.
2,2,Chapter 15,15 Feb. 2014,8.4,Frank is announced as Vice President. The US meets with China. Jackie faces obstacles as she plans to run for new whip. Lucas looks into Zoe's death.
2,3,Chapter 16,15 Feb. 2014,8.5,The tension between Francis and Raymond Tusk increases while the situation in China is getting worse. A fight in the Senate puts Francis against the republicans.
2,4,Chapter 17,15 Feb. 2014,9.1,A Terror threat traps Francis in the Congress building with a bitter Donald Blythe. Claire gives a live interview that shakes the media.
2,5,Chapter 18,15 Feb. 2014,8.4,Francis resorts to informal negotiations with a Chinese billionaire. Lucas takes extreme measures in use to reveal the vice president. Team Underwood gets a new member.
2,6,Chapter 19,15 Feb. 2014,8.4,"In the middle of an energy crisis, Francis and Tusk end their fragile alliance. Lucas must make a difficult choice. Stamper gets closer to Rachel."
2,7,Chapter 20,15 Feb. 2014,8.4,"Despite friction, the friendship between the Walkers and the Underwoods becomes stronger. But there's a war between Francis and Tusk."
2,8,Chapter 21,15 Feb. 2014,8.6,"The war with Tusk intensified. Claire influences Tricia Walker, both on the political and domestic front."
2,9,Chapter 22,15 Feb. 2014,8.9,It becomes personal when Tusk hits the Underwood pair with a scandal. Freddy and his restaurant will be involved in it all.
2,10,Chapter 23,15 Feb. 2014,8.4,"With a military stalemate abroad and a possible violent situation at home, Francis wants to put an end to Tusk forever. Claire and Jackie Sharp collide."
2,11,Chapter 24,15 Feb. 2014,8.7,Frank is questioned by a special prosecutor. Remy Danton is trying to keep all options open. Stamper is struggling with his demons.
2,12,Chapter 25,15 Feb. 2014,8.9,Francis feels shut out. Stamper tries to regain control.
2,13,Chapter 26,15 Feb. 2014,9.6,Francis is about to be destroyed while the nation is in turmoil. Stamper must pick up loose ends. Claire marks the conclusion of her ruthlessness.
3,1,Chapter 27,28 Feb. 2015,8.1,Frank's approval ratings have plummeted. Doug goes through rehab over his injury. Claire plans to run for Ambassador to the U.N.
3,2,Chapter 28,28 Feb. 2015,8.5,Claire's U.N. bid runs into trouble. Frank fights off mutiny with a bold address to the country.
3,3,Chapter 29,28 Feb. 2015,8.6,The Russian president's state visit becomes a cold war of wills.
3,4,Chapter 30,28 Feb. 2015,8.3,Claire bypasses Russia at the U.N. Frank tries to outmaneuver a potential challenger and ends up face to face with a higher power.
3,5,Chapter 31,28 Feb. 2015,8.2,Frank declares war on Congress to jump-start his jobs program. Claire spars with the Russian Ambassador.
3,6,Chapter 32,28 Feb. 2015,9.1,Frank and Claire travel to Moscow to negotiate the return of an imprisoned U.S. citizen. Claire takes a stand that jeopardizes their plans.
3,7,Chapter 33,28 Feb. 2015,8.2,"The damage is done and the Underwoods must repair it. But deep wounds don't heal fast, and sometimes not at all."
3,8,Chapter 34,28 Feb. 2015,8.3,A hurricane endangers more than just the entire East Coast and Frank must make a difficult choice.
3,9,Chapter 35,28 Feb. 2015,8.4,The Jordan Valley erupts in chaos just as Frank's campaign is picking up steam. Claire gets disturbing intel and counsels him.
3,10,Chapter 36,28 Feb. 2015,8.2,"Frank needs to deal with Petrov one on one, while Claire tries to preserve the peace-keeping mission. Sacrifices must be made."
3,11,Chapter 37,28 Feb. 2015,9.1,"Things turn ugly when Frank, Jackie, and Heather square off during their first debate. Tom joins Claire on the campaign trail."
3,12,Chapter 38,28 Feb. 2015,8.8,Claire is given an even larger role in the campaign. The gain in points drives Heather to look for dirt on Claire.
3,13,Chapter 39,28 Feb. 2015,9.0,Francis and Claire's relationship reaches a critical point. Doug catches up with his past.
4,1,Chapter 40,4 Mar. 2016,8.0,Claire's absence causes problems for Frank on the campaign trail amid rumors of a marital rift. Claire tries to strike out on her own.
4,2,Chapter 41,4 Mar. 2016,8.2,"As Claire begins exploring a campaign of her own, she and Frank engage in backdoor political maneuvering. But this time they're not on the same side."
4,3,Chapter 42,4 Mar. 2016,8.9,"Claire joins Frank as he campaigns in South Carolina, but he doesn't trust her. A disastrous scandal blindsides Frank on primary day."
4,4,Chapter 43,4 Mar. 2016,9.4,Claire threatens Frank while Frank makes a politically bold move that may provoke Russia.
4,5,Chapter 44,4 Mar. 2016,8.5,Claire advises the VP Donald Blythe on dealing with Russia. Further investigation of Lucas Goodwin dredges up his accusations against Frank.
4,6,Chapter 45,4 Mar. 2016,8.6,Claire clashes with the Secretary of State Durant over her involvement in negotiations with Russia. Dunbar must choose between her campaign and her ethics.
4,7,Chapter 46,4 Mar. 2016,8.5,Frank and Claire adjust to their new reality. The search for Frank's running mate begins. Frank starts a campaign to weaken Conway's strong support.
4,8,Chapter 47,4 Mar. 2016,8.2,"Formidable as ever, Frank and Claire have their eyes on the big picture as they manipulate a potential running mate and push a gun bill."
4,9,Chapter 48,4 Mar. 2016,8.8,"At the convention, Frank and his team publicly push for Secretary of State Durant to be chosen as his running mate, but privately push a different agenda."
