temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Big Bang,25 Apr. 2010,8.1,"This is the greatest story ever told, the creation of everything us. The programme investigates how the Universe came into existence out of nothing, and how it grew from a miniscule point, smaller than an atomic particle, to the vast cosmos we see today."
1,2,Black Holes,2 May 2010,8.4,"Black Holes,the most powerful destroyers in the Universe, the most mysterious phenomena in the heavens. For years they were only speculation, now modern astronomy is proving them frighteningly real and showing that they may well shape everything we see."
1,3,Galaxies,10 May 2010,8.3,"Galaxies, home to stars, planets and us, come in all shapes and sizes. Witnesses the evolution of galaxies; from clouds of cold gas floating in the voids of space 13 billion years ago, to the magnificent spirals that fill our night sky."
1,4,Stars,10 May 2010,8.4,"The story of how stars were made by the Universe and how Stars then went on to engineer everything else in that very universe. They changed the Universe by spawning further generations of stars, then planets and eventually the building blocks of life."
1,5,Supernovas,17 May 2010,8.2,"Stars are not eternal; they are dying in unimaginably large explosions called supernovas. Second only to the Big Bang, these explosions are where creation and destruction meet. Only now have we begun to understand how these wonders in our sky work."
1,6,Planets,17 May 2010,8.2,"There are just eight planets in our solar system, but there could be a hundred billion planets in our Milky Way galaxy alone. This show follows the journey of planets as they grow from grains of dust to the magnificently diverse worlds we see today."
1,7,Solar Systems,24 May 2010,8.1,"Is our solar system unique? Since the first discovery of a planet orbiting another star, some 280 alien solar systems have been identified. It's only by looking at solar systems far beyond our own, that we can understand how remarkable our universe is."
1,8,Moons,24 May 2010,8.3,"Moons come in every possible shape and size. Home to incredible natural phenomena like gigantic geysers and colossal volcanoes, moons also offer perhaps the best chance of finding alien life in the Universe - and they probably exist in the billions."
2,1,Volcanoes,11 Jul. 2012,7.7,"Scientists are discovering volcanoes on worlds we once thought dead. From our nearest planetary neighbour to tiny moons billions of miles away, today we are discovering volcanoes on alien worlds. Are these worlds where, tomorrow, we might find life?"
2,2,Megastorms - The Winds of Creation,18 Jul. 2012,7.8,"On Earth, violent and destructive storms create new opportunities for life. In our quest to discover if we are alone in the universe, we shouldn't just look for worlds, we should look for weather. Find chaotic weather and maybe we will find alien life."
2,3,Planets from Hell,25 Jul. 2012,7.9,"Over the last twenty years we have discovered an extraordinary zoo of planetary nightmares outside our own solar system, all of them truly wild worlds, a collection of monsters. Now we must face the question: Is every planet out there a planet from hell?"
2,4,Megaflares - Cosmic Firestorms,1 Aug. 2012,7.7,"The Universe is a magnetic minefield. The Sun spits out flares capable of battering life on Earth. But out there in space lie the true magnetic monsters. As we uncover dangerous megaflares in the cosmos, the question is, will we end up in the firing line?"
2,5,Extreme Orbits - Clockwork and Creation,8 Aug. 2012,7.9,"The only reason life on Earth is possible is because of our stable orbit around the Sun. Elsewhere in the Universe, orbits are chaotic, violent and destructive. On the largest scale, orbits are a creative force and construct the fabric of the Universe."
2,6,Comets - Frozen Wanderers,15 Aug. 2012,7.9,"We follow the odyssey of a comet as it sails through space, watching every move as it evolves from a chunk of ice and rock into an active nucleus engulfed in a gaseous haze. What we learn is a revelation; comets are even more mysterious than we imagined."
2,7,Asteroids - Worlds That Never Were,22 Aug. 2012,8.0,"From icy worlds with more fresh water than Earth to flying mountains of pure metal, asteroids shaped our past and promise much for the future. Could these enigmatic space rocks hold the key to how life in the Universe arises and is extinguished?"
2,8,Birth of the Earth,29 Aug. 2012,8.3,"The Earth was formed by a series of cosmic cataclysms including the most powerful blast in the Universe. Yet amid the turmoil our world was born. Could the same chain of events have created other earths elsewhere, inhabited by creatures like us?"
3,1,Journey from the Center of the Sun,9 Jul. 2014,8.2,"How does light escape from the sun? We take a journey from the center of the sun, following the path of light. We witness its fiery birth from in the core, its 430,000 mile battle against gravity and magnetism, and its escape from the solar surface."
3,2,The End of the Universe,16 Jul. 2014,8.9,"How and when will the Universe end? Gravity and dark matter are poised to annihilate the Universe in a big crunch. Expansion and dark energy may tear it apart. Or, a phase transition could kill us tomorrow in a cosmic death bubble."
3,3,Jupiter: Destroyer or Savior?,23 Jul. 2014,8.7,"Beneath Jupiter's swirling clouds lie our solar system's deepest secrets: from its violent youth, through the birth of life to the death of the sun. Now, scientists are unlocking these secrets and discovering that every living thing exists tha to Jupiter."
3,4,First Second of the Big Bang,30 Jul. 2014,8.4,"The first second of the Universe, the creation of everything when space, time, matter and energy burst into existence. It is the most important second in history, which seals the Universe's fate and defines everything that comes after - including us."
3,5,Is Saturn Alive?,6 Aug. 2014,8.4,"Saturn's secrets are out. The ferocious weather, the evolving ring system and the discovery of active geology on Saturn's moons has rewritten the textbooks. Scientists are looking for life on Saturn's moons and they may have found it on Titan."
3,6,Weapons of Mass Extinction,13 Aug. 2014,8.5,An overview of historical mass extinctions and what is in store for the future.
3,7,Did a Black Hole Build the Milky Way?,20 Aug. 2014,8.4,"What built the Milky Way? New research might now have the answer, revealing an unlikely hero. At the heart of our galaxy sits a super massive black hole, one of the most destructive objects in the Universe. Could it be our creator?"
3,8,Our Voyage to the Stars,27 Aug. 2014,8.6,"One day, a cosmic disaster will make life on Earth impossible. To survive, we must find a new home amongst the stars. Scientists are already developing new propulsion systems to take us to these distant worlds."
3,9,The Search for a Second Earth,3 Sep. 2014,8.7,"Is there another Earth out there with liquid oceans, rocky continents and life like us? Astronomers seek the answer with spectroscopy, direct imaging and telescopes. They hope to find evidence of atmospheres, magnetospheres and signs of life."
4,1,How the Universe Built Your Car,14 Jul. 2015,8.1,"Beneath the hood of your car lies the history of the Universe. The iron in your chassis, the gold in your stereo and the copper in your electronics all owe their existence to violent cosmic events that took place billions of years ago."
4,2,"Earth, Venus's Evil Twin",15 Jul. 2015,7.8,There is a hellish planet in our solar system; covered in thick dense clouds and roasted by colossal temperatures. Incredibly this is a vision of Earth's future. To understand how our world will be destroyed we need to look at Earth's evil twin Venus.
4,3,Monster Black Hole,22 Jul. 2015,8.6,"Black holes are the least understood places in the universe, where the rules of physics collapse. We go inside the super-massive black hole in the center of the Milky Way."
4,4,Edge of the Solar System,4 Aug. 2015,8.7,"Giant magnetic bubbles millions of miles wide, bizarre invisible matter, and a death star tearing through bands of icy comets, flinging them into violent orbits. All this and more could be inside our cosmic backyard, and effecting our lives on Earth."
4,5,Dawn of Life,11 Aug. 2015,8.6,We're on the verge of unconvering the how life on Earth came to be. Our origin is a hotly contested scientific debate. Did we come from strange volcanic hatcheries deep under the sea? Or did life on Earth come from another planet?
4,6,Secret History of the Moon,18 Aug. 2015,8.5,"Our Moon is stranger than you think, and we reveal its incredible secrets. Can we thank the Moon for life on Earth? What explains the mysterious tunnels beneath its surface? Is a lunar base the key to humanity's future in space?"
4,7,The First Oceans,25 Aug. 2015,8.6,"For years, scientists suspected that the oceans came from molecules delivered to Earth from distant stars by asteroids, but a new discovery suggests that their true origins may be more exotic."
4,8,Forces of Mass Construction,1 Sep. 2015,8.5,"There's a mysterious force you can't see or touch, but it affects everything in the universe. Magnetism has shaped our cosmos, and without it, Creation would simply disintegrate. We follow scientists trying to understand how this strange force works."
5,0,Most Amazing Discoveries,22 Nov. 2016,8.2,"From the furthest reaches of space to our own cosmic backyard, we count down the discoveries that changed everything we know about our universe."
5,1,The Mystery of Planet 9,23 Nov. 2016,8.7,"Scientists have discovered a mysterious ninth planet on the very edge of our solar system. Ten times the size of Earth, this strange world could have moons with extraterrestrial life."
