temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,A Boy Setting Out for a Journey X Leaving Behind the Sound of the Wind,16 Oct. 1999,7.9,
1,2,Encounter x Intimidation x Departure,23 Oct. 1999,8.1,
1,3,Pride x Stormy Ocean x Duel,30 Oct. 1999,8.0,
1,4,Decision x Shortcut x Long Way,6 Nov. 1999,8.4,
1,5,Lie x Truth? x Kiriko,13 Nov. 1999,8.3,
1,6,Steak x Marathon x Exam Begins,20 Nov. 1999,8.0,
1,7,Trauma x Limit x Sweet Trap,27 Nov. 1999,8.0,
1,8,Magician x Smile x Wild Animal Warning,4 Dec. 1999,8.3,
1,9,Menchi x Seriously Pissed x Second Exam?,11 Dec. 1999,7.9,
1,10,Failing Score x Panic x Voice from Heaven,18 Dec. 1999,7.7,
1,11,Explore x Sport Spirit x Stowaway,8 Jan. 2000,7.8,
1,12,Good Boy? x Bad Boy? x Killua,15 Jan. 2000,7.9,
1,13,Agreement x Disagreement x Trap,22 Jan. 2000,7.9,
1,14,Candles x Principle x Internal Feud,29 Jan. 2000,7.9,
1,15,Transient x Life x Majitani,5 Feb. 2000,7.9,
1,16,Rock x Scissor x Heart,12 Feb. 2000,7.8,
1,17,3 People? x 5 People? x Last Choice,19 Feb. 2000,8.1,
1,18,Treasures x Rememberance x Hotel's Small Room,26 Feb. 2000,7.5,
1,19,Separated x Diary x Water Inmerese,4 Mar. 2000,7.6,
1,20,Giant Wave x Cannon x Huge Rush,11 Mar. 2000,8.0,
1,21,Fourth Exam x 44 x Number of Death,18 Mar. 2000,7.9,
1,22,Found Him! x Hide! x Catch Up!,25 Mar. 2000,8.4,
1,23,Hisoka x Crash x Gon,1 Apr. 2000,8.6,
1,24,Damage x Resume x Fake Smile,15 Apr. 2000,7.8,
1,25,Slimy x Stingy x Inside a Cave,22 Apr. 2000,7.9,
1,26,President x Interview x Paper Test,6 May 2000,8.0,
1,27,Hisoka x Kurapica x The Spider's Whisper,13 May 2000,7.8,
1,28,Chat x Excuse x Comparing Guts,20 May 2000,7.8,
1,29,Passed! x Failed? x End of Exams,27 May 2000,8.4,
1,30,Killua x Drop Out x Turn Back with Force,3 Jun. 2000,8.6,
1,31,Dismissed x Party x Enemies Are Bound to Meet,10 Jun. 2000,7.8,
2,1,Tour x Tourist Attraction x Killua's House,17 Jun. 2000,8.1,
2,2,Training x Hound x Concerted Effort,1 Jul. 2000,7.9,
2,3,Skatedboard x Probationer x Real Intention,15 Jul. 2000,8.3,
2,4,Killua x Punishment x Family Conference,22 Jul. 2000,8.2,
2,5,Coin x Reunion x Change of Clothes,5 Aug. 2000,7.9,
2,6,Sky x Fighting x Cultivation of a Samurai,19 Aug. 2000,7.9,
2,7,Burn x Idea x Nen?,9 Sep. 2000,8.2,
2,8,Convene Skill x Register x Fight Begins,16 Sep. 2000,7.9,
2,9,Two Months x Rest x Restrict Nen with Nen,23 Sep. 2000,8.0,
2,10,Bandage x Blow x Last for Winning,30 Sep. 2000,8.2,
2,11,Hisoka's Love x Duel x Gon's Earnestness,21 Oct. 2000,8.2,
2,12,Ability x Annoyance x Instinct of Slaughter,28 Oct. 2000,8.0,
2,13,Slice x Slove x The Exam Ends!?,4 Nov. 2000,8.0,
3,1,Restrict x Vow x Punishing Chains,11 Nov. 2000,7.8,
3,2,I'm Home x Your Are Back x I Am Killua,18 Nov. 2000,7.9,
3,3,Father x Secret x Claim,25 Nov. 2000,7.7,
3,4,Kurapica x Black Eyes x First Job,2 Dec. 2000,7.9,
3,5,Sounds in Heart x Kurapica x Life-Threatening Chain,9 Dec. 2000,7.9,
3,6,Killua x Big Fortune x Hunter Bar,16 Dec. 2000,8.4,
3,7,Spiders x Yokushin x The Members,23 Dec. 2000,7.9,
3,8,Underground Auction x Annihilation x Machine Gun,13 Jan. 2001,7.9,
3,9,Ryodan x Injiyun x Community,20 Jan. 2001,8.6,
3,10,Hisoka x Alliance x Exterminates Spiders,27 Jan. 2001,8.2,
3,11,Ubo x Kurapica x Senritsu's Conscience,2 Feb. 2001,8.6,
3,12,Scarlet Eyes x Duel x Cost of Life,10 Feb. 2001,8.5,
3,13,Gon x Treasure x Dangerous Man,17 Feb. 2001,7.7,
3,14,Gon x Killua x The Fatal Shadow,24 Feb. 2001,8.2,
3,15,Spider's Web x Captured x Assassin Technique,3 Mar. 2001,8.3,
3,16,Kurapica x Genei Roydan x Zoldicks,10 Mar. 2001,8.2,
3,17,Conglomeration of Spiders x Zoldick Family x Final War,17 Mar. 2001,8.5,
3,18,Kurapica x The End x Spiders' Death,31 Mar. 2001,8.9,
