temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,A Touch of Murder,20 Sep. 1976,8.4,"In 54 AD, elderly and lame from birth Emperor Claudius is writing his biography and the history of his family. He recalls an encounter with the Sibyl, who recognizes him from his stutter and tells him that his account will be famous in 1900 years time. Back in Rome in 24 BC, Emperor Augustus is celebrating the anniversary of the battle of Actium, when he and his friend Agrippa defeated Antony and Cleopatra. However, now Augustus is tipping his young nephew Marcellus as his heir. This displeases the emperor's wife, the formidable Livia, who wants the succession to pass..."
1,2,Family Affairs,20 Sep. 1976,8.3,"It is now 9 BC. Livia has poisoned Agrippa and Tiberius is being forced to divorce his wife Vipsania to marry Julia. Neither Tiberius nor Julia are happy with this arrangement and Julia also confesses to Antonia, daughter of Mark Antony and wife of Tiberius' popular brother Drusus Germanicus, that she believes Livia killed Marcellus. Drusus is all for a return to the Republic and Tiberius envies him because he is not stuck in Rome but spear-heading military campaigns in Northern Europe. However, Drusus dies after a fall from his horse. Livia is anxious that Augustus ..."
1,3,Waiting in the Wings,27 Sep. 1976,8.5,"Whilst Tiberius in exile derives some comfort from hearing of the mysterious death of Gaius, Antonia confesses to Julia her disappointment in Claudius. She chastises his siblings Germannicus and Livilla for shunning him but still feels that he is stupid. However everybody is amazed when an eagle drops a wolf cub into Claudius's arms and an augur reader interprets this as meaning that in the future Claudius will save Rome in its hour of need. Livia continues her campaign against Julia by proving that she is a serial adulteress, leading to her banishment, a fact which ..."
1,4,What Shall We Do About Claudius?,4 Oct. 1976,8.5,"Six years have passed. Germanicus has joined Tiberius in the Germanian campaign, to avenge the Roman legion slaughtered at the Battle of the Teutoburg Forest. Claudius remains at home, researching his family history and despised for his weakness - he faints at the gladiatorial games. In the library Pollio the historian advises him to accentuate his deficiencies. That way he will not be seen as a threat in the murderous world about him and has a greater chance of survival. Augustus names Postumus as his successor but Livia aims to thwart him. She gets Livilla to invite..."
1,5,Poison Is Queen,11 Oct. 1976,8.9,"Germanicus returns from Germania in triumph and he and Claudius catch up on family news - Claudius now has a son but is not enjoying married life. He tells Germanicus what Postumus had passed onto him about Livia's murderous exploits and Germanicus in turn tells the emperor. Augustus is pleased with Claudius and apologizes to him for doubting his capabilities. As Augustus visits Postumus to restore him to his will, Livia works out what has happened and initially suspects Livilla, believing Claudius to be too stupid. Augustus is determined to survive any efforts to ..."
1,6,Some Justice,18 Oct. 1976,8.4,"Tiberius, aided by Sejanus, is proving to be a harsh ruler with only Germanicus able to keep him under control. However, whilst he is in Syria Germannicus is mysteriously poisoned. His widow Agrippina is able to rally public support due to his popularity and accuses Piso, the governor of Syria, of being the slayer. Despite claiming an alibi, Piso and his wife Plancina are brought before the senate to stand trial, with Martina, a star witness, being kept under wraps. In fact, Martina was the poisoner, encouraged by Germanicus's son, young Caligula, whose insolence and ..."
1,7,Queen of Heaven,25 Oct. 1976,8.6,"Tiberius embarks on a series of acts of debauchery, having sex with anybody he pleases, with Caligula a willing participant. Livia is shocked and Tiberius arranges to give her a horoscope for her birthday to suggest to her that she has not long to live. Augustus's son Castor is perturbed at the free hand given Sejanus in bringing to trial anybody Tiberius feels is opposing him but Castor's wife, Livilla, disagrees and is having an affair with Sejanus, ultimately poisoning Castor to get him out of the way. After Sejanus has forced him to marry Aelia, Sejanus's adopted ..."
1,8,Reign of Terror,1 Nov. 1976,8.8,"Sejanus divorces his wife in order to marry Livilla but Tiberius refuses permission and suggests that he marries Livilla's daughter Helen instead, which so enrages Livilla that she poisons Helen. With Tiberius spending most of his time on Capri Sejanus seems to hold absolute power in Rome and, to consolidate his position, has Agrippina and her son Nero banished and her other son Drusus arrested and sent to prison where he dies. A shocked Antonia finally sees evidence of the plots her daughter Livilla and Sejanus have hatched together and has Claudius smuggle the ..."
1,9,"Zeus, by Jove!",8 Nov. 1976,8.7,"Tiberius summons Caligula and his cousin Gemellus to Capri, declaring them his joint successors. Soon afterwards Tiberius is smothered by Macro, on the orders of Caligula, and his death is hailed joyfully by the citizens of Rome, unaware that worse is to come. Caligula, clearly unstable, sinks into a coma and on recovering, in addition to having Gemellus executed for trying to poison him, declares that he is the god Zeus and marries his sister Drusilla, declaring her a deity also. When Drusilla falls pregnant by him he cuts open her belly and eats the unborn child to ..."
1,10,Hail Who?,15 Nov. 1976,8.8,"Caligula has not only made his horse a senator but has turned the palace into a brothel, selling off senators and their wives for sex. Although scared of him - and getting thrown into a river for his pains - Claudius is seemingly the only person who can put any sort of brake on the mad emperor, intervening to save mens' lives on at least two occasions, the second when Caligula fails in his attempt to defeat Neptune and push back the waves, blaming his generals for his failure. Although Claudius has been living in peace with ex-prostitute Calpurnia Caligula thinks it ..."
