temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Viy basima gelenler,29 Oct. 1998,5.7,
1,2,Kismet,5 Nov. 1998,8.2,
1,3,Köpoglu mancasi,12 Nov. 1998,8.3,
1,4,Tuhaf bir adam,19 Nov. 1998,8.1,
1,5,Muhabbet kuslari,26 Nov. 1998,8.5,
1,6,Peki ya ask?,3 Dec. 1998,8.3,
1,7,Aslan gibi bir evlat,13 May 1999,8.4,
1,8,Kizin mi var?,20 May 1999,8.1,
2,1,Karakolda ayna var,17 Feb. 2000,8.4,
2,2,Ya herro ya merro!,24 Feb. 2000,8.3,
2,3,Mektup,2 Mar. 2000,8.1,
2,4,Ceza,9 Mar. 2000,8.4,
2,5,Demir leblebi,16 Mar. 2000,8.3,
2,6,Kelebek,23 Mar. 2000,8.3,
2,7,Hodri meydan!,30 Mar. 2000,8.4,
2,8,Felekten bir gece,6 Apr. 2000,8.5,
2,9,Biz ayrilamayiz,13 Apr. 2000,8.3,
2,10,Pazarlik,20 Apr. 2000,8.5,
2,11,Teklif,27 Apr. 2000,8.4,
2,12,Karar,4 May 2000,8.5,
2,13,Bedel,11 May 2000,8.5,
2,14,Benimle evlenir misin?,18 May 2000,8.5,
2,15,Kime niyet,25 May 2000,8.5,
3,1,Ten kokusu,21 Sep. 2000,8.5,
3,2,Oyun,28 Sep. 2000,8.6,
3,3,Evlendik ha,5 Oct. 2000,8.6,
3,4,Evine hosgeldin,12 Oct. 2000,8.5,
3,5,Talihin dönüsü,19 Oct. 2000,8.4,
3,6,Kebapçinin hazin sonu,26 Oct. 2000,8.5,
3,7,Kizimiz Melek ve oglumuz Medet,9 Nov. 2000,8.4,
3,8,Sir,16 Nov. 2000,8.6,
3,9,Yaprak dökümü,23 Nov. 2000,8.6,
3,10,Aile olmak,7 Dec. 2000,8.7,
3,11,Daha yeni basladik,14 Dec. 2000,8.5,
3,12,Aceleci misafir,21 Dec. 2000,8.5,
3,13,Canim minibüsüm,4 Jan. 2001,8.9,
3,14,Elveda Samatya - Finale-,11 Jan. 2001,9.1,
