temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pay It Forward,15 Dec. 2011,8.4,"Four friends compete to embarrass each other in a hidden camera showdown. Sal, Murr, Q, and Joe serve up some mischief at White Castle, Times Square, and a warehouse store."
1,2,Butterfly Crime Scene,15 Dec. 2011,8.5,"Watch as the guys get liberal with lotion down the shore, shop from other people's carts in a supermarket, and try to scam their way to a free dish of yogurt."
1,3,Boardwalk of Shame,22 Dec. 2011,8.3,"The guys approach strangers with humiliating one liners on the street, play a word game in a grocery store, and compel shoppers to hop in a trunk at a car dealership."
1,4,Unmotivational Speaker,29 Dec. 2011,8.6,"The guys compete to embarrass each other, tackling speed dating with the world's worst pickup lines, reading phony fortunes on the boardwalk, and getting too personal with shoppers in the hygiene aisle of a pharmacy."
1,5,Drawing a Blank,5 Jan. 2012,8.4,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys illustrate their lack of skill as caricature artists in the mall, demonstrate their odd living habits while interviewing for roommates, and try to cut the line for Broadway tickets in Times Square."
1,6,Panty Raid,12 Jan. 2012,8.3,"The guys massage beachgoers on the boardwalk, broadcast the news from Times Square, and get their kicks teaching a karate class."
1,7,Out of TP,19 Jan. 2012,8.6,"Four friends compete to embarrass each other in the wackiest places they can think of. The guys swipe food off other diners' plates at a buffet, tutor students in foreign languages they don't speak, and try to start a dance party in a public park."
1,8,Who Arted,26 Jan. 2012,8.5,"The Jokers are dishing out the ultimate embarrassments. The guys conduct a focus group with unique consumer questioning, are totally unfit as trainers in a gym class, and pretend to work at a famous New York bakery."
1,9,A Loser Presents,2 Feb. 2012,8.6,"Q's dad makes an appearance in White Castle and serves up his own round of mischief. Also, the guys pose as bouncers at a nightclub and offer phony horoscope readings in a mall."
1,10,Joker's Choice,16 Feb. 2012,7.4,"In this special episode, Joe, Murr, Q, and Sal bring you their favorite moments from the first season. The guys relive their best hidden camera hijinks, offer behind the scenes insight, and reveal the hidden cameras to one unsuspecting victim."
1,11,What'd I Eat,29 Mar. 2012,8.6,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys try to sell diamonds to unsuspecting couples ready to tie the knot, and pose as members of a very unwelcoming committee down at the boardwalk."
1,12,Starfart,29 Mar. 2012,8.6,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys share humiliating text messages in a quiet waiting room, shampoo women's hair at an upscale hair salon, and teach a driver's ed course that's a guaranteed fail."
1,13,Belly Dancer,5 Apr. 2012,8.5,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys put their green thumbs to the test as workers in a garden center, demonstrate how NOT to save lives as CPR instructors, and they're full of baloney working a deli counter."
1,14,Charity Case,12 Apr. 2012,8.6,"The guys go barking up the wrong tree at a pet store, take a swing as golf instructors, and give their regards to Broadway as producers in need of funding."
1,15,Theater del Absurdo,19 Apr. 2012,8.5,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys raise money for absurd charities at a donut shop, join diners mid-meal in a Chinese restaurant, and offer unsolicited advice to shoppers in a mall."
1,16,Pick a Loser,26 Apr. 2012,8.4,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys try to smooch strangers on the streets of Manhattan, play a word game with unsuspecting shoppers, and try not to be camera shy when they're forced to pose as photographers."
1,17,Supercuts,3 May 2012,8.5,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. In the season finale, the guys toy with customers at a candy store using bizarre party props, they all try their hands at nosing, and they break the rules of appropriate elevator etiquette."
2,1,Elephant in the Room,6 Sep. 2012,8.9,"Four friends compete to embarrass each other in the ultimate hidden camera showdown. The guys mouth off to patients in a dentist's office, toss popcorn at movie goers in a theater, and take photos for their outrageous blogs in a public park."
2,2,The Stoop Sessions: Part 1,13 Sep. 2012,7.3,"Joe, Murr, Q, and Sal bring you their favorite moments from season one. The guys discuss their most shocking incidents, the best reactions, and reveal never before seen moments from the cutting room floor."
