temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Gang Gets Racist,2 Jun. 2008,8.3,The guys hire Dee's friend as a promoter for the bar and get more than they bargained for. Charlie seeks black friends to prove he isn't a racist.
1,2,Charlie Wants an Abortion,11 Aug. 2005,8.4,In this take on the abortion debate Dennis and Mac go to opposite sides of an abortion rally to pick up women while Charlie deals with an unruly kid he believes to be his son.
1,3,Underage Drinking: A National Concern,16 Aug. 2005,8.4,"The gang turns Paddy's into a safe haven for teens, but things get weird when they all get asked to the local high school prom."
1,4,Charlie Has Cancer,23 Aug. 2005,8.2,"When Charlie confidentially confides that he has cancer, it leads to a series of instances of the guys manipulating women and one gorgeous transsexual (not a transvestite)."
1,5,Gun Fever,30 Aug. 2005,8.1,"When Paddy's gets robbed, the gang decides to purchase a gun with many issues. At the same time Dee is dating a mysterious man which the gang suspects to be the robber."
1,6,The Gang Finds a Dead Guy,6 Sep. 2005,8.2,"A guy dies in Paddy's pub. Dennis and Mac use the guy's death as an excuse to get close to the guy's attractive granddaughter. Meanwhile, Charlie discovers that Dennis and Dee's grandfather was a Nazi."
1,7,Charlie Got Molested,13 Sep. 2005,8.6,The gang learns that Charlie's former elementary school teacher is on trial for child molestation and they attempt to stage an intervention to get Charlie to admit that he was.
2,1,Charlie Gets Crippled,29 Jun. 2006,8.6,The gang discovers the perks of being handicapped when Charlie becomes wheel-chair bound after an accident. Dennis and Dee's estranged father returns.
2,2,The Gang Goes Jihad,29 Jun. 2006,8.7,"When half of Paddy's gets bought out by a business developer, the gang seeks revenge. Unfortunately, an ill-timed dog-napping plot, a poorly made video tape, and a flaming bag of poop threaten the gang's chances of getting their property back."
2,3,Dennis and Dee Go on Welfare,6 Jul. 2006,9.1,Dennis and Dee quit their jobs and concoct a plan to get welfare benefits so they can pursue their unrealistic goals and dreams.
2,4,Mac Bangs Dennis' Mom,6 Jul. 2006,9.2,"Tensions run high in the gang when Mac courts Dennis and Dee's mom and the two organize a stakeout to blackmail Frank and get out of ""Charlie work""."
2,5,Hundred Dollar Baby,13 Jul. 2006,8.8,"Inspired by the movie ""Million Dollar Baby"", Frank teaches Dee to inflict punishment while Dennis and Mac teach Charlie to take punishment. But both fighting careers are derailed by the use of ""performance enhancing supplements""."
2,6,The Gang Gives Back,20 Jul. 2006,8.5,"After being arrested for arson, Charlie is sentenced to community service and required to attend AA. Here he makes a discovery that could assist him in his ongoing effort to connect with the Waitress."
2,7,The Gang Exploits a Miracle,27 Jul. 2006,8.1,Frank tries to cavort the holy crowd when Mac discovers a water stain on Paddy's wall that closely resembles the Virgin Mary.
2,8,The Gang Runs for Office,3 Aug. 2006,8.1,"The gang discovers that if you run for office, people will pay you to quit. So of course, the gang exploits this and Dennis runs for office. At the same time Frank and Charlie try to stop this, which ends up in a feud."
2,9,Charlie Goes America All Over Everybody's Ass,10 Aug. 2006,8.4,"To prove their patriotism, Charlie and Dee try to upstage the local anti-smoking group, while Dennis and Mac turn Paddy's into a bastion of true freedom. But when Frank takes things too far, Paddy's is populated with creeps and lowlifes, and the gang decides they want to live under a totalitarian state."
2,10,Dennis and Dee Get a New Dad,17 Aug. 2006,8.6,"When Dennis and Dee discover their mother has lied to them about Frank being their dad, they get to know their real father. Meanwhile, Mac and Charlie attempt to impress Mac's imprisoned father by becoming hardened criminals."
3,1,The Gang Finds a Dumpster Baby,13 Sep. 2007,8.7,"Mac and Dee decide to raise a baby they find in the dumpster. Dennis talks some trash while going green and befriending radical environmentalist groups, while Charlie and Frank go dumpster-diving."
