temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Initiation,31 Jul. 2004,7.6,"After unsuccessfully attempting to recruit the Green Arrow to join the expanded League, he plays an important role with a team sent to manage a crisis in Asia."
1,2,For the Man Who Has Everything,7 Aug. 2004,8.6,Batman and Wonder Woman find Superman immobilized in the Fortress of Solitude by a plant sent by the would-be conqueror Mongul.
1,3,Kids' Stuff,14 Aug. 2004,8.0,"Morgaine Le Fey transforms Superman, Batman, Wonder Woman, and Green Lantern into children after Mordred uses his magic to remove all adults from Earth and keep children on the Earth."
1,4,Hawk and Dove,21 Aug. 2004,6.7,"Ares creates a war machine called the Annihilator to escalate a civil war in Kasnia. Hawk, Dove, and Wonder Woman try to stop his plans."
1,5,This Little Piggy,28 Aug. 2004,7.8,"When Circe changes Wonder Woman into a pig, Batman and Zatanna must find her and change her back."
1,6,Fearful Symmetry,4 Sep. 2004,7.9,"Supergirl, Green Arrow, and The Question investigate Supergirl's disturbing dreams. They discover that Cadmus created a clone of Supergirl named Galatea while she was recovering from her fight against Superman on Earth."
1,7,The Greatest Story Never Told,11 Sep. 2004,8.1,"The Justice League battle Mordru in the background, while the narrative follows Booster Gold as he attempts to close a walking black hole while he's supposed to be on ""crowd control""."
1,8,The Return,18 Sep. 2004,8.6,"After blasting through the entire Green Lantern Corps, the android Amazo returns to Earth. Only the Justice League stands between him and his goal -- the now-reformed Lex Luthor."
1,9,Ultimatum,4 Dec. 2004,7.9,A team of too-good-to-be-true superheroes find out the truth about their origins and go on the rampage.
1,10,Dark Heart,11 Dec. 2004,7.7,"Most of the League battles with powerful alien nanotechnology but, realize that the waves of self-replicating robots cannot be simply destroyed. The diminutive Atom shrinks himself to stop the robots from the inside."
1,11,Wake the Dead,18 Dec. 2004,8.3,"A trio of high school kids accidentally resurrect Solomon Grundy, reviving him more powerful than ever but with no memories of his past. Dr. Fate, Amazo, Aquaman, and Shayera assist League regulars stopping his rampage."
1,12,"The Once and Future Thing, Part One: Weird Western Tales",1 Jan. 2005,8.5,"While pursuing a time traveling thief, Batman, Wonder Woman and Green Lantern team up with a collection of DC Universe western heroes to battle the villain controlling him."
1,13,"The Once and Future Thing, Part Two: Time, Warped",29 Jan. 2005,8.7,The time traveling League team goes to the future to team up with that time's League to battle Chronos who rules.
2,1,The Cat and the Canary,5 Feb. 2005,8.0,"Black Canary convinces Green Arrow to help save her mentor, Wildcat, from his involvement in an underground, super-powered fight club known as MetaBrawl."
2,2,The Ties That Bind,12 Feb. 2005,7.6,"Mister Miracle and Big Barda solicit Justice League assistance to free Oberon from Apokolips. J'onn refuses, but Flash decides to help out on his own."
2,3,The Doomsday Sanction,19 Feb. 2005,8.6,Superman battles Doomsday in the heart of a volcano. Doomsday is revealed to be a modified clone of Superman. Batman probes the Cadmus conspiracy to destroy the Justice League.
2,4,Task Force X,21 May 2005,8.4,"Cadmus has recruited a team of supervillains named Task Force X (based on the comics' Suicide Squad) made up of Deadshot, Plastique, Captain Boomerang, and the Clock King. Their mission: steal the Annihilator armor from the Watchtower."
2,5,The Balance,28 May 2005,7.7,"To help her magic superhero friends, the God Hermes sends Wonder Woman on a mission to help free Hades from the clutches of Felix Faust."
2,6,Double Date,4 Jun. 2005,8.5,"Seeking to avenge the death of her parents, the Huntress enlists the help of the Question in tracking down Steven Mandragora, a mobster in protective custody -- and being guarded by the Green Arrow and Black Canary."
2,7,Clash,11 Jun. 2005,8.4,Captain Marvel joins the Justice League and his innocent presence inadvertently causes friction with Superman.
2,8,Hunter's Moon,18 Jun. 2005,7.5,"Shayera, Vixen and Vigilante are lured into an ambush by Thanagarians seeking revenge."
2,9,Question Authority,25 Jun. 2005,9.0,"The Question, fearing disaster, decides to kill Lex Luthor to avert it."
2,10,Flashpoint,2 Jul. 2005,8.9,Lex Luthor executes his masterstroke to eliminate Project Cadmus and frame the Justice League.
2,11,Panic in the Sky,9 Jul. 2005,9.0,"While the senior Leaguers struggle to respond to the mysterious main gun firing, Amanda Waller orders Galatea to lead a full attack on the Justice League."
2,12,Divided We Fall,16 Jul. 2005,9.3,The Justice League charter members must battle the combined Lex Luthor/Brainiac menace alone.
2,13,Epilogue,23 Jul. 2005,9.3,"In the future, Terry McGinnis learns the truth about his birth."
3,1,I Am Legion,17 Sep. 2005,7.9,The newly-escaped Lex Luthor is given a membership test for Gorilla Grodd's expanded Secret Society.
3,2,Shadow of the Hawk,17 Sep. 2005,7.7,Shayera is approached by an archaeologist who is convinced that he is the reincarnated husband of a previous incarnation of her.
3,3,Chaos at the Earth's Core,24 Sep. 2005,7.2,"Green Lantern, Stargirl, S.T.R.I.P.E. and Supergirl are drawn to the subterranean world of Skartaris to assist the Warlord, Travis Morgan."
3,4,To Another Shore,24 Sep. 2005,7.4,Wonder Woman finds herself fighting a team from the Secret Society determined to steal the frozen body of the Viking Prince.
3,5,Flash and Substance,11 Feb. 2006,8.6,"A day in the life of Wally West aka The Flash. The day includes West at his day job, as a Criminal Lab tech, the dedication of the Flash Museum, and the attacks of four villians."
3,6,Dead Reckoning,18 Feb. 2006,8.0,"Deadman calls on Batman, Superman, and Wonder Woman to help him recover an orb containing the souls of a monastic order that was stolen by the Secret Society."
3,7,Patriot Act,25 Feb. 2006,7.9,The paranoid General Eiling turns himself into a superstrong brute to kill Superman and only seven non-powered soldiers of the JL can deny him victory.
3,8,The Great Brain Robbery,4 Mar. 2006,8.7,Lex Luthor and the Flash accidentally switch bodies.
3,9,Grudge Match,11 Mar. 2006,7.9,Roulette enlists the ladies of the JLU in her new & improved all-girl gladiatorial arena.
3,10,Far from Home,15 Apr. 2006,8.0,"On her 21st birthday, Supergirl is transported to the 31st century along with Green Lantern and Green Arrow, to help the ""Legion of Super-Heroes"" combat ""The Fatal Five"". However, according to future sources, it is a mission from which she does not return."
3,11,Ancient History,29 Apr. 2006,7.9,Hawkman returns with Shadow Thief and discovers the true nature of his relationship with Hawkgirl.
