temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Asteroid Blues,3 Apr. 1998,8.2,Spike and Jet pursue an outlaw who is smuggling a reflex-enhancing drug.
1,2,Stray Dog Strut,3 Apr. 1998,7.5,"Spike and Jet go after Abdul Hakim, who has stolen a ""data dog"" from a research facility, for an 8 Million Woolong reward. It turns out they are not the only ones after him."
1,3,Honky Tonk Women,10 Apr. 1998,7.8,"Spike and Jet first meet Faye Valentine at a casino, who is involved in a scam with a mob boss in an attempt to relieve her massive debt. They find out Faye is more devious than it first appears."
1,4,Gateway Shuffle,13 Nov. 1998,7.6,"Spike and Jet take on Maria Murdock, the leader an extreme animal rights activist group called the Space Warriors. Faye stumbles her way back onto the Bebop and may help them out."
1,5,Ballad of Fallen Angels,20 Nov. 1998,9.2,"While searching for Mao Yenrai, an executive of the Red Dragon Syndicate, Spike ends up confronting Vicious, his old enemy."
1,6,Sympathy for the Devil,27 Nov. 1998,8.1,"Spike and Jet chase a dangerous enemy who, despite having the appearance of a little boy, is altered genetically due to a meteor shower on earth."
1,7,Heavy Metal Queen,17 Apr. 1998,7.6,"Spike, Faye and Jet are all after Decker, a bounty head in possession of high explosives. They meet V.T, a female space trucker, and team up with her to catch Decker on a dangerous chase through an abandoned mine."
1,8,Waltz for Venus,24 Apr. 1998,8.7,"After collecting a bounty, Spike gains a fan in Roco Bonnaro. Roco, a small-time gang member, stole a rare and valuable plant from his own gang. Spike finds it's more valuable than he is, but Roco has a different plan for the plant."
1,9,Jamming with Edward,1 May 1998,7.7,"Something is carving giant pictures on Earth's surface and the Earth police put out a bounty, drawing in Spike and Jet. A talented computer hacker, Edward, is rumored to be the culprit, but the truth is much different."
1,10,Ganymede Elegy,8 May 1998,8.1,"Jet confronts his past on Ganymede where a woman he loved, Alisa, had left him without saying goodbye. Spike learns of a new bounty that has a connection to Alisa."
1,11,Toys in the Attic,15 May 1998,8.3,"A mysterious something is sneaking around the Bebop and biting the crew, leaving nasty purple welts. Eventually, Spike is the only one left, and must prepare himself to save the ship."
1,12,Jupiter Jazz: Part 1,22 May 1998,8.6,"Faye disappears with all the money on Bebop. Ed tries to find her and discovers a ""Code Name Julia"" on Jupiter's moon, Callisto, which makes Spike believe that it's his Julia."
1,13,Jupiter Jazz: Part 2,22 May 1998,8.8,"Faye is attacked and later helped by Gren, who holds a grudge against Vicious. After explaining his story to Faye, he chases after Vicious, and when he and Spike end up reaching him, a three-way battle takes place."
1,14,Bohemian Rhapsody,5 Jun. 1998,7.8,"The Bebop crew investigates a bizarre series of Hyperspace Gate Tollbooth robberies, each executed by a different party, and the mastermind that orchestrated the entire thing: Hex."
1,15,My Funny Valentine,12 Jun. 1998,7.8,"Faye recounts her awakening from cryogenic freezing and a man, Whitney Hagas Matsumoto, who helped her before dying. Jet, however, arrives on the ship having caught him for a bounty. Faye now needs to know what was real."
1,16,Black Dog Serenade,12 Feb. 1999,7.9,"Jet's old cop partner calls in a favour to stop a group of convicts on a highjacked transport ship, one of which Jet has a personal vendetta with."
1,17,Mushroom Samba,19 Feb. 1999,8.4,The Bebop crashes onto the moon after being side-swiped in space. Ed and Ein venture out for food but are entangled in the operations of an outlaw smuggling psychedelic mushrooms.
1,18,Speak Like a Child,19 Jun. 1998,8.5,"A mysterious package comes for Faye with a Beta cassette. While Faye runs, thinking it to be from a debt collector, Jet and Spike undertake a arduous search for a player to view it. They find it is a clue to Faye's past."
1,19,Wild Horses,5 Mar. 1999,7.3,"Spike, flying his mono-racer in for maintenance, runs out of gas not far from the garage. Meanwhile, Jet and Faye take on a group of pirates who use computer viruses to terrorize interplanetary shipping."
1,20,Pierrot le Fou,12 Mar. 1999,8.9,Spike witnesses a homicide by a deranged serial killer who then goes after him with a full barrage of weapons.
1,21,Boogie Woogie Feng Shui,19 Mar. 1999,7.0,"Jet gets a mysterious note from an old friend, Pao, and finds himself teaming up with his daughter, who uses Feng Shui to decipher it. The two are also chased by syndicate mobsters also searching for him."
1,22,Cowboy Funk,26 Mar. 1999,8.1,"A serial bomber is trying to blow up skyscrapers, but Spike is more concerned about an American Western-styled cowboy on horseback that hinders his attempts to catch the bounty."
1,23,Brain Scratch,2 Apr. 1999,8.3,"Dr. Londes, the leader of the religious cult Scratch, has a large bounty on his head. Spike takes to the streets in an effort to get to him while Jet and Ed buy a video game that the cult members use to ascend into the digital being."
1,24,Hard Luck Woman,9 Apr. 1999,8.8,"Ed places a fake bounty for her own father, in hopes Jet and Spike will lead her to him. They do, and despite a joyous reunion, her father immediately abandons her to pursue his work. Ed and Ein decide to leave the group."
1,25,The Real Folk Blues: Part 1,16 Apr. 1999,9.0,"Faye briefly teams up with Julia when she assists her escape from a Red Dragon hit squad, and relays a message to Spike about Julia's whereabouts. Spike and Julia finally reunite."
1,26,The Real Folk Blues: Part 2,23 Apr. 1999,9.4,"Vicious claims leadership of the Red Dragon Syndicate. Julia and Spike plan to run away as before, but Spike still feels the desire for revenge, leading to a final confrontation with Vicious and the Syndicate."
