temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Majin ga umareta hi,5 Oct. 2006,7.6,"Lelouch Lamperouge, a Britannian student, accidentally gets involved with a group of terrorists. He meets a mysterious woman who gives him the powers of Geass, the ""Power of Kings""."
1,2,Kakusei no shiroki kishi,12 Oct. 2006,8.0,"While Lelouch comes to realize his new power, using it and his superior strategic abilities to help the terrorists in their attack. The White Knight arrives, and ruins his plans."
1,3,Itsuwari no kurasumeito,19 Oct. 2006,7.8,"Kallen Stadfeld is a new student at school, but Lelouch knows that she is actually one of the terrorists involved in the rebellion."
1,4,Sono na wa zero,26 Oct. 2006,8.1,"Lelouch takes on a secret identity called Zero, to save his friend Suzaku."
1,5,Kôjo to majo,2 Nov. 2006,7.7,"Lelouch is reunited with C2, the strange girl who granted him the power of Geass. Since Zero confessed to Clovis' murder, Suzaku is acquitted of all charges. He meets Princess Euphemia, who has him guide her around Area 11."
1,6,Ubawareta kamen,9 Nov. 2006,7.4,"Suzaku is enrolled in Ashford Academy, but is shunned because of his association in the murder of the previous Viceroy. Although he and Lelouch are old friends, they decide to keep it a secret for Lelouch's sake."
1,7,Kôneria wo ute,16 Nov. 2006,8.0,"Zero makes his appearance at a vital time, and his objective is to capture the Viceroy Cornelia. However, Cornelia is just as good as Lelouch."
1,8,Kuro no kishidan,23 Nov. 2006,8.2,"The student council of Ashford academy are taken hostage as is the Viceroy's younger sister, Lady Euphemia."
1,9,Rifurein,7 Dec. 2006,7.7,"Refrain, a drug that makes a person remember the past, is being targeted at Elevens. Kallen's motives and beliefs are examined."
1,10,Guren mau,14 Dec. 2006,8.0,"Zero's Black Knights are becoming a rallying point for Japanese, and they receive ""gifts"" from the main underground Japanese forces. Zero once again inserts his forces into battle, with the intention of capturing Cornelia."
1,11,Narita kôbôsen,21 Dec. 2006,8.4,"Zero manages to destroy most of Cornelia's units and the superior technology of Kallen's Knighmare is enough to take on the White Knight, who saves Cornelia. Lelouch is pursued by the White Knight."
1,12,Kyôto kara no shisha,4 Jan. 2007,8.1,"Shirly plucks up the courage to ask Lelouch out. Lelouch assumes the identity of Zero and goes to meet the main figures in the Japanese rebellion, wanting to gain their support."
1,13,Shârî to jûkô,11 Jan. 2007,8.2,"Lelouch has doubts about his actions, as they caused the death of Shirly's father. Viletta reveals to Shirly that she believes that Lelouch is involved with the Black Knights, those responsible for her father's death."
1,14,Giasu tai giasu,18 Jan. 2007,8.2,Lelouch is scattered as he can not remember what happened when he was unconscious. Shirly found out that he is Zero. Mao reveals his presence. He also has the power of Geass.
1,15,Kassai no mao,25 Jan. 2007,8.2,Mao's ability to read people's minds enables him to manipulate people. Lelouch must defeat him or face the destruction of what he fights for.
1,16,Toraware no nanari,1 Feb. 2007,7.9,"Lelouch's sister Nunnally is kidnapped by Mao. Suzaku and Lelouch work together to save her, while Lelouch tries to keep Geass, and Zero, a secret."
1,17,Kishi,8 Feb. 2007,8.1,"An inauguration ceremony is held for Clovis' memorial art museum, with Euphemia judging the art contest. Lelouch helps Kyoshiro Tohdoh's comrades rescue their leader."
1,18,Kururugi suzaku ni meijiru,22 Feb. 2007,8.0,"Lelouch now knows the identity of the White Knight as his friend, Suzaku, who is officially named Princess Euphemia's Knight. Lelouch draws Suzaku into a trap."
1,19,Kami no shima,1 Mar. 2007,7.8,"Lelouch, Euphemia, Suzaku and Kallen find themselves on a mysterious Island. Euphemia knows that Zero's true identity, Lelouch, is her brother. Suzaku finds out that Kallen is the pilot of Guren."
1,20,Kyûshû seneki,8 Mar. 2007,7.8,"Suzaku is sent into a battle after handing in his resignation as Euphemia's Knight. Lelouch, as Zero, comes to assist him in a tight spot."
1,21,Gakuensai sengen!,15 Mar. 2007,7.5,Euphemia has an idea that may finally bring peace to Japan. She goes undercover to Ashford Academy to talk to her brother.
1,22,Chizome no euphie,22 Mar. 2007,9.3,"Lelouch must decide whether to accept Euphy's terms of peace. His motives for destroying Britannia is to create a peaceful world for his sister Nunnally, but he also recognizes his want for revenge."
1,23,Semete kanashi mi totomo ni,29 Mar. 2007,8.9,"Lelouch's accidental Geass on Euphemia destroys any hope of peace, and Suzaku, enraged at what Zero has done, sets out with revenge in mind. V2 reveals Zero's secret of Geass to Suzaku."
1,24,Tsuiraku no sutêji,28 Jul. 2007,8.3,The Black Knights fight against Britannia in a battle for the Tokyo Settlement.
1,25,Zero,28 Jul. 2007,9.0,"After using his Geass on Cornelia, Lelouch discovers that she doesn't know who killed his mother. C2 senses that Nunnally has been kidnapped, and Lelouch abandons the Black Knights to rescue her."
2,1,Majin ga mezameru hi,5 Apr. 2008,7.7,"One year after the Black Rebellion, a brainwashed Lelouch and his ""younger brother"" Rolo are gambling at Babel Tower when C2 and the Black Knights attack the complex to retrieve Lelouch."
2,2,Nihon dokuritsu keikaku,13 Apr. 2008,8.1,"Lelouch remembers his capture by Suzaku and how his father used Geass to alter his memories. Lelouch and Black Knights escape to the Chinese Federation consulate, where Zero announces his return and the recreation of the USJ."
2,3,Toraware no gakuen,20 Apr. 2008,8.0,"Lelouch returns to Ashford Academy during Zero's broadcast, causing Viletta to doubt that the real Zero has returned. Guilford demands that Zero reveal himself or else he will execute the captive Black Knights."
2,4,Gyakushû no shokeidai,27 Apr. 2008,8.2,"Lelouch deduces the nature of Rolo's Geass and convinces Rolo to spare him. Li Xingke takes control of the Chinese Federation consulate. Guilford prepares to execute the Black Knights, and Lelouch enacts a plan to save them."
2,5,Naito obu raunzu,4 May 2008,7.9,"Suzaku returns to Ashford Academy to determine if Lelouch has regained his memories. The academy throws him a welcome festival. C2 attends, complicating things for Lelouch as he tries to hide her presence."
2,6,Taiheiyô kishû sakusen,11 May 2008,8.5,Rolo uses his Geass on Suzaku so Lelouch can converse with Nunnally without revealing that his memories have returned. Lelouch and the Black Knights attempt to capture Nunnally as she is transported to Japan.
2,7,Suterareta kamen,18 May 2008,8.2,"Nunnally is sworn in as the new Viceroy, and she announces the recreation of the SAZOJ. Knowing he cannot go against his sister, Lelouch slips into a state of depression."
2,8,Hyakuman no kiseki,25 May 2008,8.6,"In a private conversation with Suzaku and some Britannian officials, Zero requests he be exiled in exchange for delivering 1,000,000 Japanese to the SAZOJ."
2,9,Kinshijô no hanayome,8 Jun. 2008,8.2,"Lelouch learns the Chinese Empress, Tianzi, is being forced into a political marriage to First Prince Odysseus eu Britannia. The wedding is orchestrated by the High Eunuchs, who will become nobles of Britannia in exchange for turning over half their land to Second Prince Schneizel el Britannia."
2,10,Shinko kagayaku koku,15 Jun. 2008,8.1,"After storming the royal wedding and kidnapping the bride, Zero and the black knights have an all out fight with the Chinese Federations troops in what is Zeros biggest challenge yet"
2,11,Omoi no chikara,22 Jun. 2008,8.0,"The Black Knights continue their fight against the Chinese, but the battle takes a turn for the worse when the Britannians back the Eunuchs. They no longer care about the empress' wellbeing, meaning Zero may have lost his bargaining chip and the battle."
2,12,Rabu atakku!,29 Jun. 2008,7.3,"The Knights of Round have become students at Ashford Academy right as Lelouch has returned. But he has other worries, like the countless dates his stand-in set up while he was away. Lelouch must take on his next challenge-Cupid Day!"
2,13,Kako kara no kikaku,6 Jul. 2008,9.1,Lelouch confronts Jeremiah on a train station while Shirley decides what to do after learning the truth about Lelouch.
2,14,Giasu gari,13 Jul. 2008,8.7,"With Shirley's death hanging over him, Lelouch directs his anger towards the Geass power. He makes his first contact with the mysterious V2 and declares war. Meanwhile, Suzaku plans to take drastic measures to force answers about Lelouch out of Kallen."
2,15,C no sekai,20 Jul. 2008,8.8,Lelouch finally meets his father face to face but things go wrong as lelouch sees C2 past
2,16,Chôgasshûkoku ketsugi daiichigô,27 Jul. 2008,8.5,"The emperor is missing, and Zero takes the chance to ratify the United Federation of Nations. With the 47 nations involved, they will have enough backing to declare war on the Britannian Empire, finally freeing their countries. But nothing is ever so easy..."
2,17,Tsuchi no aji,3 Aug. 2008,8.5,"While the war rages on, Lelouch begs for Suzaku's help in making sure Nunnally will be safe. But with the death of Euphemia and Shirley still heavy in his heart, will Suzaku be able to do this for Zero, the murderer, or is it for Lelouch, his oldest friend?"
2,18,Dainiji Tôkyô taisen,10 Aug. 2008,9.1,"The battle for Tokyo fills the sky. The Black Knights take out the power gaining temporary advantage, but when Suzaku appears, he threatens to use Britannian's most terrifying weapon: the F.L.E.I.J.A. But to fire such a devastating weapon...is it worth it?"
2,19,Uragiri,17 Aug. 2008,9.3,"Devastated about the use of the F.L.E.I.J.A., Lelouch takes his anger out on Rolo as Schneizel arranges a meeting with the leaders of the Black Knights."
2,20,Kôtei shikkaku,24 Aug. 2008,8.6,"Lelouch has lost everything and knows the only thing left is to take out his father, the Emperor. But he's not the only one bent on seeking him out. Suzaku, on Schneizel's orders, plans to assassinate the Emperor. What awaits the two on Kamine Island?"
2,21,Ragunareku no setsuzoku,31 Aug. 2008,9.1,Lelouch confronts his father in the Sword of Akasha and learns the truth about his mother's death.
2,22,Kôtei Rurûshu,7 Sep. 2008,8.8,"Lelouch has overtaken the empire, establishing himself as Emperor. He starts by abolishing the aristocracy and announcing Suzaku as the Knight of Zero. Lelouch announces that Britannia will join the U.F.N., but Schneizel makes an unexpected move."
2,23,Shunaizeru no kamen,14 Sep. 2008,8.9,"Nunnally has declared Lelouch and Suzaku as her enemies. By siding with Schneizel she is allowing the use of the F.L.E.I.J.A., but she has been led to believe the destructive weapon would be used only when necessary. However, Schneizel has other plans."
2,24,Damokuresu no sora,21 Sep. 2008,9.1,"The Black Knights fight a close battle with Schneizel, neither side giving way. Before the F.L.E.I.J.A.'s can destroy them all, Lelouch must outsmart the brother he has never beaten and face the sister he has spent his life protecting."
2,25,Re;,28 Sep. 2008,9.8,Lelouch tries to persuade Nunnally into giving him the key of Damocles as the battle concludes.
3,1,Majin ga mezameru hi,5 Apr. 2008,7.7,"One year after the Black Rebellion, a brainwashed Lelouch and his ""younger brother"" Rolo are gambling at Babel Tower when C2 and the Black Knights attack the complex to retrieve Lelouch."
3,2,Nihon dokuritsu keikaku,13 Apr. 2008,8.1,"Lelouch remembers his capture by Suzaku and how his father used Geass to alter his memories. Lelouch and Black Knights escape to the Chinese Federation consulate, where Zero announces his return and the recreation of the USJ."
3,3,Toraware no gakuen,20 Apr. 2008,8.0,"Lelouch returns to Ashford Academy during Zero's broadcast, causing Viletta to doubt that the real Zero has returned. Guilford demands that Zero reveal himself or else he will execute the captive Black Knights."
3,4,Gyakushû no shokeidai,27 Apr. 2008,8.2,"Lelouch deduces the nature of Rolo's Geass and convinces Rolo to spare him. Li Xingke takes control of the Chinese Federation consulate. Guilford prepares to execute the Black Knights, and Lelouch enacts a plan to save them."
3,5,Naito obu raunzu,4 May 2008,7.9,"Suzaku returns to Ashford Academy to determine if Lelouch has regained his memories. The academy throws him a welcome festival. C2 attends, complicating things for Lelouch as he tries to hide her presence."
3,6,Taiheiyô kishû sakusen,11 May 2008,8.5,Rolo uses his Geass on Suzaku so Lelouch can converse with Nunnally without revealing that his memories have returned. Lelouch and the Black Knights attempt to capture Nunnally as she is transported to Japan.
3,7,Suterareta kamen,18 May 2008,8.2,"Nunnally is sworn in as the new Viceroy, and she announces the recreation of the SAZOJ. Knowing he cannot go against his sister, Lelouch slips into a state of depression."
3,8,Hyakuman no kiseki,25 May 2008,8.6,"In a private conversation with Suzaku and some Britannian officials, Zero requests he be exiled in exchange for delivering 1,000,000 Japanese to the SAZOJ."
3,9,Kinshijô no hanayome,8 Jun. 2008,8.2,"Lelouch learns the Chinese Empress, Tianzi, is being forced into a political marriage to First Prince Odysseus eu Britannia. The wedding is orchestrated by the High Eunuchs, who will become nobles of Britannia in exchange for turning over half their land to Second Prince Schneizel el Britannia."
3,10,Shinko kagayaku koku,15 Jun. 2008,8.1,"After storming the royal wedding and kidnapping the bride, Zero and the black knights have an all out fight with the Chinese Federations troops in what is Zeros biggest challenge yet"
3,11,Omoi no chikara,22 Jun. 2008,8.0,"The Black Knights continue their fight against the Chinese, but the battle takes a turn for the worse when the Britannians back the Eunuchs. They no longer care about the empress' wellbeing, meaning Zero may have lost his bargaining chip and the battle."
3,12,Rabu atakku!,29 Jun. 2008,7.3,"The Knights of Round have become students at Ashford Academy right as Lelouch has returned. But he has other worries, like the countless dates his stand-in set up while he was away. Lelouch must take on his next challenge-Cupid Day!"
3,13,Kako kara no kikaku,6 Jul. 2008,9.1,Lelouch confronts Jeremiah on a train station while Shirley decides what to do after learning the truth about Lelouch.
3,14,Giasu gari,13 Jul. 2008,8.7,"With Shirley's death hanging over him, Lelouch directs his anger towards the Geass power. He makes his first contact with the mysterious V2 and declares war. Meanwhile, Suzaku plans to take drastic measures to force answers about Lelouch out of Kallen."
3,15,C no sekai,20 Jul. 2008,8.8,Lelouch finally meets his father face to face but things go wrong as lelouch sees C2 past
3,16,Chôgasshûkoku ketsugi daiichigô,27 Jul. 2008,8.5,"The emperor is missing, and Zero takes the chance to ratify the United Federation of Nations. With the 47 nations involved, they will have enough backing to declare war on the Britannian Empire, finally freeing their countries. But nothing is ever so easy..."
3,17,Tsuchi no aji,3 Aug. 2008,8.5,"While the war rages on, Lelouch begs for Suzaku's help in making sure Nunnally will be safe. But with the death of Euphemia and Shirley still heavy in his heart, will Suzaku be able to do this for Zero, the murderer, or is it for Lelouch, his oldest friend?"
3,18,Dainiji Tôkyô taisen,10 Aug. 2008,9.1,"The battle for Tokyo fills the sky. The Black Knights take out the power gaining temporary advantage, but when Suzaku appears, he threatens to use Britannian's most terrifying weapon: the F.L.E.I.J.A. But to fire such a devastating weapon...is it worth it?"
3,19,Uragiri,17 Aug. 2008,9.3,"Devastated about the use of the F.L.E.I.J.A., Lelouch takes his anger out on Rolo as Schneizel arranges a meeting with the leaders of the Black Knights."
3,20,Kôtei shikkaku,24 Aug. 2008,8.6,"Lelouch has lost everything and knows the only thing left is to take out his father, the Emperor. But he's not the only one bent on seeking him out. Suzaku, on Schneizel's orders, plans to assassinate the Emperor. What awaits the two on Kamine Island?"
3,21,Ragunareku no setsuzoku,31 Aug. 2008,9.1,Lelouch confronts his father in the Sword of Akasha and learns the truth about his mother's death.
3,22,Kôtei Rurûshu,7 Sep. 2008,8.8,"Lelouch has overtaken the empire, establishing himself as Emperor. He starts by abolishing the aristocracy and announcing Suzaku as the Knight of Zero. Lelouch announces that Britannia will join the U.F.N., but Schneizel makes an unexpected move."
3,23,Shunaizeru no kamen,14 Sep. 2008,8.9,"Nunnally has declared Lelouch and Suzaku as her enemies. By siding with Schneizel she is allowing the use of the F.L.E.I.J.A., but she has been led to believe the destructive weapon would be used only when necessary. However, Schneizel has other plans."
3,24,Damokuresu no sora,21 Sep. 2008,9.1,"The Black Knights fight a close battle with Schneizel, neither side giving way. Before the F.L.E.I.J.A.'s can destroy them all, Lelouch must outsmart the brother he has never beaten and face the sister he has spent his life protecting."
3,25,Re;,28 Sep. 2008,9.8,Lelouch tries to persuade Nunnally into giving him the key of Damocles as the battle concludes.
