temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,POM Wonderful v. Coca-Cola,27 Apr. 2014,8.4,"John talks about the Indian election, Pom Wonderful, and talks with the former NSA director General Keith Alexander."
1,2,Capital Punishment,4 May 2014,8.0,"John talks about the recent issues of the death penalty, François Hollande, and the rising issues happening in Brunei."
1,3,Climate Change Denial,11 May 2014,8.0,"John talks about Eurovision, Ukraine and Russia's relations, and invites Bill Nye to a statistically representative climate change debate."
1,4,The Right to Be Forgotten,18 May 2014,7.9,"John talks about the product recall going on at General Motors, the EU Court of Justice ""Right to be Forgotten"" ruling, and updates us on how the Indian election is going, with help from Fareed Zakaria."
1,5,Net Neutrality,1 Jun. 2014,8.7,"This week's topics include the rise of the far right political parties in Europe, the Ukrainian election, Afghanistan, Net Neutrality, Australia's hard-line right-wing Prime Minister Tony Abbott, and the 2014 Scripps National Spelling Bee."
1,6,FIFA and the World Cup,8 Jun. 2014,8.5,John Oliver discusses the anniversary of the Tiananmen Square rebellion and the FIFA World Cup and invites Right Said Fred to send a message to Bashar al-Assad.
1,7,Immigration Reform,15 Jun. 2014,8.0,"John discusses immigration, the Washington Redskins and Iraq and talks to Stephen Hawking."
1,8,Dr. Oz,22 Jun. 2014,8.1,"John highlights recent news such as the problems of tourism in Antarctica, discusses international royalty as a service to Game of Thrones fans and panders to the audience in response to allegations against Dr. Oz."
1,9,Burwell v. Hobby Lobby,29 Jun. 2014,7.6,John Oliver sheds light on recent Supreme Court cases and discusses gay rights in Uganda with activist Pepe Julian Onziema.
1,10,Income Inequality and Wealth Inequality,13 Jul. 2014,7.9,"John revisits news of a change in Japan's foreign policy, the love letters of Warren G. Harding and CIA's social media activity, and discusses the issues of income inequality in America."
1,11,Incarceration in the United States,20 Jul. 2014,8.0,"John talks about Gaza (but mostly Anderson Cooper) and about Malaysia Airlines flight 17, then discusses prison incarcerations in America and sings with muppets from Sesame Street."
1,12,Nuclear Weapons and the United States,27 Jul. 2014,8.1,"John addresses the Islamic State in Iraq and Syria, revisits the subject of international royalty, discusses the safety of nuclear weapons and campaigns to save geckos in space."
1,13,Native Advertising,3 Aug. 2014,7.8,John discusses native advertising and Argentine debt restructuring.
1,14,Payday Loans,10 Aug. 2014,7.9,John discusses payday loans and Russia's import embargo on U.S. chicken and soybean.
1,15,Shooting of Michael Brown and Police Militarization,17 Aug. 2014,7.8,"Focuses on the shooting of Michael Brown and police militarization in Ferguson, MO. John also discusses the topic of equal pay for equal work."
1,16,Student Debt,7 Sep. 2014,8.0,"John provides a eulogy for the mating space geckos, and talks about student debt."
1,17,Scottish Independence Referendum,14 Sep. 2014,8.0,John discusses the Scottish independence referendum and corporations using Twitter.
1,18,"United States Embargo Against Cuba, Miss America 2015",21 Sep. 2014,8.1,John focuses on the Miss America 2015 pageant with special guest Kathy Griffin.
1,19,Drones,28 Sep. 2014,7.9,John discusses U.S. military drones and the Kansas state budget shortfall.
1,20,Civil Forfeiture,5 Oct. 2014,8.5,John Oliver shows us how desperate the American law enforcement are to make money out of everyone.
1,21,Military Translators,19 Oct. 2014,8.2,"Translators who have aided the U.S. Military in Afghanistan and Iraq are in great danger in their home countries, but red tape is making it impossible for many of them to leave."
1,22,Sugar,26 Oct. 2014,7.9,John Oliver is back to discuss how the sugar industry rules the world!
1,23,State Legislatures and ALEC,2 Nov. 2014,8.0,"John disusses robot sales associates at Lowe's, U.S legislatures in elections, and the American Legislative Exchange Council (ALEC)."
1,24,The Lottery,9 Nov. 2014,8.6,Last Week Tonight features in-depth and critical look at state lotteries. It also looks at the Turkish Prime Minister's Grand Palace and a Salmon shooting cannon.
2,1,Marketing to Doctors,8 Feb. 2015,8.3,John Oliver discusses the growing issues of pharmaceutical companies marketing directly to and through doctors.
2,2,Tobacco,15 Feb. 2015,8.7,"John riffs on Ecuadorian President Rafael Correa, '50 Shades of Grey', and the unethical legal practices of tobacco company Phillip Morris International."
2,3,Judicial Elections,22 Feb. 2015,8.0,"John discusses United Kingdom general elections, judicial elections, and the Chinese New Year."
2,4,Infrastructure,1 Mar. 2015,8.2,"John demonstrates the importance of infrastructure with a special sketch starring Edward Norton, Vincent D'Onofrio, and Steve Buscemi. He also discusses Boris Nemstov."
2,5,U.S. Territories,8 Mar. 2015,8.3,"John Oliver discusses a Fanta controversy in Germany, citizenship grievances for those in U.S. territories, and cigarette packaging."
2,6,The NCAA,15 Mar. 2015,8.2,The NCAA doesn't pay students athletes because they are considered to be amateurs. They are considered to be amateurs because they don't get paid.
2,7,Municipal Violations,22 Mar. 2015,8.0,"If you have money, committing a municipal violation may pose you a minor inconvenience. If you don't, it can ruin your life."
2,8,Government Surveillance,5 Apr. 2015,9.4,John heads to Russia to interview Edward Snowden as part of a segment on government surveillance.
2,9,IRS,12 Apr. 2015,7.6,"John discusses the Internal Revenue Service (IRS), with a special appearance from Michael Bolton."
2,10,Patents,19 Apr. 2015,7.9,"John discusses patents, Earth Day, and doomsday, with a special appearance from Martin Sheen."
2,11,Fashion,26 Apr. 2015,8.1,John Oliver explores the concept of changing and cheap fashion and some of the ugliest truths of the manufacturing process.
2,12,Standardised Testing,3 May 2015,7.9,John discusses standardized testing.
2,13,Paid Family Leave,10 May 2015,8.0,"John discusses Victory Day in Russia, paid parental leave, and Japanese government mascots."
2,14,Chickens,17 May 2015,8.0,John discusses chicken farming.
2,15,FIFA,31 May 2015,8.7,John discusses the 2015 FIFA corruption case.
2,16,Bail,7 Jun. 2015,8.3,John explains why America's bail system is better for the reality TV industry than it is for the justice system.
2,17,Torture,14 Jun. 2015,8.3,"John discusses the 2015 European Games, the Canadian Senate expenses scandal, and torture with the voice of special guest Helen Mirren."
2,18,The Internet,21 Jun. 2015,8.1,"Online harassment is a major problem, but it is rarely prosecuted. If only we'd been warned about this in the early days of the internet."
2,19,Transgender Rights,28 Jun. 2015,8.0,"John discusses US Supreme Court decisions on gay marriage and Obamacre, former President of Ukraine, Viktor Yanukovych, transgender rights and leap second."
2,20,Stadiums,12 Jul. 2015,8.2,John discusses how taxpayer money is funding private sports stadiums.
2,21,Food Waste,19 Jul. 2015,8.5,Iran nuclear treaty; El Chapo prison escape; North Korea hosting Laibach band; food waste.
2,22,Mandatory Minimums,26 Jul. 2015,8.4,"John explains why mandatory minimum sentences, especially for drug-related crimes, are in desperate need of reform."
2,23,District of Columbia,2 Aug. 2015,8.2,"John explains why Washington, D.C. deserves to be the 51st state - or at least get full voting rights in Congress."
2,24,Sex Ed,9 Aug. 2015,8.8,Sex education in America; GOP Debate; India's short-lived porn-site ban; overpricing at Whole Foods.
2,25,Church,16 Aug. 2015,9.3,"John discusses predatory churches and TV evangelism, the raising of the American flag in Cuba, the redesign of New Zealand's flag, and President Harding's illegitimate child."
2,26,LGBT Anti-Discrimination,23 Aug. 2015,8.2,"Despite the victory for marriage equality this summer, there is a long way to go to end LGBT discrimination, as John explains."
2,27,Public Defenders,13 Sep. 2015,8.3,"John talks about problems concerning public defenders in the American Judicial system, a Michigan state legislature scandal, Guatemala's unusual election, and Queen Elizabeth II and delivers a message from the Lady of Perpetual Exemption."
2,28,Migrants and Refugees,27 Sep. 2015,8.0,John talks about Pope Francis visiting the USA and the immigration crisis in Europe.
2,29,Mental Health,4 Oct. 2015,8.0,"John discusses Russia's involvement in Syria, the U.N. General Assembly, and the problems with the national system for treating mental illness."
2,30,North Dakota,11 Oct. 2015,7.8,John takes a look at the harmful effects of the oil boom in North Dakota.
2,31,Canada,18 Oct. 2015,8.1,John discusses the upcoming Canadian election and urges Canadians not to vote for Stephen Harper.
2,32,Medicaid Gap,1 Nov. 2015,7.9,"Main story: Election 2015 and the Medicaid Gap; plus, China & Kenny G.; Syria peace talks; 'Star Wars' impact on Ukraine elections; United Kingdom tax credit vote."
2,33,Prisoner Re-Entry,8 Nov. 2015,8.1,"United Kingdom proposed online mass surveillance law, Veterans Day, Washington Redskin trademark, Prisoner Reentry. Interview with Bilal Chapman."
2,34,Daily Fantasy Sports,15 Nov. 2015,8.2,"John talks about the recent Paris attacks, China's Singles Day, the Koh-i-Noor diamond and Daily Fantasy Sports."
2,35,Pennies,22 Nov. 2015,8.3,John reflects about the Paris attacks aftermath and how useless the U.S. penny is.
3,1,Voting,14 Feb. 2016,8.2,"John talks about the late Antonin Scalia and the Supreme Court, Chipotle's food safety problems, Voter IDs and New Zealand's economic development minister Steven Joyce."
3,2,Abortion Laws,21 Feb. 2016,8.5,"John talks about the South Carolina Republican primary, the Supreme Court vacancy and abortion laws."
3,3,Donald Trump,28 Feb. 2016,9.3,"John talks about the Egyptian president and economic crisis, the Guantanamo Bay shutdown and Donald Trump."
3,4,Special Districts,6 Mar. 2016,7.8,"John talks about special districts, local elections, US election 2016 and of course Donald Trump again."
3,5,Encryption,13 Mar. 2016,8.2,"John talks about latest US election updates, International women's day, Apple's encryption battle with the FBI."
3,6,The Wall,20 Mar. 2016,8.4,"John talks about latest Brazil demonstrations, the nomination of Merrick Garland to join the supreme court And the wall Donald Trump wants to build and how it would be very costly, ineffective and useless."
3,7,Political Fundraising,3 Apr. 2016,7.8,"Congressional Fund-raising with guest Steve Israel- Episode explores the ways congress does fund-raising focusing on cold calls, similar to call centers."
3,8,Credit Reports,10 Apr. 2016,8.0,"John talks about the Panama papers leak, Alabama governor sex scandal, Credit reports and background checks companies and how their results can be false and unreliable."
3,9,Lead,17 Apr. 2016,7.8,"John covers the Flint water crisis, the Böhmermann affair, and Vladimir Putin's call-in show."
3,10,Puerto Rico,24 Apr. 2016,8.1,"Obama's visits to the UK and Saudi Arabia, the ongoing debt crisis in Puerto Rico, and Norway's policy towards asylum seekers are all discussed."
3,11,Scientific Studies,8 May 2016,8.7,"Main story: Scientific Studies; plus, Philippines' presidential frontrunner Rodrigo Duterte, Workers' Party Congress in North Korea; And Now: ""The Next President of the United States."""
3,12,911,15 May 2016,8.1,"John Oliver gives an open invitation to Trump's 1980s PR man alter ego ""John Miller"" then reports on the 911 phone system's failures to keep up with the new issues from so many mobile device users."
3,13,Primaries and Caucuses,22 May 2016,7.9,"John covers Venezuela's current economic crisis, Canadian Prime Minister Justin Trudeau's recent parliamentary incident, and outlines issues surrounding the delegate selection process used in state primaries and caucuses."
3,14,Debt Buyers,5 Jun. 2016,8.6,"John lays out documents recently released in the ongoing lawsuit against one of Donald Trump's business venture's, Trump University. In the main story, John explains the ins and outs and sometimes shady dealings of the debt buying industry."
3,15,Money,12 Jun. 2016,8.1,"Tonight's main story focuses on navigating the complex financial labyrinth of retirement plans, including hints to get through the maze. John also highlights the emerging social media war between 2016 presidential candidates Hillary Clinton and Donald Trump."
3,16,United Kingdom,19 Jun. 2016,8.1,"The main story tonight concerns the upcoming in/out referendum regarding the UK's future status in the EU. John muses both sides of the issue, yet despite being torn, eventually endorses a position in what has become his own unique style. John also examines the NRA's political influence over gun legislation."
3,17,Doping,26 Jun. 2016,7.9,John talks about Brexit and the handling of doping issues by the Olympics management and doping in general.
3,18,Republican National Convention,24 Jul. 2016,8.3,"John talks about US election 2016, Republican National Convention, appointment of Boriss Johnson as UK Foreign Secretary, unauthorized use of songs in political campaigns and a bit more about Donald Trump."
3,19,DNC vs. RNC,31 Jul. 2016,8.1,Highlights of US Democratic Party convention 2016.
3,20,Journalism,7 Aug. 2016,8.3,John talks about the Olympics Opening Ceremony and the main story is about Journalism and the descent of printed news.
3,21,Auto Lending,14 Aug. 2016,8.1,"John talks about the 2016 US election, American Petroleum Institute copying ""Last Week Tonight with John Oliver"" credits and how auto lenders can trap vulnerable people in debt."
3,22,Charter Schools,21 Aug. 2016,8.0,"John talks about Rio Olympics controversies especially about Ryan Lochte, lack of oversight on Charter Schools, and a bit more about Donald Trump."
3,23,Scandals,25 Sep. 2016,8.2,John Oliver talks about the scandals involving Donald Trump and Hillary Clinton.
3,24,Police Accountability,2 Oct. 2016,8.1,John Oliver looks at the police accountability system. He also talks about the first debate between Donald Trump and Hillary Clinton.
3,25,Guantánamo,9 Oct. 2016,8.1,"John talks about Guantanamo Bay detention camp, Donald Trump controversies and Head of the Chechen Republic Ramzan Kadyrov."
3,26,Third Parties,16 Oct. 2016,7.8,John Oliver considers third party candidates as potential presidents.
3,27,Drugs,23 Oct. 2016,8.0,"John talks about opioids, the final presidential debate and Donald Trump's charity roast."
3,28,School Segregation,30 Oct. 2016,8.0,John talks about Public schools in USA that are increasingly segregated by race and class. He discusses the troubling trend towards school resegregation.
3,29,Multilevel Marketing,6 Nov. 2016,8.4,John Oliver talks about the legitimacy of Multilevel marketing companies that seem pyramid shaped. He also talks a bit about USA election 2016 once more.
3,30,President-Elect Trump,13 Nov. 2016,8.7,John Oliver talks about the election results.
