temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Ain't No Reason to Get Excited,7 Feb. 2016,8.2,"Daryl and Katy try to help Wayne, while Wayne reconnects with his inner fighter."
1,2,Super Soft Birthday,7 Feb. 2016,8.5,Wayne and Katy plan for Daryl's annual birthday party.
1,3,Fartbook,7 Feb. 2016,6.7,Dan's farting inspires a genius idea for the Hicks.
1,4,Wingman Wayne,7 Feb. 2016,8.3,It's competition time in Letterkenny! The first Hick to score some tail gets fifty bucks off their bar tab.
1,5,Rave,7 Feb. 2016,8.1,Daryl comes up with the idea to start a pest removal business. Stewart decides to become a superstar DJ and host his own rave.
1,6,A Fuss in the Back Bush,7 Feb. 2016,8.8,"The town descends into a revenge-fueled brawl, thanks to the Skids and their shady business practices."
2,1,A Fuss at the AG Hall,25 Dec. 2016,8.3,The Hicks attempt to establish order at Ag Hall while Reilly and Jonesy make the jump to Senior Hockey.
2,2,The Election,25 Dec. 2016,8.1,"The Hicks, Skids, and Hockey players participate in a Letterkenny election."
2,3,Relationships,25 Dec. 2016,9.1,Wayne doubles down on finding love.
2,4,The Native Flu,25 Dec. 2016,9.0,Riley and Jonesy have an away game on the Rez.
2,5,Uncle Eddie's Trust,25 Dec. 2016,8.7,Wayne and Katy inherit some money. Folks from Letterkenny pitch them on why it should be theirs.
2,6,Finding Stormy a Stud,25 Dec. 2016,8.9,"Tension rises around Letterkenny while Wayne looks for a stud to breed with his beloved German Shepherd ""Stormy""."
2,7,St. Perfect's Day,15 Mar. 2017,8.6,The hicks help Daryl recall an amazing St. Patrick's Day party.
3,1,Sled Shack,1 Jul. 2017,8.6,The hicks try to improve their sled shack.
3,2,Puck Bunny,2 Jul. 2017,8.7,The hicks try to lure D-Gens from Up-Country to the sled shack. Reilly and Jonesy learn the identity of the Puck Bunny.
3,3,MoDeans 2,3 Jul. 2017,8.8,Modean's reopens. The hicks have a bone to pick with Jivin' Pete.
3,4,Les Hiques,1 Jul. 2017,8.7,The hicks go ice fishing in Quebec and meet their French-Canadian counterparts.
3,5,The Battle for Bonnie McMurray,1 Jul. 2017,8.6,Bonnie McMurray invites Katy and the guys to a hot tub party.
3,6,Bradley Is a Killer,1 Jul. 2017,8.5,The hicks are excited for Bradley's arrival. The hockey team bonds.
