temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Preparation,18 Oct. 2004,7.5,Ewan and Charley prepare for their adventure around the globe starting from London. Training courses are in place for a treacherous journey ahead of them.
1,2,Shoving Off,2 Nov. 2010,5.9,
1,3,London to Volgograd,25 Oct. 2004,7.7,Further preparations for the trip as the pair settle on which motorbikes to take. The journey begins for the boys here.
1,4,Kazakhstan,1 Nov. 2004,8.0,A twelve hour nightmare for the two as they have their first visa problems in Prague.
1,5,Barnaul to Western Mongolia,8 Nov. 2004,8.0,
1,6,Western Mongolia to Yakutsk,15 Nov. 2004,8.1,
1,7,Yakutsk to Magadan: The Road of Bones,22 Nov. 2004,7.1,"Pushing on despite many setbacks, they immerse themselves in the rich culture and their spirits are lifted by the kind people of Mongolia. They know that the Road of Bones lies ahead and will surely test them further."
1,8,Anchorage to Calgary,29 Nov. 2004,6.9,Floods reek havoc as the pair spend their time team working with their support team to get through the remaining few miles of Russia.
1,9,Calgary to New York,6 Dec. 2004,8.1,On the final leg of the journey to New York City Ewan McGregor and Charley Boorman are involved in collisions with cars.
1,10,Retrospective,13 Dec. 2004,7.3,
