temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Pilot,28 Feb. 2012,7.6,Louie goes on a date as well as a field trip with his daughters. Both go badly.
1,2,Poker/Divorce,6 Mar. 2012,8.0,"Louie and his friends have a discussion about homosexuality with a gay friend during a poker game. After Louie's divorce is finalized, he looks up a woman he had a ""moment"" with back in school."
1,3,Dr. Ben/Nick,13 Mar. 2012,8.1,Louie goes to the doctor and argues with an old friend.
1,4,So Old/Playdate,20 Mar. 2012,8.1,Louie's age is an advantage and he sets up a play date.
1,5,Travel Day/South,27 Mar. 2012,8.2,Louie goes on a trip. Louie plays the South.
1,6,Heckler/Cop Movie,3 Apr. 2012,8.3,Louie reluctantly acts in a movie.
1,7,Double Date/Mom,10 Apr. 2012,8.0,"Louie's brother comes to him with an odd request related to his date, and Louie's mom comes to tell him that she is a lesbian."
1,8,Dogpound,17 Apr. 2012,7.9,"While the kids are away, Louie eats a lot of ice cream, gets high with a neighbor, and rescues an old dog from the pound."
1,9,Bully,24 Apr. 2012,8.8,"Louie recalls his awkward sex education lessons as a child, and a high school bully threatens Louie in a donut shop and ruins his date."
1,10,Dentist/Tarese,1 May 2012,7.6,"Louie tries to overcome his fear of dentists, and tries to get a date with an African American grocery cashier."
1,11,God,8 May 2012,8.0,Louie recalls a traumatic lesson from Catholic school about Jesus dying for his sins.
1,12,Gym,15 May 2012,8.1,"Louie fantasizes about a TV news anchor, and winds up in the hospital after working out with his new personal trainer."
1,13,Night Out,22 May 2012,8.3,Louie goes out for the night.
2,1,Pregnant,29 May 2012,8.0,"Louie gets a surprise visit from his pregnant sister, who has to be rushed to the hospital in the middle of the night with severe pains."
2,2,Bummer/Blueberries,5 Jun. 2012,8.4,"Louie witnesses a bum's death on his way to a date, and gets propositioned for casual sex by a single mom at his daughter's school."
2,3,Moving,12 Jun. 2012,7.9,"Louie has trouble finding a nice apartment, and when he finally finds a home he wants to buy, it is impossibly out of his price range."
2,4,Joan,19 Jun. 2012,7.9,Louie quits a lounge gig at an Atlantic City casino after a bad night and winds up hanging out with Joan Rivers.
2,5,Country Drive,26 Jun. 2012,7.7,"When Louis decides to visit his great aunt, he takes his kids on a country drive to visit her. But when he arrives his kids and him notice her past self and devastating news."
2,6,Subway/Pamela,3 Jul. 2012,8.6,Louie rides the subway and hangs out with his friend.
2,7,Oh Louie/Tickets,10 Jul. 2012,8.0,Louie remembers his past career failures and tries to get concert tickets for his daughter.
2,8,"Come On, God",17 Jul. 2012,8.9,Louie explores one of his lifelong habits.
2,9,Eddie,11 Aug. 2011,8.7,Louie reunites with an old friend.
2,10,Halloween/Ellie,31 Jul. 2012,7.7,"Halloween is in the air and Louis and his kids go trick or treating. But when they go trick or treating, Louis and his kids meet some very bad people, in which Louis has to fend off to protect him and his kids."
2,11,Duckling,7 Aug. 2012,9.1,"Louie leaves for Afghanistan to entertain the troops, but he doesn't know that one of his daughters left him a surprise in his suitcase."
2,12,Niece,21 Aug. 2012,7.9,"Louie takes care of his niece while her mother leaves for Philadelphia, but he has no idea how to communicate with her."
2,13,New Jersey/Airport,28 Aug. 2012,8.4,Louie has a pretty bad time in general.
3,1,Something Is Wrong,12 Nov. 2012,7.9,"Louie breaks up with his new love interest, gets his car destroyed by a construction crew, buys a new motorcycle, and winds up in the hospital."
3,2,Telling Jokes/Set Up,19 Nov. 2012,8.1,"Louie agrees to dinner at a comedian friend's house, not knowing that he is about to be set up on a date."
3,3,Miami,26 Nov. 2012,8.2,"Louie goes to Miami, makes friends with a Cuban-American lifeguard, and decides to extend the trip to hang out with him a little longer--leading to an awkward conversation."
3,4,Daddy's Girlfriend: Part 1,3 Dec. 2012,8.5,"After Louie's kids put pressure him to find a girlfriend, he finds a potential prospect at the local bookstore."
3,5,Daddy's Girlfriend: Part 2,10 Dec. 2012,8.6,Louie goes out on an adventurous first date with the woman he met at the bookstore.
3,6,Barney/Never,17 Dec. 2012,8.5,"Louie has lunch and goes to a strip club with a man he meets at a friend's gravesite, and babysits for a friend's socially-awkward son."
3,7,Ikea/Piano Lesson,25 Dec. 2012,7.8,"Louie takes an awkward shopping trip with a female acquaintance, Louie gets some disturbing news from a different woman during a piano lesson, and Louie tries to make amends with an old friend."
3,8,Dad,1 Jan. 2013,7.9,"After his uncle visits and tells him to go to Boston to see his father, Louie breaks out and begins throwing up."
3,9,Looking for Liz/Lilly Changes,7 Jan. 2013,7.7,"Louie learns that Liz no longer works at the bookstore, and her replacement employee helps Louie try to find her; Louie calls the police after Jane tells him that Lilly left home."
3,10,Late Show: Part 1,14 Jan. 2013,8.3,Louie takes advantage of an incredible opportunity on The Tonight Show and gets a potential job offer afterwards that could change his life.
3,11,Late Show: Part 2,21 Jan. 2013,8.7,"Louie's ""training"" gets off to a rough start as he prepares for his chance to audition for David Letterman's job."
3,12,Late Show: Part 3,28 Jan. 2013,9.3,"Right before Louie shoots his talk show pilot, Jerry Seinfeld comes to him some surprising news."
3,13,New Year's Eve,4 Feb. 2013,9.0,"Louie is alone after Christmas and has a traumatic New Year's Eve, so he decides to get away from it all--in China."
4,1,Back,9 May 2014,8.2,Louie injures his back while shopping for a vibrator.
