temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,"Introduction of Kuru Family, Raja Bharat and Raja Shantanu",2 Oct. 1988,6.4,"It is an introduction of King Bharata, founder of Bharata race of lunar dynasty. He sows the seed of democratic thinking. Later is story of his successor King Shantanu."
1,2,Ganga Kills Her Sons,9 Oct. 1988,5.7,Shantanu breaks his vow. Ganga explains her act.
1,3,Bhishma Is Grown-up,16 Oct. 1988,5.5,"Devavrat is crowned as Yuvraj, heir apparent to King Shantanu. But, to enable his father's remarriage to a village girl, Devavrat vows to remain unmarried for the rest of his life and renounces his rights to the throne."
1,4,Bhisma Pratigya/Iccha Mrityu Vardaan,23 Oct. 1988,5.8,"Bhisma gets the Iccha Mrityu Vardaan. With all these sacrifices for Shantanu, do he gets peace."
1,5,"Amba, Ambika and Ambalika's Introduction",30 Oct. 1988,5.2,Bhisma action for restoring the image of Hastinapur will lead to his death.
1,6,"Birth of Pandu, Dhritarashtra and Vidur",6 Nov. 1988,5.3,"Rishi Vyas is introduced and is the father of Pandu, Dhritarashtra and Vidhur. These are imparted knowledge and training by Bhisma and a new king of Hastinapur is selected."
1,7,"Karna's Birth-story, Dhritarashtra and Gandhari Get Married and Pandu and Kunti Get Married",13 Nov. 1988,5.0,This is the story of Karna's birth. Marriage Dhritarashtra and Gandhari; and Pandu and Kunti. Introduction of an important character Shakuni.
1,8,"Madri is gifted to Pandu, Pandu is resting and Sage Kindama's curse on Pandu",20 Nov. 1988,5.4,"Pandu establishes the supremacy of the Kuru House. During his campaigns he takes another wife, Madri. After the campaigns, Pandu goes to the forest for relaxation with his two queens Kunti and Madri."
1,9,Dhritarashtra is king his sanyas and Kansa is king and Akashwani about Krishna,27 Nov. 1988,5.2,"While hunting, Pandu accidentally kills a Sage. To do penance Pandu decides to spend his life in exile and entrusts Kingdom to Dhritarastra. In time five children are born to Kunti and Madri. Dhritarastra had a hundred sons from Gandhari."
1,10,Birth of Balarama and Five Pandavas,4 Dec. 1988,5.4,"In Mathura, King Kans dethrones his father and takes over. He arranges his sister Devki's marriage with his influential friend Vasudev. But when a Sage predicts Kans' death, he imprisons Devki and Vasudev."
1,11,Krishna Janma,11 Dec. 1988,5.5,"Kans personally kills Devki's first six children. Devki's seventh ""pregnancy"" is taken over by Vasudev's second wife, giving birth to Balram. During eighth child, Vasudev is able to smuggle out the child."
1,12,Pootna's Death,18 Dec. 1988,5.2,"Gokul is in a festive mood to celebrate the birth of Krishna, unaware of the fact that King Kans has assigned Demon Pootna to kill all the newborns."
1,13,Krishna brahmand darshan and Krishna gets caught while stealing makhan,25 Dec. 1988,5.2,"While Yashoda happily reared Shri Krishna in Nandgaon, his real mother Devki, and his father Vasudev spent days inside the prison in Mathura."
1,14,Maiya Mori Mai nahi makhan khayo and Kaliya Nag Tandav,1 Jan. 1989,5.2,"Krishna enjoys his times in Nandgaon, showing his divine power time to time."
1,15,"Radha and Gopikas, protest against Mathura, Devakasur and Trulambasur Vadh",8 Jan. 1989,5.3,"Krishna grows up to an 11-year-old boy. Now he has given up stealing butter; instead he steals the hearts of the young ""Gopinis"". Radha is one such ""Gopini"" who has lost her heart to him."
1,16,Kansa invites Krishna to Mathura,15 Jan. 1989,5.5,"Kansa came to know about the true identity of Krishna, and invited him to Mathura by faking his repentance."
1,17,Kansa vadh,22 Jan. 1989,5.7,"Krishna departs for Mathura. The residents of Mathura have heard of his divine powers and they pay obeisance. Eventually Krishna faces his uncle, Kans."
1,18,Pandu's Death,29 Jan. 1989,5.4,Shri Krishna releases King Ugrasen and his parents Devki and Vasudev who had been imprisoned by Kans. Pandu dies in the forest and Kunti returns to Hastinapur with her children.
1,19,"Satyavati, Ambika, Ambalika take sanyas with Rishi Vyas",5 Feb. 1989,5.3,"Before leaving for Tapovan, Satyavati tells Dhritarashtra to look after the Pandavas. Kauravas and the Pandavas grow up together. Shakuni instigates Duryodhan against the Pandavas and rivalry develops between the Kauravas and Pandavas."
