temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Eighteen Years Lost,18 Dec. 2015,8.2,"A man is charged for a crime he didn't commit. All the evidence points to some one else, so why don't the police investigate them? Small town, bad family name? A great miscarriage of justice is just the beginning for Steve Avery."
1,2,Turning the Tables,18 Dec. 2015,8.2,"As Steven starts creating a new life for himself, he pursues a lawsuit against Manitowoc County law enforcement officials for corruption in his case."
1,3,Plight of the Accused,18 Dec. 2015,8.4,"Steven is back in jail, charged with murder, but there are troubling questions about how he was arrested and why."
1,4,Indefensible,18 Dec. 2015,8.6,"An unexpected confession casts doubt on Steven's role in the murder case, but the new suspect gives conflicting accounts of what occurred."
1,5,The Last Person to See Teresa Alive,18 Dec. 2015,8.4,"As Steven's trial begins, his attorneys argue that law enforcement officials framed him and were negligent in not pursuing other leads in the case."
1,6,Testing the Evidence,18 Dec. 2015,8.2,Steven's attorneys cross-examine forensic experts about contaminated evidence and the absence of proof linking Steven to the crime.
1,7,Framing Defense,18 Dec. 2015,8.2,"As the murder trial continues, Steven's attorneys present their case that law enforcement officials planted evidence to frame him."
1,8,The Great Burden,18 Dec. 2015,8.2,"After two long days of closing arguments, the jury deliberates. Steven's fate hinges on whether the jury believes police misconduct may have occurred."
1,9,Lack of Humility,18 Dec. 2015,8.2,"Steven's trial is over, but a new one is just beginning. Will the jury find the suspect's confession or his conflicting statements more believable?"
1,10,Fighting for Their Lives,18 Dec. 2015,8.2,"In the years after Steven and Brendan's very public trials, the various members of the Avery family struggle to mend their broken lives."
2,1,Number 18,19 Oct. 2018,8.0,Powerhouse lawyer Kathleen Zellner offers to take Steven's case; Brendan's postconviction lawyers fight in federal court to try and get him released.
2,2,Words and Words Only,19 Oct. 2018,8.2,Brendan's lawyers work to prove his conviction was based on a coerced confession; Kathleen tests Steven in new ways and visits the alleged crime scene.
2,3,A Legal Miracle,19 Oct. 2018,8.3,Kathleen's forensic experts review the evidence found in Steven's burn pit; A 1996 statute limits Brendan's chances of success in federal court.
2,4,Welcome to Wisconsin,19 Oct. 2018,8.1,"Cautiously optimistic, Steven and his family wait to hear important news about his case; Kathleen files a motion for new scientific testing."
2,5,What + Why = Who,19 Oct. 2018,8.2,"Searching for evidence of tampering, Kathleen visits Steven's trailer; A new twist on Brendan's case sends his family on an emotional rollercoaster."
2,6,Everything Takes Time,19 Oct. 2018,8.2,Kathleen obtains access to some of the original physical evidence from the case; The former prosecutor holds a press conference.
2,7,Item FL,19 Oct. 2018,8.2,Kathleen runs new tests on the bullet believed to have killed Teresa Halbach and tracks Teresa's movements on the day she disappeared.
2,8,Special Care,19 Oct. 2018,8.5,Kathleen uncovers evidence about one of the State's star witnesses; Brendan's case takes another unexpected turn.
2,9,Friday Nite,19 Oct. 2018,8.9,"A witness comes forward with new information about Teresa's car; Kathleen attempts to build the timeline of what happened to Teresa on Oct. 31, 2005."
2,10,Trust No One,19 Oct. 2018,8.8,Kathleen makes two of the biggest discoveries of the case; Brendan's lawyers take his case to the next level.
