temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The First Lesson,30 Dec. 1977,8.4,"Mr Jeremy Brown, an English teacher, meets his class of foreign students for the first time. Things start of well, but..."
1,2,An Inspector Calls,6 Jan. 1978,8.2,It's the second lesson for Mr. Brown and Ms. Courteney informs him that an education inspector will be arriving. Aswell there will be a new African student arriving. However these two arrivals create quite a confusing lesson.
1,3,A Fate Worse Than Death,13 Jan. 1978,7.8,"Ranjeet plans to kill himself because of a girl he HAS to marry. The girl herself appears at the school looking for Ranjit, which prompts frantic plans to be made."
1,4,All Through the Night,20 Jan. 1978,8.1,The student's English is not improving and Mr. Brown decides to detain them after class. However the long evening is made worse when Mr. Brown and the class get locked inside the classroom.
1,5,The Best Things in Life,27 Jan. 1978,8.1,"Jamila has been arrested for shoplifting, but it's not entirely her fault. Because of her poor English, she has made the mistake of taking, what she thought to be, ""free"" items. After Mr.Brown rescues Jamila from the police station, he learns that she has stolen more than just a few items. Knowing that keeping the stolen goods would be dishonest, he gathers the class and they all set out to return the items where they belong, without getting caught. That'll be a tricky one!"
1,6,Come Back All Is Forgiven,3 Feb. 1978,8.3,It's Mr. Brown's birthday and everyone in the class has brought him a present. However it's not all happy returns when Ms. Couteney informs Mr. Brown that his trial month is over and she is not satisfied with his teaching.
1,7,The Cheating Game,10 Feb. 1978,8.2,"In order to see how prepared they are for their upcoming exam, the students prepare to take a mock exam. But when the students see that their teacher has no faith in them, they decide to cheat in order to ace the exam."
1,8,Better to Have Loved and Lost,17 Feb. 1978,8.0,Ali and Suli surprise the class when they announce that they will be getting married. But they all get a much bigger shock when they find out that Ali is already married and planning to take Suli as a second wife.
1,9,Kill or Cure,24 Feb. 1978,8.4,"Mr. Brown becomes ill and cannot come to class so Ms. Courteney takes charge. However the student's English is not up to her expectations, so she sends them away. They all pay a visit to Mr.Brown, each with their own 'remedy' to make Mr.Brown feel better."
1,10,Hello Sailor,3 Mar. 1978,7.7,Juan brings a Russian sailor friend to the class who has come to England to escape Russia. Everything seems to be going alright until the captain of a Russian ship comes to the classroom looking for his roaming sailor.
1,11,A Point of Honour,10 Mar. 1978,8.1,Mr. Brown finds himself in a lot of trouble when Danielle tells a pestering teacher that she is engaged to Mr.Brown. He soon finds himself running around the school in an attempt to squash the rumor and avoid a punch-up with the philandering teacher.
