temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Episode #1.1,13 Oct. 2017,7.8,"In 1977, frustrated FBI hostage negotiator Holden Ford finds an unlikely ally in veteran agent Bill Tench and begins studying a new class of murderer."
1,2,Episode #1.2,13 Oct. 2017,8.5,"Holden interviews the eerily articulate murderer Ed Kemper, but his research provokes negative feedback at the Bureau."
1,3,Episode #1.3,13 Oct. 2017,8.3,"Dr Wendy Carr joins Holden and Tench in their first success, when their insights lead to an arrest."
1,4,Episode #1.4,13 Oct. 2017,8.3,Bill and Holden consult with Dr Wendy Carr to begin classifying their subjects and they receive surprising news.
1,5,Episode #1.5,13 Oct. 2017,8.7,Holden and Bill return to a perplexing case in Pennsylvania where a set of clues leading in multiple directions leaves no shortage of suspects.
1,6,Episode #1.6,13 Oct. 2017,8.0,Wendy considers an offer. Holden and Bill struggle to communicate their findings to the judicial system in the baffling Altoona case.
1,7,Episode #1.7,13 Oct. 2017,8.3,Wendy takes a career risk to relocate and join the team full time. Holden and Bill find it harder to keep the emotional intensity of work at bay.
1,8,Episode #1.8,13 Oct. 2017,8.2,Bill and Wendy interview candidates for a fourth member of the team. Holden is intrigued by complaints about a school principal's odd habit.
1,9,Episode #1.9,13 Oct. 2017,8.7,Holden's methods during a disturbing interview with mass murderer Richard Speck create dissension among the team and kick off an internal FBI probe.
1,10,Episode #1.10,13 Oct. 2017,9.2,"The team cracks under the pressure from an in-house review. Holden's bold style elicits a confession but puts his career, relationships and health at risk."
2,1,Episode #2.1,16 Aug. 2019,8.2,"Amid sweeping changes at the BSU, Holden deals with severe repercussions from his close encounter with Ed Kemper."
2,2,Episode #2.2,16 Aug. 2019,8.7,"To glean insight into the elusive BTK killer, Bill and Holden interview Son of Sam, who makes a startling admission."
2,3,Episode #2.3,16 Aug. 2019,8.3,Bill gets drawn into a horrifying crime that hits close to home. Holden receives an intriguing offer while in Atlanta to interview a pair of killers.
2,4,Episode #2.4,16 Aug. 2019,8.6,Holden develops a controversial profile in the Atlanta slayings. Wendy conducts her first interview and finds being on the front lines suits her well.
2,5,Episode #2.5,16 Aug. 2019,9.0,Bill's devastating family situation spills over during his interview with Holden's holy-grail subject: Charlie Manson. Wendy's new romance heats up.
2,6,Episode #2.6,16 Aug. 2019,8.2,The FBI officially sends the BSU to Atlanta to investigate the missing and murdered children. Wendy second-guesses her interview methods.
2,7,Episode #2.7,16 Aug. 2019,8.3,"Hitting a dead end, Holden suggests a bold plan to draw the killer out. Bill's family faces more scrutiny. Wendy chafes as her job begins to shift."
2,8,Episode #2.8,16 Aug. 2019,8.6,Red tape hinders Holden's plan to narrow his suspect pool. A weary and heartsick Bill tries to connect with his son. Wendy rethinks her relationship.
2,9,Episode #2.9,16 Aug. 2019,8.8,The investigation zeroes in on a prime suspect who proves adept at manipulating a volatile situation to his advantage.
