temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,1,19 Feb. 1968,8.3,"Mrs. Russellite sends an invitation to Mr. Rogers so he can see her lampshade collection at her home. Lady Elaine's changes to the geography of the Neighborhood of Make-Believe worry King Friday, who begins to impose new rules and restrictions on Make-Believe."
1,2,2,20 Feb. 1968,8.4,"Mr. Rogers shows how a burlap bag can be many different things when one imagines it. After he turns it into a cape Betty (Lady) Aberlin comes to visit and he lends it to her for strength when she goes to visit her great-uncle, King Friday XIII. Meanwhile, King Friday worries about an invasion of people who want to change the Neighborhood of Make-Believe and drafts her as a border guard."
1,3,3,21 Feb. 1968,8.3,"Because of the border guards, Cornflake S. Pecially refuses to visit the castle. King Friday, who is mindful of this, has a cake delivered to the castle to be cut up."
1,4,4,22 Feb. 1968,8.3,"At the Television house, Rogers brings in a playpen and puppy. Mrs. Carol Saunders also makes her first visit. At the Neighborhood of Make-Believe, King Friday still wants to protect his province, so he sends Handyman Negri to install punch clocks at both ends of it."
1,5,5,23 Feb. 1968,8.4,"After Rogers plays with them, Betty Aberlin takes some helium balloons to the Neighborhood of Make-Believe. Tagging them with a message of peace, she floats them above the castle. When King Friday reads the message, he ceases his efforts to stop change."
1,6,6,26 Feb. 1968,8.9,"To prepare for his scientific endeavor, Rogers puts on a lab coat and compares various shells and shell-like objects, including a turtle shell, a conch shell, an armadillo's armored shell and a suit of armor. In the Neighborhood of Make-Believe, Bud Alder compares oil-based and water-based paints. After sharing his wisdom with X the Owl, X teaches Lady Elaine various bird names."
1,7,7,27 Feb. 1968,8.5,"In the Television house, Rogers takes care of a canary while, in the Neighborhood of Make-Believe, Lady Elaine learns how practice must be needed to learn anything."
1,8,8,28 Feb. 1968,8.9,"The Neighborhood of Make-Believe celebrates a peace party and honors Lynda Martha as a guest, while Lady Elaine Fairchilde dresses up as a dove of peace."
1,9,9,29 Feb. 1968,8.5,"Rogers plays audio tapes of Neighborhood of Make-Believe puppet characters to make the viewers guess who is who. In the Neighborhood of Make-Believe, Royal Coach Saunders plays hide and seek with Lady Elaine and X."
1,10,10,1 Mar. 1968,8.5,"In the Television house, Rogers demonstrates the use of binoculars. In the Neighborhood of Make-Believe, Lady Aberlin dresses up as a snow goose."
1,11,11,4 Mar. 1968,8.3,Henrietta thinks X always has been spending time with Lady Elaine. X alleviates it by inviting Henrietta bird watching.
1,12,12,5 Mar. 1968,8.5,Jewell Walker pretends to do a baseball game and then teaches X arithmetic.
1,13,13,6 Mar. 1968,8.5,"Without asking, Lady Elaine steals King Friday's painting of the Bluebird of Happiness."
1,14,14,7 Mar. 1968,8.6,Rogers improvises on paper how music in a song makes him feel. Professor Joseph Fitzpatrick is also introduced to the Neighborhood of Make-Believe and he discusses Seurat.
1,15,15,8 Mar. 1968,8.6,Rogers bandages his finger to prove that it is still there. Vivian Richman introduces folk songs about feelings.
1,16,16,11 Mar. 1968,8.8,A sculptor visits the Neighborhood of Make-Believe. Lady Aberlin also knits a sweater for Henrietta and X.
1,17,17,12 Mar. 1968,8.6,Rogers brings in a Sicilian donkey whose name is Donkey Hodie. Donkey Hodie is also welcomed to the Neighborhood of Make-Believe. Henrietta learns how he only uses his teeth when he eats his food.
1,18,18,13 Mar. 1968,8.8,"At the Television House, Rogers talks about his boyhood days when he did not practice a clarinet. At the Neighborhood of Make-Believe, Donkey Hodie stays in X's tree until he can find a place to live."
1,19,19,14 Mar. 1968,8.6,Donkey Hodie decides the best place for building a windmill would be in the hills behind the Castle. King Friday objects to this.
1,20,20,15 Mar. 1968,8.6,Mr. Rogers shows a model windmill to help explain how windmills work. The Neighborhood of Make-Believe decides they should prove to King Friday that Donkey Hodie does not bite anyone. This also gets Donkey Hodie to build the windmill behind the castle.
1,21,21,18 Mar. 1968,8.6,Chef Brockett is ready for Donkey Hodie to break ground for the windmill. Brockett also brings in a snowman made from dough.
1,22,22,19 Mar. 1968,8.6,Rogers covers this episode discussing the White House and the U.S. presidents.
1,23,23,20 Mar. 1968,0.0,Rogers discusses the use of eye glasses. Henrietta also receives glasses.
1,24,24,21 Mar. 1968,8.6,Rogers has his eyes examined. King Friday wants Donkey Hodie's windmill to be built somewhere else.
1,25,25,22 Mar. 1968,0.0,"Lady Aberlin, X and Henrietta bring housewarming gifts for Donkey Hodie at his unseen home."
1,26,26,25 Mar. 1968,0.0,Rogers discusses growing and changes a doll's diaper. Nurse Miller also assures Tadpole Frogg he is growing at just the right pace.
1,27,27,26 Mar. 1968,0.0,Rogers makes a toy bed and pretends to make a doll sleep in it. Lady Elaine also wants Edgar Cooke's pillow.
1,28,28,27 Mar. 1968,0.0,"After he locks his pillow in a safe, Edgar Cooke expresses his different feelings. Lady Elaine Fairchilde finds her special toy, which is a boomerang."
1,29,29,28 Mar. 1968,8.2,Rogers demonstrates the use of a loom and sees them being operated by Nantucket weavers.
1,30,30,29 Mar. 1968,0.0,"After Rogers demonstrates the use of violins and violas, he invites Michael Grebanier to play his cello. In the Neighborhood of Make-Believe, Lady Elaine makes a new boomerang trick which is turning everything upside down."
1,31,31,1 Apr. 1968,8.4,Rogers discusses wild animals and Mr. McFeely brings in a Mexican parakeet.
