temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Self-Proclaimed Psychic: Reigen Arataka ~And Mob~,11 Jul. 2016,7.5,"Mob is a high school student in a world of psychics and happens to be the strongest esper there is, trying to fit in with the crowd and suppress his ESP abilities but when he reaches his emotional peak of 100% something terrible emerges."
1,2,Doubts About Youth - The Telepathy Club Appears,19 Jul. 2016,7.6,The Telepathy Club wants Mob to join them to avoid being disbanded for not having enough members but Reigen wants Mob to focus on his job instead.
1,3,"An Invitation to a Meeting - Simply Put, I Just Want to Be Popular",26 Jul. 2016,7.8,"During Body Improvement Club practice, Mob faints and is left in the club room to recover. The Telepathy Club comments that Mob will never be popular even if he trains his body."
1,4,Idiots Only Event - Kin,2 Aug. 2016,8.0,"During the cold open, delinquents from Salt Middle School are in a turf war with a rival school. When the rival delinquents are unable to win, they call for their leader, Teruki ""Teru"" Hanazawa. In spite of being physically unimposing, Teru disposes of the Salt delinquents with ease."
1,5,Ochimusha - Psychic Powers and Me,9 Aug. 2016,8.6,"Mob has promised not to use his powers ever again on humana, but a new psychic; Teru, appears. Will Mob use his powers or refuse the duel?"
1,6,Discord - To Become One,16 Aug. 2016,7.6,The president of the Telepathy Club asks Mob to help her find other espers. And a mysterious man talks to Ritsu mistaking him for his older brother Mob.
1,7,Exaltation - I've Obtained Loss,23 Aug. 2016,7.9,Ritsu meets Dimple who teaches him how to use his new-found powers as thugs from other schools try to find and beat the one responsible for Hanazawa's defeat.
1,8,The Older Brother Bows - Destructive Intent,30 Aug. 2016,8.6,"After Ritsu stirs up trouble with his new found psychic powers, a new psychic; Koyoma, is sent by Claw to capture him"
1,9,Claw - 7th Division,6 Sep. 2016,7.9,Mob and Teru leave to rescue the kidnapped kids from Claw as Ritsu and the others try to escape on their own.
1,10,The Heinous Aura: Mastermind,13 Sep. 2016,8.2,All the Scars are sent after Mob and Teru as Ritsu and the others continue their escape.
1,11,Master: Leader,20 Sep. 2016,8.9,The captured Mob and Ritsu reunite at last. Reigen arrives at the base and is peculiarly friendly with the guards.
1,12,Mob and Reigen,27 Sep. 2016,9.1,"As Reigen tries to convince Mob to not use his powers against the Scars, something unexpected happens to him."
2,1,Ripped Apart ~Someone Is Watching~,7 Jan. 2019,8.8,"Mob is still trying to lead an ordinary daily life, but the people around him do not allow it and try to get him out of his comfort zone with disastrous results."
2,2,Urban Legends ~Encountering Rumors~,14 Jan. 2019,8.0,Reigen looks for new ways to get some money and decides that urban legends are what will take him out of poverty once and for all.
2,3,One Danger After Another ~Degeneration~,22 Jan. 2019,8.3,"Reigen sets up an official homepage for his Spirits and Such Consultation Office and he immediately starts to get jobs left and right, including a middle-aged man asking Reigen to curse someone and a woman who's being haunted by a ghost. As he was listening to their problems, Mob realizes something. Why do people treat humans and spirits so differently? Meanwhile, Reigen gets another request from a group of college students that want to take a photo at a haunted location, but."
2,4,Inside ~Evil Spirit~,28 Jan. 2019,8.7,"Reigen and Mob receive a new job. This time, their client is a wealthy man named Asagiri Masashi. He's not just rich, but super rich, so Reigen and Mob head to his mansion only to find other self-proclaimed psychics there as well. One of the psychics there happens to include the president of the Rising Sun Spiritual Union, Jodo Kirin. The job is apparently to exorcise the evil spirit that is apparently possessing his daughter, Minori."
2,5,Discord ~Choices~,4 Feb. 2019,9.3,"Mob gets trapped inside a parallel world created by Mogami Keiji. Minori ends up transferring to his class, and Mob becomes the target of bullying. He can't ask anyone for help, and his negative emotions start to build inside. The truth behind the tragedy that Mogami went through when he was alive comes to light. Meanwhile, Reigen and the others were waiting for Mob to regain consciousness back at the Asagiri mansion. Dimple attempts to save Mob by infiltrating Minori's body."
2,6,"Poor, Lonely, Whitey",11 Feb. 2019,8.3,Reigen's loneliness pushes him to achieve even more than ever before without Mob after realising he doesn't have any friends.
2,7,Cornered ~True Identity~,18 Feb. 2019,9.3,"After splitting up with Mob, Reigen starts doing a lot of the jobs on his own. He then gets an offer to appear on a TV program. Reigen is ecstatic and accepts the offer, but this was all a trap set by Jodo Kirin, the president of the Rising Sun Spiritual Union. Jodo corners him during the live filming of the show and the fact that Reigen is a fraud comes to light. Reigen gets bashed from all sides and ends up having to hold a press conference."
2,8,Even Then ~Continue Forward~,25 Feb. 2019,9.3,"The day for the annual marathon and Salt Middle School was drawing nearer. Mob proclaims that if he places in the top 10 he'll tell Tsubomi how he feels about her. Everyone around him cheers Mob on and he starts training hard every day until the day of the event. Meanwhile, Tsubomi and her friend Miki go to Reigen's Spirits and Such Consultation Office with a request. Ritsu happened to be at the office, helping out in Mob's absence, but he hears Tsubomi say something rather surprising."
2,9,Show Me What You've Got ~Band Together~,4 Mar. 2019,8.4,"While The Claw makes their schemes public, Reigen forms a defense team."
2,10,Collision ~Power Type~,11 Mar. 2019,8.8,"The boss of the Claw, Suzuki Toichiro barricades himself into Seasoning City Culture Tower after declaring war on the world. After instantly getting rid of the police barriers, they make their next move."
2,11,Guidance ~Psychic Sensor~,18 Mar. 2019,9.3,"The total offensive of the psychics who want to defeat Claw has begun, but the Supercives are really powerful and will give them more than one problem."
2,12,The Battle for Social Rehabilitation ~Friendship~,25 Mar. 2019,8.9,"Three years ago, Serizawa was troubled with about his psychic powers. One day, he was visited by the boss, Suzuki Toichiro. Serizawa ends up trusting him since he's the first person to understand what he's going through."
2,13,Boss Fight ~The Final Light~,1 Apr. 2019,9.1,The conclusion of the final fight and the start and reinvigoration of numerous relationships.
