temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Heru Dr. Tenma,6 Apr. 2004,8.1,"Doctor Tenma is a brilliant Japanese neurosurgeon who works at Eisler Memorial Hospital in Germany. He is doing well professionally and is even engaged to the director's daughter, Eva. One day, a boy with a gunshot wound to the head is brought to him."
1,2,Tenraku,14 Apr. 2004,8.3,"Dr. Tenma operates on the boy, disregarding the director's orders. The breach of control leads to Dr. Tenma losing his privileges and position as chief surgeon."
1,3,Satsujin jiken,21 Apr. 2004,7.9,"The three doctors are found dead, while the twins are reported missing. Tenma becomes a prime suspect for the murder. The chairman reinstates Tenma as the chief surgeon. Nine years later, a suspect in Lunge's robbery investigation is operated by Tenma and can only say one sentence after waking up."
1,4,Shokei no yoru,28 Apr. 2004,8.7,"The suspect Yunkers wakes up. Lunge tries to get a confession from him but fails. The following night, Tenma comes to the hospital with a gift and finds Yunkers running away scared and chases after him to a building. Tenma finds Yunkers held at gunpoint by a man he knows."
1,5,Haideruberugu no shoujo,May 2004,7.9,"In Heidelberg, a girl named Nina Fortner rushes to class. She is a top student and is admired by everyone. She works as a part time pizza delivery girl and also takes karate classes. Nina comes home to find a corny romantic email written to her by an unknown boy. In Koln, Tenma searches for the identity of Yohan. He finds that Yohan lived in a lot of places and went by the names Michael and Franz. A war veteran reiterates that the boy learnt French and English with ease and always wants to hear war stories. Few days later Yohan shows up at Nina's school."
1,6,Shissou kiji,May 2004,8.3,"Tenma visits a Heidelberg newspaper agency. He is permitted by a reporter to look through the archives for the article about the twins' disappearance. They find that Mr.Fortner had filed a missing person's report on a boy. Meanwhile, It's Nina's 20th birthday. She goes to the school counselor to talk about her fainting. Upon recollection, Nina says that the boy made her nostalgic. She gets another email asking her to come to Heidelberg castle. Mr. and Mrs. Fortner are reluctant to share information on the report. Tenma sensing danger hurries to Heidelberg castle."
1,7,Satsugeki no yakata,19 May 2004,8.3,"Tenma and Nina come back to the house and find that the reporter and Nina's parents are dead. They are escorted by two police officers. On the way, Tenma realizes that the officers know more things than they are letting on. He grows suspicious and jumps off a bridge to a river with Nina. The following morning, on the river bank, Nina remembers everything from her past."
1,8,Owarerumi,26 May 2004,7.4,"Inspector Lunge visits Eva Heinemann for information on the tie. Eva says she doesn't know anything about it. Later,at the hospital, Eva confesses her love to Tenma. He doesn't reciprocate. Eva threatens him that she would tell the police about the tie. Tenma resigns from the post. After taking Eva's info, the police round up the hospital to arrest Tenma."
1,9,Rouhei to shoujo,Jun. 2004,8.6,"It is monsoon season. Inspector Lunge interrogates a mercenary, Mr. Hugo Benhardt who trained Dr. Tenma with firearms five months ago. During the stint, Tenma harmonizes Mr. Hugo's life with the little chore girl whose mother he killed during Myanmar war."
1,10,Kesareta Kako,Jun. 2004,7.7,"A city council member and his wife are killed in Verden, Germany. Tenma believes that Johan could be the murderer, so he breaks into the council member's home for clues. There he meets a petty thief named Heckel. Heckel says that he saw the murderer and leads Tenma to the murderer's house..."
1,11,511 Kindâhaimu,16 Jun. 2004,8.3,"Tenma learns that Johan used to be in an orphanage known as Kinderheim 511, where he meets an injured boy named Dieter and a former East German official named Hartmann who used to work there."
1,12,Sasayakana jikken,23 Jun. 2004,8.3,"Dieter is picked up by Hartmann before Tenma could return, and Tenma learns more about the experiments in Kinderheim 511."
1,13,Petora to Shûman,30 Jun. 2004,8.2,"In a small village, Dr. Schumann worries over the health of his sick but stubborn old friend, Petra."
1,14,Nokosareta otoko Nokosareta Onna,7 Jul. 2004,7.9,"Inspector Lunge investigates the murder of a prostitute and suspects a senator named Dr. Boltzmann of involvement. His dedication to his work however takes a toll on his family life. Meanwhile, the vindictive Eva continues to press Lunge to catch Tenma. She also has a new lover, her gardener."
1,15,Bî mai beibî,14 Jul. 2004,7.9,"Dr. Tenma and Nina Fortner's investigations lead them to a powerful man known as 'The Baby', who belongs in an extremist organization. They soon learn that the organization has special plans for the Turkish district tomorrow."
1,16,Vorufu no kokuhaku,20 Jul. 2004,8.2,"The Baby leads Nina to Professor Geidlitz, one of the leaders of a right-wing extremist organization. Geidlitz tells Nina about his plan to find Johan and turn him into the leader of his organization, and informs her that he needs Nina in order to do so. Meanwhile, Tenma gets into trouble when he is caught by the Baby."
1,17,Saikai,27 Jul. 2004,8.4,"General Wolf is the first person who recognized Johan's talents. Having experienced how terrifying Johan is, he asks Tenma to kill him. But Tenma threatens one of the general's subordinates and escapes to Frankfurt in order to prevent the right-wing extremists from burning down the Turkish part of town. ..."
1,18,Gohaime no satou,3 Aug. 2004,8.1,"Nina is held by the police as a witness to the plan to burn down the Turkish quarter but is released when Mr. Rosso appears, the owner of a small restaurant where Nina worked after parting ways with Tenma. It's been a long time since they've met, and when Nina sees Rosso pour five spoonfuls of sugar into his coffee, she finally smiles again."
