temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Whither Canada?,5 Oct. 1969,8.1,"'It's Wolfgang Amadeus Mozart', Famous Deaths, Italian Lesson, Whizzo Butter, 'It's the Arts', Arthur ""Two-Sheds"" Jackson, Cycling Race, and The Funniest Joke in the World."
1,2,Sex and Violence,12 Oct. 1969,7.9,"Flying Sheep, French Lecture on Sheep-Aircraft, A Man With Three Buttocks, A Man With Two Noses, Musical Mice, Marriage Guidance Counselor, The Wacky Queen, Working-Class Playwright, A Scotsman on a Horse, The Wrestling Epilogue, and The Mouse Problem."
1,3,How to Recognise Different Types of Trees from Quite a Long Way Away,19 Oct. 1969,8.6,"Court Scene, The Larch, Bicycle Repair Man, Children's Stories, Restaurant Sketch, Seduced Milkmen, Stolen News Reader, Children's Interview, and Nudge Nudge."
1,4,Owl-Stretching Time,26 Oct. 1969,8.1,A change from street clothes to swim trunks turns into a burlesque act; a karate class exercises defense tactics against fresh fruit; a man tries to buy a book about false teeth.
1,5,Man's Crisis of Identity in the Latter Half of the 20th Century,16 Nov. 1969,8.3,"Confuse-a-Cat, The Smuggler, A Duck, a Cat and a Lizard (Discussion), Vox Pops on Smuggling, Police Raid, Letters on Vox Pops, Newsreader Arrested, Erotic Film, Cartoon - Charles Fatless, Silly Job Interview, Careers Advisory Board, Burglar/Encyclopaedia Salesman"
1,6,"The BBC Entry for the Zinc Stoat of Budapest (or, It's the Arts)",23 Nov. 1969,8.1,"Sketches include: a German composer with an extraordinarily long name; crooks plan an elaborate scheme to buy a watch; a chocolate-company owner markets ""Crunchy Frog."""
1,7,You're No Fun Anymore,30 Nov. 1969,7.9,Invaders from another galaxy turn Englishmen into Scotsmen. Also: a comedy about camels; a corporate board meeting.
1,8,Full Frontal Nudity,7 Dec. 1969,8.8,A pet-shop customer returns his dead parrot; a gang of female senior citizens attacks a town's young men; a young army officer who joined the service to water-ski tries to resign.
1,9,"The Ant, an Introduction",14 Dec. 1969,8.5,A man with double vision organizes a mountain-climbing expedition; llamas are celebrated in a rousing Spanish song; a barber is afraid to cut hair; a couple's romantic evening is ruined by uncouth visitors.
1,10,Untitled,21 Dec. 1969,7.8,"Sketches include: Bank Robber in Lingerie Shop, It's a Tree, Ron Obvious, Pet Conversations, Gorilla Librarian, Strangers in the Night"
1,11,The Royal Philharmonic Orchestra Goes to the Bathroom,28 Dec. 1969,8.0,A half-inch-tall man appears on a talk show; a town's women's guild reenacts Pearl Harbor; the entire Royal Philharmonic Orchestra retires to the restroom.
1,12,The Naked Ant,4 Jan. 1970,8.5,The 127th annual Twit of the Year Show. Also: Hitler and Himmler are guests for tea in a boarding house; a BBC broadcast is interrupted when a British minister falls into a fissure.
1,13,Intermission,11 Jan. 1970,8.1,"Among ""historical"" impersonations are Cardinal Richelieu as Petula Clark and Julius Caesar as Eddie Waring. Also: a police fairy tale; a vegetarian restaurant's menu, featuring a naked man with an apple in his mouth."
2,1,Dinsdale!,15 Sep. 1970,8.7,A sketch about the Ministry of Silly Walks. Also: a British minister---attired in a pink tulle dress---talks about housing; 30 gas-company men investigate the installation of a stove; a giant hedgehog wanders London.
2,2,The Spanish Inquisition,22 Sep. 1970,9.1,"An offbeat look at the Spanish Inquisition; an unconventional version of ""Wuthering Heights."" Also: a jury plays charades while delivering its verdict; a man attempts to find one nontaxable pleasure."
2,3,Déjà Vu,29 Sep. 1970,8.3,"Sketches include: Flying Lessons, Hijacked Plane, Psychiatrist Milkman, Complaints, Déjà vu."
2,4,The Buzz Aldrin Show,20 Oct. 1970,8.3,A supersleuth bishop investigates a suspicious insurance business; an elderly couple construct a house that has no walls.
2,5,Live from the Grill-o-Mat,27 Oct. 1970,8.0,"Contestants vie for incriminating photos in ""The Blackmail Game""; a boxer spars with schoolgirls."
2,6,It's a Living,3 Nov. 1970,7.9,"Sketches include: The time on BBC 1, School Prize Giving, Films by Mr. Dibley, Timmy Williams Interview, Election Night Special"
2,7,The Attila the Hun Show,10 Nov. 1970,7.9,"""The Attila the Hun Show""; a burlesque performance by government ministers; a documentary study of village idiots. Also: political groupies pursue MPs."
2,8,Archaeology Today,17 Nov. 1970,8.1,"A dissatisfied bridegroom tries to exchange his spouse; hunters pursue a terrifying mosquito; domestic problems interrupt the work of Beethoven, Shakespeare, Michelangelo and other creative geniuses."
2,9,How to Recognise Different Parts of the Body,24 Nov. 1970,8.3,"A University of Woolamaloo philosophy-department meeting---the members of which are all named Bruce; an exploding penguin; a radio version of ""The Death of Mary Queen of Scots."" Also: advice on how to pick up a cosmetic surgeon."
2,10,Scott of the Antarctic,1 Dec. 1970,7.8,"Foam-rubber snow and a stuffed lion are featured in a scene from ""Scott of the Antarctic""; a football match is waged between gynecologists and Long John Silver impersonators."
