temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Mr. Bean,1 Jan. 1990,8.9,"Story 1: Mr Bean sits an exam and is blissfully happy until, too late, he realizes that he has studied the wrong maths equations. Story 2: Mr Bean tries to change into his swimming trunks at the beach without anyone seeing his bits. Story 3: Mr Bean tries to stifle a sneeze in church."
1,2,The Return of Mr. Bean,5 Nov. 1990,8.8,"Mr. Bean goes to a department store and buys various items. Afterwards, he goes to a fancy restaurant where he tries to dispose his awful-tasting meal. Finally, Bean goes to a Royal greeting and gets into mischief."
1,3,The Curse of Mr. Bean,30 Dec. 1990,8.9,"Mr. Bean goes to a swimming pool, where he finds himself scared to death on the high diving board. When he's done, he tries several different ways to get his car out of the parking garage when he doesn't have enough money to do it the normal way. After that, he sits on a park bench and uses an unusual method of making himself a sandwich. Finally, he goes to a movie theater and tries to survive a terrifying horror with his girlfriend."
1,4,Mr. Bean Goes to Town,15 Oct. 1991,8.5,"Mr Bean purchases a new TV, only to experience a spot of reception trouble. He then takes a stroll in the park to try out his new camera, which is promptly stolen. This leads to an identity parade, where Bean does his best to discover the identity of the camera thief. Later, Bean's night on the town spells disaster for a stage magician. Lastly, Mr Bean shows of his dancing skills at Club Phut."
1,5,The Trouble with Mr. Bean,1 Jan. 1992,8.7,"Mr Bean, late for his dental appointment, tries to get dressed and clean his teeth whilst on the way. After arriving just in time for the appointment, he ends up administering an anesthetic to the hapless dentist. After visiting the dentist, Bean has a picnic in the park, where he tangles with a pesky fly and a remote-control toy boat."
1,6,Mr. Bean Rides Again,17 Feb. 1992,8.6,"At the bus stop, Mr Bean tries his best to revive a heart attack victim before using an ambulance to jump-start his own mini-car. Later, when posting a letter, he loses his only stamp, but that doesn't stop him from sending his letter on its way. Whilst preparing for his holiday, Mr Bean demonstrates a novel (if not entirely efficient) method of packing, then disposes of a bothersome train passenger, and tries to entertain an airsick boy during a plane flight."
1,7,"Merry Christmas, Mr. Bean",29 Dec. 1992,9.0,"While Christmas shopping, Mr Bean purchases a bulky string of tree lights before making a shambles of a department store toy section. He later manages to acquire a free turkey and Christmas tree, and attempts to conduct a Salvation Army band. Finally, during Christmas dinner, Bean has quite a surprise in store for his long-suffering girlfriend."
1,8,Mr. Bean in Room 426,17 Feb. 1993,8.8,"Mr. Bean goes to a hotel where he causes trouble and seeks competition in his hotel neighbor. After he eats some spoiled oysters, he wakes up at night from some loud noise and ends up being locked out of his room."
1,9,Do-It-Yourself Mr. Bean,10 Jan. 1994,8.9,"Mr. Bean hosts a New Year's party with his friends Rupert and Hubert. The next day, Bean buys many tools and appliances to decorate and improve his apartment. He decides to paint his room by covering everything in newspaper and using a firecracker to blow up a paint can and paint his room."
1,10,"Mind the Baby, Mr. Bean",25 Apr. 1994,8.5,"Mr. Bean spends a rather unusual day at a Funfair attraction with a rather unusual baby which he accidentally found. Mr. Bean tries to find ways to keep the baby occupied while he goes on his rides. In the end, the baby is returned to its mother and Mr. Bean calls it a day."
1,11,Back to School Mr. Bean,26 Oct. 1994,8.6,Mr. Bean goes back to school for an orientation day while he sees the different projects and activities in which he gets into mischief.
1,12,"Tee Off, Mr. Bean",20 Sep. 1995,8.5,"Mr. Bean goes to a laundromat where he washes his clothes and other various items and ends up causing trouble with the other people and their laundry. Afterwards, he heads off to a mini golf course where he plays but ends up following the ball everywhere it goes and continues to play even when it's not on the course."
1,13,Goodnight Mr. Bean,31 Oct. 1995,8.7,"Mr. Bean goes to the hospital to have a tea kettle removed from his hand, and while trying to get in faster ends up with him getting in much later. Afterwards, he decorates a British guard so that he can take a picture. After he has insomnia, Mr. Bean finally finds the solution and falls asleep."
1,14,Hair by Mr. Bean of London,15 Nov. 1995,8.6,"When Mr. Bean has to wait a few minutes for the hairdresser who's called away by the telephone, he starts playing barber, so three consecutive costumers have their hair done by him, but his inverse Midastouch strikes again: woe their hair and the real hairdresser they complain to! Next he goes to a pet show, starting of by cheating at a dexterity game by unplugging the fault-detection and next deciding to play 'hit the headmaster' not just with the provided wet sponges, but wit anything not too heavy for him to lift; then he enters his teddy-bear for the obedience ..."
1,15,The Best Bits of Mr. Bean,15 Dec. 1995,8.4,"Mr. Bean and Teddy venture into the loft to look for an umbrella and uncover items from past experiences, like the time Mr. Bean had to dress himself on the way to the dentist, or the time he fell asleep in church or when the Christmas turkey wound up on his head and even the time a tank crushed his Mini."
