temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,The Green Slime,1 Sep. 2015,6.9,Earth-orbiting inventor Joel Hodgson invites us to watch Batalla más allá de las estrellas (1968) with him and his robot friends.
1,1,Invaders from the Deep,24 Nov. 1988,7.0,"In between tending to some sick vacuum-flowers, Joel Hodgson and his robot buddy Crow begin their first movie-riffing experiment aboard the Satellite of Love."
1,2,Revenge of the Mysterons from Mars,24 Nov. 1988,7.1,Joel and his faithful robot companions celebrate Thanksgiving by scarfing down a chopped up Captain Scarlet serial repackaged as a TV film.
1,3,Star Force: Fugitive Alien II,27 Nov. 1988,7.2,Today's experiment features real humans from Japan and a budget that must've been tens of dollars.
1,4,Gamera vs. Barugon,4 Dec. 1988,7.1,The historic first meeting between Gamera and the crew of the Satellite of Love.
1,5,Gamera,11 Dec. 1988,6.8,"Crow is a frozen Christmas tree and Tom is busy, so Joel has to watch the original Gamera film all by himself."
1,6,Gamera vs. Gaos,18 Dec. 1988,6.7,"Tom Servo gets his new ""Mighty Voice"" and a chance to use it during another Gamera film. Crow is still frozen."
1,7,Gamera vs. Zigra,31 Dec. 1988,7.2,"Crow gets unfrozen just in time for yet another Gamera film, and we meet the Mads for the first time."
1,8,Gamera vs. Guiron,8 Jan. 1989,7.2,"As two Earth boys plead for Gamera to rescue them from a planet of cannibals, Crow experiences a wonderful dream in which he turn the tables on the Mads."
1,9,Phase IV,15 Jan. 1989,7.3,This week's film is a deep sci-fi story about ants that leaves Crow wishing he'd brought a pair of boots into the theater.
1,10,Cosmic Princess,22 Jan. 1989,7.3,The stranded crew of the Satellite of Love have no sympathy for the stranded crew of Moonbase Alpha when they take in two repackaged episodes of Space: 1999.
1,11,Humanoid Woman,29 Jan. 1989,7.3,A Russian film about a bug-eyed alien babe is the backdrop for a variety of antics aboard the Satellite of Love.
1,12,Fugitive Alien,5 Feb. 1989,7.1,"With Crow disassembled, Joel and Servo are left by themselves to tackle Part 1 of this baffling Japanese sci-fi epic."
1,13,SST: Death Flight,19 Feb. 1989,7.3,"Joel, Crow, and Servo sit through a star-studded TV movie about a doomed SST flight while Gypsy goes through some interesting changes."
1,14,Mighty Jack,5 Mar. 1989,7.1,"The 007-ish exploits of Mighty Jack -- a government organization created to defeat the notorious crime syndicate known as ""Q"" -- took everything that was bad about espionage movies and threw the rest out."
1,15,Superdome,12 Mar. 1989,6.8,"Servo writes a letter to his uncle in which he recalls many fond memories of his time aboard the satellite. Meanwhile, the crew are subjected to a TV drama about a New Orleans Super Bowl full of intrigue, romance, and catfish."
1,16,City on Fire,19 Mar. 1989,6.9,"This week's experiment is disastrous disaster film Emergencia (1979), which assures viewers the events depicted could happen in any city, anywhere. Even, as Tom points out, while we're watching this."
1,17,Time of the Apes,2 Apr. 1989,7.2,"Adapted (i.e., shredded and stitched into incoherence) from the 1974 Japanese series Saru No Gundan, Time Of The Apes follows the travails of a scientist and two small children who are accidentally frozen and thaw into a future ruled by apes."
1,18,The Million Eyes of Sumuru,7 May 1989,7.3,"As groovy femme fatale Sumuru plots world domination, Joel gets even with the 'bots for locking him out of the ship."
1,19,Hangar 18,14 May 1989,7.0,"The crew discover disturbing secrets in Crow's memory bank while watching a film about bland government officials investigating, and then trying to cover up, a flying saucer crash."
1,20,The Last Chase,21 May 1989,7.0,This week's film features two intrepid heroes fleeing their Orwellian futuristic society in a souped-up racecar - but Joel and friends are more interested in reading fan mail from their adoring public.
1,21,The Legend of Dinosaurs,28 May 1989,7.2,Joel and the Bots suffer through a dreary '70s dinosaur movie from Japan. Where's Doug McClure when you need him?
2,1,The Crawling Eye,18 Nov. 1989,7.4,"In the first national broadcast of MST3K, the Mads have moved into Deep 13, Joel has spruced up the Bots, and Forrest Tucker sleepwalks his way through this week's literally eye-popping film."
2,2,The Robot vs. the Aztec Mummy,25 Nov. 1989,6.9,"The Mads fall victim to their own newly-installed security system, and the unfortunately-shaped Satellite of Love is besieged by Demon Dogs hoping to pray to the Giant Bone."
2,3,The Mad Monster,2 Dec. 1989,7.1,Things get hairy on the Satellite of Love thanks to the lupine antics of The Mad Monster (1942) and the second chapter of Radar Men from the Moon (1952).
2,4,Women of the Prehistoric Planet,20 Feb. 1990,7.6,Our intrepid hosts are trapped between Isaac Asimov's Literary Doomsday Device and Robert Ito from Quincy (1976) in a fur caveman outfit.
2,5,The Corpse Vanishes,9 Dec. 1989,7.0,"The Team presents and screens the 1942 movie ""The Corpse Vanishes""."
2,6,The Crawling Hand,16 Dec. 1989,7.4,"Joel and the Bots have a tough time agreeing on how to spend their free time between segments of the teen sci-fi thriller ""The Crawling Hand""."
2,7,Robot Monster,23 Dec. 1989,7.4,"The guys watch a post-apocalyptic film about aliens and robots, riff on two more installments of ""Radar Men from the Moon"", and try to understand surrealism."
2,8,The Slime People,30 Dec. 1989,7.3,"The crew puts Commando Cody on trial for ""crimes against reality"" after watching the sixth episode of Radar Men while slime monsters invade Los Angeles in ""The Slime People""."
2,9,Project Moonbase,6 Jan. 1990,7.4,Joel and the Bots watch two more Commando Cody episodes and a film about a sabotaged space station. They also introduce their new product SPACOM to the Mads.
2,10,Robot Holocaust,13 Jan. 1990,7.5,"When the ninth chapter of Radar Men from the Moon (1952) encounters technical difficulties, it gives the Mads an earlier opportunity to bring the Satellite of Love and its crew to their knees via Robot Holocaust (1987)."
2,11,Moon Zero Two,20 Jan. 1990,7.6,The crew stages their own moon landing pageant as they watch the film Luna cero dos (1969) about an astronaut hired to capture an asteroid made of sapphires.
2,12,Untamed Youth,27 Jan. 1990,7.8,Joel invents a pipe with a smoke detector and a sprinkler system built in for the invention exchange. The guys watch a 1950s teen flick about youths sentenced to manual labor at a cotton farm.
2,13,The Black Scorpion,3 Feb. 1990,7.5,Giant scorpions rise out of a volcano and attack Mexico in El escorpión negro (1957) while the Bots throw a party for Joel.
3,1,Rocketship X-M,22 Sep. 1990,7.7,"An expedition to the moon goes wrong when a group of astronauts accidentally lands on Mars in Cohete K-1 (1950). Joel and the Bots are visited by Valeria from ""Robot Holocaust"" and Frank learns to push the button."
3,2,The Sidehackers,29 Sep. 1990,7.5,A motorcycle racer and a violent stunt rider start a war of vengeance against each other. Joel and the Bots write a song inspired by the movie and chat with a few characters from the film on the Hexfield.
3,3,Jungle Goddess,6 Oct. 1990,8.0,An heiress stranded in Africa is made queen of the jungle in the feature film and Bela Lugosi stars in the short El acecho del fantasma (1939). Joel and the Bots create their own infomercial.
3,4,Catalina Caper,13 Oct. 1990,7.7,A map heist goes horribly wrong off the coast of Catalina and it's up to a bunch of scantily clad scuba-partying teens to save the day.
3,5,Rocket Attack U.S.A.,27 Oct. 1990,7.7,The crew watches the second chapter of El acecho del fantasma (1939) and a film about an American spy sent to the Soviet Union to investigate a missile attack. Joel hosts a quiz show with the Bots.
3,6,Ring of Terror,3 Nov. 1990,7.6,A college med student's final fraternity initiation goes wrong when he's assigned to retrieve a gold ring from a cadaver he had recently performed an autopsy on.
3,7,Wild Rebels,17 Nov. 1990,7.3,"The crew takes on The Wild Rebels (1967), a movie about a stock-car racer who is recruited as a getaway driver for a biker gang. The guys get into the spirit of the film by making a commercial for ""Wild Rebels"" cereal and Joel explains how to appreciate a bad movie."
3,8,Lost Continent,24 Nov. 1990,7.7,A military team sent to search for a lost rocket ends up trapped on a mountain inhabited by dinosaurs in Lost Continent (1951). Joel refuses to enter the theater during movie sign but the Mads have ways of forcing him into the theater.
3,9,The Hellcats,8 Dec. 1990,7.4,"Joel and the 'bots attempt to puzzle out what's going on in the unintelligible biker film, The Hellcats (1968). Flashbacks from earlier episodes fill out the host segments."
3,10,King Dinosaur,22 Dec. 1990,7.7,"Joel and the Bots watch X Marks the Spot (1942), a short in which a reckless driver finds himself on trial in heaven for his carelessness behind the wheel. In King Dinosaur (1955), the crew pokes fun as scientists are terrorized by snakes, bugs, and dinosaurs on a newly discovered planet."
3,11,First Spaceship on Venus,29 Dec. 1990,7.7,Joel and the 'bots suffer through Destino Espacial: Venus (1960). A gorilla in a foreign ship attacks the Satellite of Love.
3,12,Godzilla vs. Megalon,19 Jan. 1991,8.0,"The Mads force Joel and the 'bots to watch Gorgo y Superman se citan en Tokio (1973), the cheesy Japanese monster mash featuring Godzilla's infamous flying kick."
3,13,Godzilla vs. the Sea Monster,2 Feb. 1991,8.0,"The Mads force another Godzilla movie on Joel and the Bots. In this one, a group of friends are shipwrecked on an island guarded by a crab monster named Ebirah while Godzilla sleeps in a nearby cave. The Bots meet Mothra on the Hexfield and the Mads start re-thinking the structure of their experiments."
4,1,Cave Dwellers,1 Jun. 1991,8.2,Joel and the Bots endure Miles O'Keeffe as Ator while Doctor F. endures Frank's efforts to be Mike Douglas.
4,2,Gamera,8 Jun. 1991,8.1,A giant mutated turtle wakes from eons of slumber and attacks Japan in El mundo bajo el terror (1965). The Bots create their own beauty salon and are treated to a visit from Gamera himself on the Hexfield.
4,3,Pod People,15 Jun. 1991,8.3,"Alien eggs hatch on Earth after a meteor crash which spells trouble for a vacationing family, a singer on tour with his entourage, and a pair of poachers in ""Pod People"" (Los nuevos extraterrestres (1983)). Joel and the Bots listen to some ""new age"" music and write their own song."
4,4,Gamera vs. Barugon,22 Jun. 1991,7.8,"The Mads send the crew another Gamera movie. This time, a group of travelers scour the jungle in search of a giant opal. What they find is actually the egg of a lizard-dog creature called Barugon. Later, Joel and the Bots enjoy a simulated day at the beach."
4,5,Stranded in Space,29 Jun. 1991,7.5,"The gang on the Satellite of Love have a gag weapon war with the Mads and watch an unsuccessful TV pilot about an astronaut stranded on an Earth-like planet where ""perfect order"" rules."
4,6,Time of the Apes,13 Jul. 1991,8.1,"Joel and the Bots watch a Japanese rip-off of Planet of the Apes, stage their own version of ""Inherit the Wind"", and Crow shows off the latest in ape fashion."
4,7,Daddy-O,20 Jul. 1991,8.2,"The crew riff on the short ""Alphabet Antics"" before watching Daddy-O (1958), a film about a group of teenage beatniks who spend their free time drag-racing. Joel is inspired to write the song ""Hike Your Pants Up"" and the Bots reenact a drag race scene from the movie."
