temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Saikyô no otoko,1 Oct. 2015,8.6,One Punch Man is too strong and growing tired of his weak enemies. Will he ever be faced with a real challenge?
1,2,Kokô no saibôgu,12 Oct. 2015,8.8,"Genos, a Cyborg who is seeking Justice fights with a Mosquito Monster along with Saitama."
1,3,Shûnen no kagakusha,19 Oct. 2015,8.9,Saitama and Genos track down an evil scientist who wants to know the secret to Saitama's power.
1,4,Imadoki no ninja,25 Oct. 2015,8.8,"A group of Bald thugs use body armors to terrorize rich people. Sonic Speed, a hired ninja fights them. Unfortunately he meets with Saitama who is also a Bald."
1,5,Kyûkoku no shi,1 Nov. 2015,9.0,"Determined to get a little recognition, Saitama decides to become a pro hero, but first, he must pass the Hero Association tests and become a full-fledged member."
1,6,Saikyô no toshi,8 Nov. 2015,8.7,"To remain on the ""Hero"" list Saitama has to show some activity in every week. Currently the City Z is defined as the 'ghost town'. Heroes are gathered together to find out whats going on."
1,7,Shikô no deshi,15 Nov. 2015,9.0,A giant meteor threatens to destroy City Z. All S-Rank heroes are called to City Z to destroy the meteor before its collision.
1,8,Shinkai no Ô,22 Nov. 2015,9.0,Several Sea Folk appear and begin attacking citizens. They are easily defeated until The Deep Sea King appears and defeats many heroes including an S-Class.
1,9,Fukutsu no seigi,30 Nov. 2015,9.3,The fight with the Deep Sea King concludes and Saitama and Genos reflect on it as well as Saitama's promotion to B-Class.
1,10,Katsute nai hodo no kiki,7 Dec. 2015,8.9,Saitama and all class S heroes are gathered together to be informed of an imminent extremely danger threat.
1,11,Zen ushû no hasha,13 Dec. 2015,9.2,An alien conqueror lands in a spaceship to conquer the Earth during the S class heroes meeting.
1,12,Saikyô no hîrô,20 Dec. 2015,9.5,Saitama takes on the alien leader in epic battle as the S class heroes fight the alien warriors and destroy the spaceship.
2,1,Return of the Hero,10 Apr. 2019,8.2,"Saitama and Genos are out shopping when they come across G4, a demonic robot on a mission to eliminate King. Meanwhile, Sitch attempts to recruit various assassins and villains."
2,2,Human Monster,17 Apr. 2019,8.5,"Garou issues a declaration of war on the Hero Association through terrifying means, Hellish Blizzard gives Saitama an ultimatum, and Genos decides to eliminate his master's stalker, Speed-o'."
2,3,The Hunt Begins,24 Apr. 2019,9.1,"Garou attacks the S-rank hero Tank top Master, his followers, and Mumen Rider. Garou continues his pursuit of attacking heroes. Saitama buys a wig to join a martial arts tournament after having a brief exchange with Garou."
2,4,Metal Bat,1 May 2019,7.7,"Assigned to guard a VIP and his son, Metal Bat couldn't be less thrilled. But when the group is suddenly attacked all hell breaks loose. Meanwhile, Saitama has disguised himself as Charanko in order to enter the ""Super Fight"" martial arts tournament."
2,5,The Martial Arts Tournament,8 May 2019,7.4,"Metal bat fights Garo. A lot of monsters surface around multiple cities and it is difficult for all the heroes to fight them. Meanwhile, Saitama is at the tournament and Genos is in the audience."
2,6,The Uprising of the Monsters,15 May 2019,7.7,Saitama continues facing opponents in the tournament. Genos receives a stress signal depicting that there are 5 monsters in City C and goes to kill them. Blizzard tries to fight a monster but she turns out be very strong.
2,7,Class S Heroes,22 May 2019,8.9,"As the Super Fight tournament heads for its grand finale, the Class S heroes battle to hold back the tide of monster incursions. Meanwhile, Atomic Samurai is setting in motion a plan of his own."
2,8,The Resistance of the Strong,29 May 2019,8.6,"Goketsu, the first Super Fight Tournament champion, arrives in the stadium. Having now become a monster, he's aiming to force the Super Fight competitors to turn into monsters themselves. When several do, it's up to Suiryu to take them on alone."
2,9,The Troubles of the Strongest,12 Jun. 2019,8.1,"Saitama returns to the battle, but is starting to get through a gloomy state because of an obvious reason."
2,10,The Encircling Net of Justice,19 Jun. 2019,7.9,"The Monster Association invited all of the S-Class heroes to their hideout in City Z. Meanwhile, Garo encounters a serious threat."
2,11,Everyone's Dignity,26 Jun. 2019,9.1,Garou continues his fight against the A Class heroes while some prominent S Class heroes make special entrances.
2,12,Cleaning Up the Disciple's Mess,3 Jul. 2019,8.8,"As the fight continues between Garou and his former master, Bang, a prominent threat from the Monster Association reappears."
