temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Big Brother,8 Sep. 1981,7.9,"Del employs younger brother Rodney as a member of Trotters' Independent Traders, despite warnings from his business colleagues. When Rodney decides to become the Trotters' financial adviser - monitoring the accounts and keeping Del's dodgy dealings in check - Del has second thoughts about their partnership. Cracks show in the partnership when Rodney inadvertently bungles a deal with Trigger. But despite Del's anger, it turns out that Rodder's advice would have prevented the purchase of 25 briefcases that are locked with the serial number inside. Del and Rodney have ..."
1,2,Go West Young Man,15 Sep. 1981,8.4,"Del and Rodney are once again hunting for bargains. And after stopping off at Boycie's car lot they spy a Mark II Cortina that's being used as a part-exchange for a Vanden Plas. Del knocks the asking price down to £25, so long as he houses Boycie's E type jag for a week - Del hopes to use the Jag to impress his bit on the side. Del ups the price tag of the Cortina to £199 and gets interest from an Australian buyer. And with cash in their pockets, a Jag to drive, and both of them single, Rodney talks Del into heading off for a night on the tiles. The Trotters' night ..."
1,3,Cash and Curry,22 Sep. 1981,8.2,"Eager to forge new business contacts, Del befriends Vimmal Malik, a wealthy businessman who seems eager to work with Trotters Independent Traders. After a dance at the Camberwell Chamber of Trade, Del and Vimmal are cornered by Mr Ram and his heavy boys. It seems that Vimmal is holding onto a pricey porcelain family heirloom that belongs to the Ram family - and they want it back. In order to make an impression, Del offers to mediate between the two men, especially because Mr Ram is willing to pay four grand for the return of the statue to his family. Unluckily for Del..."
1,4,The Second Time Around,29 Sep. 1981,7.8,"Del meets Trigger in The Nag's Head, and he's stunned to hear that Pauline Harris, his ex-fiancée, is back in Peckham - twelve years after she left for America. Despite their engagement, Pauline left Del for another Mod with a faster scooter. But with her return, Del is willing to forgive and forget, and it's not long before they are engaged again - much to the disapproval of Rodney and Grandad. Things get worse when Pauline moves into the flat and refuses to do her share of the housework. As her behaviour becomes unbearable, Rodders and Gramps leave for Auntie Rose's..."
1,5,A Slow Bus to Chingford,6 Oct. 1981,7.7,"The trouble starts when Del persuades the local bus company to hand over one of their open-top buses in exchange for Rodney working as a Trainee Nocturnal Security Officer - part of their latest company, Trotter Watch. As part of the deal, Rodney has to suffer the nerve-jangling experience of patrolling the bus station on Tyler Street throughout the night. The next part of Del's scheme is the launch of Trotters' Ethnic Tours: a scenic tour around Chingford and Croydon, taking in such ethnic sights as the Lee Valley Viaduct. And despite a great deal of whinging from ..."
1,6,The Russians Are Coming,13 Oct. 1981,8.0,"Another successful dodgy deal means Del has over a grand's worth of lead from a disused factory to get rid of. When Rodney points out the three tons of lead are in fact a D.I.Y nuclear fall-out shelter, Del refuses to believe him until he reads the accompanying brochure. With the threat of nuclear holocaust preying on Rodney's nerves he asks Del what he'd do if he heard the four minute warning. Without an answer, Del considers putting a survival plan into action that means reaching Grandad's allotment in time to take shelter. It's during a practice run for the Trotter..."
1,7,Christmas Crackers,28 Dec. 1981,7.8,"Rodney has ran out of yuletide cheer, as the annual routing of the Trotter festivities are wearing thin. Burnt turkey, charred Christmas pudding, the same old things on television, and nothing but a book lent to him by Mickey Pierce: 'Body Language: The Lost Art.' When Grandad puts on his glad rags and heads to the OAPs' party at the community centre, the Trotter boys head to The Monte Carlo Club. Rodney puts his new-found knowledge of the unspoken language of love to use, but Del Boy has other ideas. As the brothers argue over who's technique is best, the objects of ..."
2,1,The Long Legs of the Law,21 Oct. 1982,8.2,"Del and Grandad are horrified to hear that Rodney is dating a police officer called Sandra. But while Grandad is worried about Sandra knowing about the Trotters' sullied reputation, Del is sweating over the amount of dodgy gear stored in the flat. At the end of their date at the cinema, Rodders brings Sandra back to the flat for a nightcap. As soon as she arrives, Del spots her wearing a stolen watch that Rodney has given her as a gift. Thinking fast, he 'accidentally' pours gin over it and promises to buy her a replacement. Ever the gent, Rodney offers to walk her ..."
2,2,Ashes to Ashes,28 Oct. 1982,8.2,"Trigger is feeling sad after the death of his grandmother, and the Trotters console him. Del, being ever-helpful and out to spot a potential 'earner', sees two old urns at the grandmother's house and persuades Trigger to part with them. When it later transpires that one of the urns actually contains the ashes of Trigger's late grandfather, they feel it's best to do the right thing and dispose of his mortal remains in the most appropriate manner possible - though this isn't as easy as they first thought."
2,3,A Losing Streak,4 Nov. 1982,9.0,"Del is getting into financial trouble - even his double-headed coin can't help him win. He's gambling away his money with no sign of stopping, and he's already £150 down. Nevertheless, when Boycie challenges him to a winner-takes-all poker game, Del is eager to host it in his flat in Mandela House. As the night progresses, Del's luck goes from bad to worse as he ends up owing Boycie all his money, the TITCO van, Grandad's cash, jewellery and even a collection of loose change. But all is not lost, as Del finally turns the tables on Boycie in revenge for fixing all the ..."
