temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,The Routine,1 Mar. 2018,8.6,"In the 'Emerald City' experimental unit of Oswald State Penitentiary, we meet some of the diverse inmates who exist in a pecking order of Gangbangers, Latinos, Muslims, Westies, Aryans and Wiseguys."
1,2,"Visits, Conjugal and Otherwise",14 Jul. 1997,8.3,"With Schibetta and the prison brass in a race to uncover Ortolani's killer (for very different reasons), we see how inmates react to visits both from their wives and (in one case) family members who are also in prison."
1,3,God's Chillin',21 Jul. 1997,8.2,"Friction is growing in the wake of two deaths so Said, Wiseguy leader Schibetta and Gangbanger Jefferson Keane are brought together by Warden Glynn, who tells them to keep their boys quiet or else he'll lock the prison down."
1,4,Capital P,28 Jul. 1997,8.3,"Governor Devlin has reinstated capital punishment in the state--and the first Oz prisoner scheduled to die is Jefferson Keane, who killed a Latino in their skirmish. Before he's executed, Keane donates a kidney to his ailing sister."
1,5,Straight Life,4 Aug. 1997,8.4,"The infiltration of drugs into Oz has reached scary levels, and the efforts of McManus and Glynn to find out who's smuggling backfire in a deadly way. Despite a lockdown, drugs continue to trickle in--and the blame shifts to corrupt officials."
1,6,To Your Health,11 Aug. 1997,8.5,The prison's health service is kept busy by a variety of prisoner complaints: Beecher flips out and sends Schillinger to the hospital; mob boss Schibetta develops stomach problems thanks to some ground glass; and Said has a heart attack.
1,7,Plan B,18 Aug. 1997,8.8,"A recovered Said ostracizes Huseni Mershah for turning his back on him when he was dying--and orders all the Muslims to cast him out. Impressed by Said's power, Groves decides to kill Glynn in his honor, but ends up stabbing an officer by mistake."
1,8,A Game of Checkers,25 Aug. 1997,9.2,"After a visit with his sons, Schillinger realizes he needs to get paroled. He convinces McManus to let him return to Em City with the condition that he leaves Beecher alone. Beecher comes out of the hole hell-bent on making sure Schillinger doesn't get paroled. McManus gets wind of Wittlesey and Ross' contraband operation and orders her to shut it down. Ross makes it very clear to her that this will not happen. The Muslims meet and discuss how the riot will begin. However, two rednecks beat them to it by fighting over a game of checkers. This causes all the inmates to..."
2,1,The Tip,1 Mar. 2018,8.0,"Season Two premiere. In the aftermath of the riot that killed six inmates and two officers, Oz is locked down, and Emerald City prisoners are sent either to solitary or gen pop. A special committee is appointed to investigate the riot."
2,2,Ancient Tribes,20 Jul. 1998,8.1,"Ten months after the riot, Em City is reopened. A recovered McManus creates a council of group representatives to keep order, and initiates classes to help inmates get high-school equivalency diplomas."
2,3,Great Men,27 Jul. 1998,8.1,"Alvarez knows who raped Glynn's daughter, but refuses to tell the warden. Wangler is making progress at school, but his cellmate, Adebisi, isn't a fan of higher education. When Hill's judge is convicted of accepting bribes, Said takes up Hill's case."
2,4,Losing Your Appeal,3 Aug. 1998,8.0,"Augustus Hill's appeal is denied, despite the efforts of Said, who has better luck with Poet's poems. Meanwhile, O'Reily survives his lumpectomy, and now focuses his attention on Dr. Nathan."
2,5,Family Bizness,10 Aug. 1998,8.2,"With their enmity at a boiling point, Adebisi poisons Schibetta--but not fatally. Now that his brother has turned himself in for murder, Glynn no longer owes Schibetta any favors."
2,6,Strange Bedfellows,17 Aug. 1998,8.2,"Schillinger attempts to enlist Said to get him out of jail. Recovered from being poisoned, Schibetta is brutalized by Adebisi, losing 'control' of Oz. Meanwhile, Alvarez is bumped out of the Latino power seat by Raoul Hernandez, a.k.a. El Cid."
2,7,Animal Farm,24 Aug. 1998,8.2,"Cyril O'Reily, Ryan's brother, is imprisoned and falls under Schillinger's control. Ryan tries to get him away into Em City, but Cyril winds up in the hole. El Cid tells Alvarez there's only way he can 'stay in the game.'"
2,8,Escape from Oz,31 Aug. 1998,8.6,"In the Season Two finale, Wittlesey is transferred to general population and replaced by Karl Metzger, a Nazi. Mack and another Aryan try to escape through Busmalis and Rebadow's hole. Hill gets the idea of escaping Oz by hiding in a coffin."
3,1,The Truth and Nothing But...,1 Mar. 2018,8.6,"In the Season Three premiere, Beecher is still in the hospital after Schillinger and Keller broke his bones, Alvarez is still in solitary for blinding Rivera, Adebisi is back in the kitchen and McManus starts dating a newly arrived CO."
3,2,Napoleon's Boney Parts,21 Jul. 1999,8.4,"No one knows who killed Metzger. Meanwhile, McManus hires his friend Sean Murphy as a C.O. and he launches a boxing program. Hill faces a dilemma when a new inmate reveals a terrible crime. Adebisi sticks Nappa with an AIDS-infested hypodermic."
3,3,Legs,28 Jul. 1999,8.4,"In the boxing program, O'Reily spikes Robson's spritzer bottle before his bout with Cyril. Rebadow's mother tries to persuade him to meet his son and grandson. Meanwhile, Nappa finds out he's HIV-positive and is moved to Cell Block E."
3,4,Unnatural Disasters,4 Aug. 1999,8.6,O'Reily and Keller plot to take care of Andrew. McManus is forced by prison brass to settle Howell's sexual-harassment suit. Hanlon's murder convictions get overturned and he's allowed back in the general population--where he finds new troubles.
3,5,U.S. Male,11 Aug. 1999,8.5,"Wangler 'finds out' his wife and her lover were murdered execution-style. Meanwhile, Poet and Pierce get burned by Hernandez, Ricardo and Guerra. Lockdown ensues, and Wangler finds himself vulnerable--and in a cell with Adebisi."
3,6,Cruel and Unusual Punishments,18 Aug. 1999,8.4,"With Cyril scheduled to box Pancamo, O'Reily plans to use his spray-bottle trick, but first he must deal with Cudney. Alvarez sees the photos of Rivera's gouged-out eyes and goes nuts. New roommate Nat Ginzburg offers to be Nappa's secretary."
3,7,Secret Identities,25 Aug. 1999,8.6,Adebisi accuses McManus of sexually harassing Wangler. Bellinger meets with McManus and requests execution by hanging. Just one problem: she's pregnant.
3,8,Out o' Time,1 Sep. 1999,8.5,"Brace yourself for the explosive Season Three finale! As the new millennium approaches, things are heating up in Em City as racial tensions mount. Glynn fires Hughes, but before leaving, Hughes delivers a millennium gift to Adebisi: a gun."
4,1,A Cock and Balls Story,1 Mar. 2018,8.8,Season Four premiere. The world of Oz--an experimental prison within a prison known as the Emerald City--reopens its doors with the inmates still on a 24-hour lockdown and prison officials struggling to end the hostilities.
4,2,Obituaries,19 Jul. 2000,8.2,"The African-American inmates point the finger at McManus for letting Em City get out of hand. After that and his recent erratic behavior, McManus gets the ax from Glynn. Mobay's cover is almost blown."
4,3,The Bill of Wrongs,26 Jul. 2000,8.4,Glynn learns from Adebisi that he was given the gun by former C.O. Hughes. Morales enlists Rebadow's help in taking Hernandez's place in the drug ring run by Adebisi and Pancamo. Mobay finds himself in a dangerous position.
4,4,Works of Mercy,2 Aug. 2000,8.6,"Em City gets a new Unit Manager, Martin Querns, whose methods are hardly orthodox. Beecher's torment over his missing children is worsened when Schillinger presents him with an unexpected package. McManus returns to Oz in a new capacity."
