temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Warring Factions,19 Sep. 2003,7.5,Mark and Jeremy compete for the attentions of their attractive neighbor Toni.
1,2,The Interview,26 Sep. 2003,7.9,"Mark wants Jeremy to get a job in the same office as him so he can pay his share of the rent, however Jeremy isn't keen on the idea. Mark also worries whether Sophie, a co-worker he fancies, may or may not think he's a Nazi."
1,3,On the Pull,3 Oct. 2003,8.3,"Mark and Jeremy go out to a party, where Mark strikes up conversation with a teenage ""goth"". The three go with Toni to a bowling alley, where Mark embarrassingly runs into Sophie, who's going out with a work colleague."
1,4,Mark Makes a Friend,10 Oct. 2003,8.1,"Mark begins to forge a partnership with his idol, business guru Alan Johnson, and begins to change his behaviour to be more like Johnson. Meanwhile, a displeased Jeremy tries to think back to ""the bad thing"" he did with Super Hans in a drug-heavy weekend."
1,5,Dream Job,17 Oct. 2003,8.0,"Mark is angry at Sophie when she gets promoted for a job instead of him, when she told him she wasn't going to apply for it. Jeremy gets a job at a recording studio, which results in Super Hans having an affair with Toni after he brings her in in order to impress her."
1,6,Funeral,24 Oct. 2003,8.1,"Jeremy's uncle dies from terminal illness, providing the perfect opportunity for Mark to ask Sophie to be his date to the funeral. Jeremy finds out his uncle died from a hereditary illness and worries that he might have it."
2,1,Dance Class,12 Nov. 2004,8.6,"In order to pull Sophie away from Jeff, Mark hacks into her email account in order to find out her thoughts on him. This leads him into going to her ""Rainbow Rhythms"" dance class. Here Jeremy meets a sexually liberated American girl named Nancy who is determined to break the most bizarre sexual taboos, with the help of Jeremy. However Jeremy becomes jealous when Gwyn, another member of Rainbow Rhythms, begins to attract the nymphomaniacal attentions of Nancy."
2,2,Jeremy Makes It,19 Nov. 2004,8.3,"Jeremy runs into an old acquaintance from school who he used to pick on but has become successful now and hires Jeremy to make a soundtrack for a film he's making. Mark makes a new friend at work who turns out to hold a fair amount of prejudice. Meanwhile, Sophie spends time with Jeff."
2,3,Local Zero,26 Nov. 2004,7.8,"Jeremy wants to get closer to Nancy so he tries to impress her by joining in her volunteer work for the homeless. However, to Jeremy's dismay, Nancy suggests that in order to break the last sexual taboo, they should stop having sex. Mark manages to get Johnson to pick him to go on a business trip with Sophie instead of Jeff, however trouble begins when embarrassing news footage of himself drinking in a public park makes all Johnson think he is an alcoholic."
2,4,University Challenge,3 Dec. 2004,8.6,"Mark meets a girl called April working in a shoe shop with the ideal combination of good looks and low self esteem, and when he returns to see her again he discover that she has gone back to university, which happens to be the same university he and Jeremy went to. And Jeremy is also going there to do a gig with a band, so they both take a trip down to the university. Mark pretends he's signed up to the same history course as April in order to see more of her and begins to shine in his knowledge of the subject matter."
2,5,The Man Show,10 Dec. 2004,7.9,"When Sophie tells Mark that she and Jeff are moving in together, she tells him that Jeff wants her to spend less time with him. In a bid to get past this he tries to become friends with Jeff, but Jeremy ends up getting on with Jeff much better than he does. However, Mark gets Jeremy to reveal information about Jeff talking to other women and uses it to ruin his relationship with Sophie."
2,6,Wedding,17 Dec. 2004,8.1,"Jeremy agrees to marry Nancy in order to make her eligible for a visa, and whilst she insists it's purely an administrative procedure, Jeremy's sure it will be the happiest administrative procedure of their lives. Mark is pleased to see Sophie and Jeff breaking up but finds it hard to make his move and ends up being set up on a date with another woman. A jealous Toni starts an affair with Jeremy."
3,1,Mugging,11 Nov. 2005,8.0,"Mark's manhood is threatened when he is embarrassingly mugged by a couple of teens, which later affects his ability to get aroused when trying to get intimate with Sophie. Jeremy plans to get back with old flame Big Suze, but this is made difficult by the fact that they're both already in relationships."
3,2,Sectioning,18 Nov. 2005,8.0,"Mark and Jeremy's old friend Merry, who doesn't seem to be in the best state of mind, gives Jeremy and Super Hans ownership of a pub, and Super Hans has some very radical ideas about how to run it. Meanwhile Mark's relationship progress with Sophie is stunted when she has to start working in Bristol."
3,3,Shrooming,25 Nov. 2005,8.6,"Jeremy hopes to hold a magic mushroom party in the flat whilst Mark's away for work, but Mark's illness complicates things, and so Jeremy must find some underhanded way to keep him out of view for the duration of the party."
3,4,Sistering,2 Dec. 2005,8.0,"Mark's sister comes to stay, and Mark is outraged when Jeremy tells her that he loves her in order to get her into bed. However, Mark begins to repay the favor by spending a lot of time with Big Suze, who Jeremy is still extremely interested in."
3,5,Jurying,9 Dec. 2005,8.3,"Jeremy is called up for jury duty, and breaks all the rules when he meets the defendant in a café and unwisely starts seeing her. Sophie drags Mark along to a gay club with her friends and he isn't comfortable with it at all, especially when ecstasy starts being handed out."
3,6,Quantocking,16 Dec. 2005,8.6,"Mark takes Sophie away for the weekend with the idea of proposing, but finds things don't go as well as he hoped as he and Sophie don't have that chemistry. In the same hotel, Jeremy has trouble getting rid of a rehabilitating Super Hans so that he can finally hook up again with old flame Big Suze."
4,1,Sophie's Parents,13 Apr. 2007,8.8,"Mark still hasn't gathered together the courage to dump Sophie, something that proves a problem when they go to the country to meet her parents. Worse, he makes the mistake of inviting Jeremy along. Cue a weekend of gunfire, infidelity and arson."
4,2,Conference,20 Apr. 2007,8.1,"Both Mark and Jeremy have trouble with Alan Johnson as he assigns Mark to oversee a difficult presentation to the JLB board, while the offer of a real life ""indecent proposal"" involving girlfriend Big Suze proves too tempting for Jeremy to resist."
4,3,Gym,27 Apr. 2007,8.1,"To get some time away from his future bride Sophie, Mark joins a gym, where he runs into Jeremy's estranged American wife Nancy who is working there. Soon Jeremy is undertaking a porter's job at the gym in an attempt to win her back."
4,4,Handyman,4 May 2007,8.5,"Jeremy is thrilled when one of his musical heroes, The Orgazoid, employs him as a general handyman - but just how ""handy"" will he have to be? Mark attends his old school reunion disco and finds himself falling for old crush Sally Slater once more. But with her a bored housewife, could an affair between them really happen? If Mark can conceal from Sally his own impending marriage."
4,5,Holiday,11 May 2007,9.1,"Jeremy arranges Mark a canal boat stag weekend, but soon finds himself distracted by the beautiful Aurora. Mark is less excited by the prospect of a holiday romance with her sister, Lucy, but their dad might offer a way out of marriage to Sophie with a passage to India - well managing a call center out there at least."
4,6,Wedding,18 May 2007,9.3,"It's the day of the big wedding and Mark is desperately looking for a way out of going through with it - but he's determined not to be labeled a jilter at any cost. Jeremy still harbors hopes of winning Nancy back, but being Mark's best man keeps getting in the way."
5,1,Burgling,2 May 2008,8.0,"Jeremy encourages Mark to start dating again and sets him up with Heather, whom he gets on well with and decides she's ""the one."" Jeremy is told by an ex-girlfriend he may have chlamydia, but uses this as excuse to get close to the now single again Big Suze. Meanwhile a spate of burglaries might help Mark prove his manhood to Heather in a bid to convince her that he's ""the one"" for her."
5,2,Spin War,9 May 2008,8.4,"Mark and Sophie both return to work after their disastrous wedding day, with Mark determined to ""Mandleson"" her in proving who should get all the blame. His only sympathizer is new IT girl Dobby, who's looking for something far more adventurous than a USB stick in the stationary cupboard. Jeremy and Super Hans rope Sophie's nephew Barney into their band when they realize he's actually got some musical talent but their gig is destined to end in disaster when Super Hans goes too far with seeing how far they can push Barney."
5,3,Jeremy's Broke,16 May 2008,7.8,"Mark is fed up with Jeremy and decides to evict him, installing an Australian woman named Saz in his place, hoping she'll become his new girlfriend so he can rub Sophie's nose in it at his forthcoming Birthday party. Jeremy is desperate for money and having exhausted the sperm bank, he resorts to stealing Johnson's credit card."
5,4,Jeremy's Mummy,23 May 2008,8.2,"When Jeremy's aunt dies, his mum agrees to give him half the inheritance to the tune of £20000. But his mum's new boyfriend, Martin, believes Jez needs to be taught how to use money properly and so his money will be governed by Mark. Martin's seemingly lesbian daughter Natalie takes a shine to Mark, when he begins working on her father's memoirs - and she won't take no for an answer."
5,5,Jeremy's Manager,30 May 2008,8.2,"Jeremy and Super Hans are thrilled when super-confident Cally agrees to be their manager, but less so when it turns out they're playing at a Christian rock festival. Mark, under the belief that Cally is ""the one"", joins up as roadie and finds her quite susceptible to his dubious charms. But when she decides Jeremy is holding Super Hans back, Mark has to decide between his new lover or his best friend's happiness."
5,6,Mark's Women,6 Jun. 2008,8.3,"Mark's promotion bolsters his confidence, he's getting closer to Dobby through a shared love of fantasy role-playing game and Sophie's ready to annul their marriage - but a drunken one night stand has life changing consequences. Jeremy decides that his life is going nowhere and joins a cult, which gives him a new outlook on life completely. With Mark and Jeremy's lives moving in different directions is this really the end of the El Dude brothers?"
6,1,Jeremy at JLB,18 Sep. 2009,8.0,"Jeremy starts working at JLB Credit, however the entire UK division of the company gets shut down by the German head office the same day. Mark forms a group to protest against the firings but really wants to impress Dobby."
6,2,The Test,25 Sep. 2009,8.6,Jeremy starts getting to know gorgeous new neighbour Elena and Mark invites Dobby round to the flat one evening. But they are about to find out who the father of Sophie's baby really is.
6,3,Jeremy in Love,2 Oct. 2009,8.1,Jeremy thinks he has fallen in love with Elena and tries to win her heart. Mark tries to get a job as a guide for London history walks.
6,4,The Affair,9 Oct. 2009,7.9,"Jeremy finds out that Elena is already in a relationship, but with a woman. This turns him on and he continues seeing her. Johnson invites Mark to join his new management consultancy firm, but Mark starts to question his faith in Johnson."
6,5,The Party,16 Oct. 2009,8.4,"Mark invites Dobby to a party at his flat, then has to work out how he'll actually organise it. Meanwhile things have gotten a bit frosty between Jez and Elena but he reckons he knows to handle it so she'll come running back to him."
6,6,Das Boot,23 Oct. 2009,8.2,"After Gail's surprise proposal to Elena, they are soon to have a civil partnership, but Jez won't give up that easily. Sophie is also due to give birth and wants Mark to pass his driving test, unfortunately he gets a bad driving instructor."
7,1,St Hospitals,26 Nov. 2010,8.1,"Sophie is in hospital in labour and Mark isn't really sure how he can be of help. Jeremy starts fancying a girl he meets in the waiting room, however she isn't quite 100% available."
7,2,Man Jam,3 Dec. 2010,7.8,"After discovering Dobby has a boyfriend, Mark and Gerard become allies in a ""Dobby club"". Super Hans joins a band and Jez is excluded, but tries to get the upper hand through his new job with a record label owned by Zahra's boyfriend Ben."
7,3,A Beautiful Mind,10 Dec. 2010,8.2,In his efforts to impress the pretentious Zahra Jeremy decides to host a book club for her and her friends in his flat though disaster strikes when it becomes apparent that he has never read a book - apart from 'Mr Nice'. Mark meanwhile battles with Kenneth in order to gain the favours of Dobby but finds that he might need some help after all to satisfy her.
7,4,Nether Zone,17 Dec. 2010,8.6,Mark and Jeremy get trapped in a house on the day of Mark's baby's Christening.
7,5,Seasonal Beatings,24 Dec. 2010,8.9,"Mark has his family over to the flat for Christmas dinner, as well as Dobby, who he is finally going out with, except he hasn't told his parents yet."
7,6,New Year's Eve,29 Dec. 2010,8.2,"It's New Year's Eve. Mark wants to find Dobby and sort things out between them, Jeremy just wants to have a good time. However newly-single Zahra has invited Jeremy to move in with her."
8,1,Jeremy Therapised,25 Nov. 2012,8.1,"A month has passed. Dobby has still not said that she will move in with Mark and Jeremy has not said he will move out. Mark invites Dobby round to share a pizza and watch 'The Apprentice' but unfortunately Gerrard, her other admirer, dies of the flu that evening and Dobby feels guilty for not being with him. Jeremy decides to undergo therapy which, after an inauspicious start, he loves. Mark goes for a job with a bathroom fittings company but the final interview clashes with Gerrard's funeral so he has to make a brief oration before leaving. At the wake Mark again ..."
8,2,Business Secrets of the Pharaohs,2 Dec. 2012,7.6,"Now a big name in bathroom sales, though annoyed that Dobby has a new job in I.T., Mark writes a book, entitled 'Business Secrets of the Pharaohs' and even finds a publisher in Greg, who meets him at a refreshment stand. However Mark is told he must foot half the publishing costs. Jeremy decides to be a life coach and goes on a week's course but is the only candidate to fail - largely because he made such bizarre sexual demands of course leader Celia - though he does work out that Mark has been conned by Greg."
