temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,1,Logan Paul Returns,3 Feb. 2018,8.9,"Unbiased reports of Pew News represents, Logan Paul has once again made another mistake of only few months starting the year."
1,2,This Is Not OK,22 Feb. 2018,9.0,"Casey Neistat sits down with YouTube and go over the problems of YouTube's platform thus far. Youtube makes a tweet finally taking notice in the demonetization problem- wait not, subscribe to black creators. Fiverr guys got banned from fiver without notice."
1,3,PewDiePie started the Adpocalypse,8 Mar. 2018,9.0,"Guillermo Arduino presents his unbiased take on an article from Bloomberg, advertisements on YouTube and takes a look back on Swedish YouTuber Felix Kjellbergs, aka ""PewDiePie"", old oopsies and his role in the adpocalypse."
1,4,Drake plays Fortnite!?,15 Mar. 2018,8.9,"Anders Coopers talks about @mylegdaily (on Twitter) getting a YouTube strike, Drake playing Fortnite with Twitch streamer Ninja, Google getting sued for racism. Brad1 tells viewers the weather."
1,5,Guess I'm going to jail...,24 Mar. 2018,8.9,"Gloria Borger talks about new PewNews merchandise, Nicole Arbour ''returning'' to YouTube's platform, last week's Drake and Twitch streamer Ninja's collaboration and Ninja's monthly income, Logan Paul's announcement to start streaming on Twitch, Youtuber convicted of hate crime over pet dog's 'Nazi salutes'."
1,6,This video has great ads,1 Apr. 2018,9.2,"Wolf Blitzner talks about Twitch streamer Ninja's supposed racism, YouTube's 'slip up' about notifying subscribers, updates from YouTuber NerdCity and Sealow's mission to help creators on YouTube find out about video ratings. Brad1 tells the weather."
1,7,JOHNNY D NEEDS HELP,8 Apr. 2018,9.2,
1,8,STOP BULLIES. BUY HEADPHONES. #BullyHunters,15 Apr. 2018,9.1,"Gloria Borger talks about Johnny Dee's comeback, BullyHunters.org, Animal Super Squad (ASS) coming out on Nintendo Switch(TM), YouTube's strange advertisements, Mark Zuckerberg's congress testimony on 'hate speech'."
1,9,"JAKE PAUL $2.5 MIL LAWSUIT, YOUTUBER GOES TO JAIL, more",26 Apr. 2018,9.0,
1,10,LOGAN PAUL IS CANCELLED!,2 May 2018,9.1,"Gloriyah Burger talks about cultural appropriation and hypocrisy, 'Orange Justice' dance in Fortnite, Logan Paul quitting daily vlogging, Kanye West's tweets, AVICII's suicide."
1,11,I Am Not Making Enough Money,19 May 2018,9.0,
1,12,"""Can we copystrike pewdiepie?"" //Twitch Drama #1",19 Mar. 2018,8.9,
1,13,Why I left Vice //Twitch Drama #3,27 May 2018,9.0,
1,14,All Youtubers Are Evil,3 Jun. 2018,9.1,"Youtubers like Pogo, Mr. Beast and Zoella goes through some different level of controversy this week."
1,15,Memes Will Get Banned!,16 Jun. 2018,9.2,
1,16,Tanacon got cancelled - and heres why!,24 Jun. 2018,9.2,
1,17,The Real Truth About Tanacon,3 Jul. 2018,9.2,Final conclusion on Tanacon and more unexpected story of Doki Doki Literature Club.
1,18,Youtube news are giving me $25 million!,12 Jul. 2018,9.1,
1,19,Logan pail interview lies/meme response,28 Jul. 2018,9.1,
1,20,News media calls me out for lying... (confession),8 Aug. 2018,9.3,
1,21,Ninja respects all womans,15 Aug. 2018,9.3,
1,22,We changed fortnite.,26 Aug. 2018,9.3,
1,23,How pewdiepie became most subscribed!,1 Sep. 2018,9.3,
1,24,The spiderman easter egg cringe,10 Sep. 2018,9.3,
1,25,T-Series Exposed?,20 Sep. 2018,9.1,
1,26,Telltale is gone,22 Sep. 2018,9.3,
1,27,We need to talk about youtubers promoting this (BetterHelp),9 Oct. 2018,9.3,
1,28,"Logans show returns. Scare pewdiepie, when?",20 Oct. 2018,9.3,
1,29,"Mariza quits Youtube, Voiceover Pete banned, WSJ back at it again?!",8 Nov. 2018,9.3,
1,30,Article 13,15 Nov. 2018,9.2,
1,31,"Tekashi69 BAN, Ninja caught selling underwear, Alinity facing 32 year prison.",23 Nov. 2018,9.5,
1,32,Pewdiepie Printer Hack,2 Dec. 2018,9.0,
1,33,PewDiePie's biggest OOPSIE.,11 Dec. 2018,9.3,
1,34,WSJ apologizes to PEWDIEPIE!,20 Dec. 2018,9.4,WSJ got hacked and decided to apologize to Pewdiepie at the same time.
1,35,Jake Paul & Ricegum SCAM Mystery unbox?/Ninja New Years Cringe,3 Jan. 2019,9.3,Jake Paul and Rice gum caught in new Opsie over mystery brand box promo videos. Ninja provides epic cringe moments montage from New years footage.
1,36,"Jesus needs your HELP!, Ricegum EXPOSED, FAKE gamer girl",10 Jan. 2018,9.5,
1,37,"Logan Paul STRIKES Content, Pokimane says BAD thing.. MatPat UNFORGIVABLE!",17 Jan. 2019,9.5,
1,38,Alinity Massive Oopsie & Copystike gets man 160 years in prison,24 Jan. 2019,9.5,
1,39,"James Charles OSPIE?, Ariana Grandeyy FAIL TATTOO, Tekashi69 JAIL not epic",3 Feb. 2019,9.6,"Poppy Gloria uncovers the truth behind the media covering news of the printer hack and James Charles, and Takeshi69's destiny."
1,40,Demi Lovato DID a WHAT? - YouTube Admits MASSIVE OPSIE,7 Feb. 2019,9.5,
1,41,"James Charles Opsie, Shane - OPSIE, Roblox ADMITS Opsie Woah!",18 Feb. 2019,9.4,
1,42,We lost? PEW NEWS,24 Feb. 2019,9.6,"Gloria Borger offers her unbiased take on the adpocalypse, problems with the YouTube algorithm, terminations, the ongoing war between Swedish YouTuber Felix Kjellberg (aka ""PewDiePie"") and Indian youtube channel T-Series and the name of the new Nintendo US president."
1,43,Please stop this,12 Mar. 2019,7.9,
2,4,Why I Stopped.,19 Sep. 2019,8.2,The hosts of Pew News give their reasons for not providing as much news as before.
2,5,Trevor Forever,16 Sep. 2018,9.6,Unbiased reports of Trevor Forever.
2,56,Pewdiepie Networth revealed!,4 Jan. 2020,0.0,
2,69,"Jake Paul Calls Out Cody Ko for Being a ""Bully",23 May 2019,9.6,
2,70,KSI is Cancelled,27 May 2019,9.5,
3,4,Why I Stopped.,19 Sep. 2019,8.2,The hosts of Pew News give their reasons for not providing as much news as before.
3,5,Trevor Forever,16 Sep. 2018,9.6,Unbiased reports of Trevor Forever.
3,56,Pewdiepie Networth revealed!,4 Jan. 2020,0.0,
3,69,"Jake Paul Calls Out Cody Ko for Being a ""Bully",23 May 2019,9.6,
3,70,KSI is Cancelled,27 May 2019,9.5,
