temporada,numero,titulo,fecha_estreno,puntuacion,descripcion
1,0,Pilot,6 Nov. 2006,7.2,"The Pilot Version - The very first attempt at televising the QI format. No titles, background photos or set design as we later knew from the following Commissioned Series version. Its possible this Pilot was recorded relatively cheaply, unedited, ""as live"", as Stephen Fry refers to running out of tape, as the banter gets quite anarchic, and the running time hits 35 minutes, instead of the later tight 30 minutes."
1,1,Adam,11 Sep. 2003,7.7,"Stephen discusses various topics beginning with 'A', including Adam's navel, with his guests Danny Baker, Hugh Laurie and John Sessions."
1,2,Astronomy,11 Sep. 2003,8.1,"Stephen discusses all things astronomical with his guests Bill Bailey, Rich Hall and Jeremy Hardy."
1,3,Aquatic Animals,18 Sep. 2003,7.8,"Stephen discusses various aquatic animals with his guests Clive Anderson, Bill Bailey and Meera Syal."
1,4,Atoms,25 Sep. 2003,7.7,"Stephen Fry hosts the almost impossible quiz show with guests Alan Davies, Jo Brand, Howard Goodall and Jeremy Hardy. The theme of this edition of the show is atoms and questions range from Argentina to the composition of air."
1,5,Advertising,2 Oct. 2003,7.8,"Stephen Fry hosts the challenging quiz in which points are awarded. Alan Davies, Rob Brydon, Rich Hall and Gyles Brandreth face questions related to advertising - from Aristotle to alcoholics."
1,6,Antidotes,9 Oct. 2003,7.5,"Stephen discusses all things 'A' with his guests Danny Baker, Jo Brand and Howard Goodall, including various antidotes for ailments."
1,7,Arthropods,16 Oct. 2003,7.8,"Stephen discusses all things arthropods with his guests Jo Brand, Jimmy Carr and Jackie Clune."
1,8,Albania,23 Oct. 2003,7.4,"Stephen Fry's discusses what his sporty ancestor have to do with Albania, along with other things beginning with 'A' with his guests Alan Davies, Clive Anderson, Sean Lock, Linda Smith."
1,9,Antelopes,30 Oct. 2003,7.3,"Stephen discusses all things African with his guests Alan Davies, Jo Brand, Dave Gorman and Jeremy Hardy."
1,10,Aviation,6 Nov. 2003,7.2,"Stephen discusses all things aviation with his guests Alan Davies, Rich Hall, Julia Morris and Peter Serafinowicz."
